molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IC50,1000.0,nM,6.0,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL61708,Nc1nc(O)c2c(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2n1,IC50,2300.0,nM,5.64,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,IC50,2300.0,nM,5.64,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,IC50,2300.0,nM,5.64,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
CHEMBL225072,Nc1nc2[nH]cc(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c2c(=O)[nH]1,IC50,2300.0,nM,5.64,,CHEMBL666737,9,CHEMBL1809,CHEMBL1134503,7fq1,P0ABQ4
