molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL54825,C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(N)=O)C(=O)O/C=C/C(=O)N(C)Cc1ccccc1,IC50,55.0,nM,7.26,,CHEMBL707896,8,CHEMBL4244,CHEMBL1149135,7fql,Q99538
CHEMBL55249,C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(N)=O)C(=O)O/C=C/C(=O)NCc1ccccc1,IC50,1000.0,nM,6.0,,CHEMBL707897,8,CHEMBL4244,CHEMBL1149135,7fql,Q99538
CHEMBL417373,CCOC(=O)/C=C/OC(=O)N(CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)OCc1ccccc1,IC50,31.0,nM,7.51,,CHEMBL707896,8,CHEMBL4244,CHEMBL1149135,7fql,Q99538
CHEMBL292589,C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NN(CC(N)=O)C(=O)O/C=C/C(=O)OCc1ccccc1,IC50,38.0,nM,7.42,,CHEMBL707896,8,CHEMBL4244,CHEMBL1149135,7fql,Q99538
CHEMBL3264594,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1,IC50,140.0,nM,6.85,,CHEMBL3267446,9,CHEMBL4244,CHEMBL3259677,7fql,Q99538
CHEMBL3264267,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1Br,IC50,192.0,nM,6.72,,CHEMBL3267446,9,CHEMBL4244,CHEMBL3259677,7fql,Q99538
CHEMBL3264268,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1cccc(Br)c1,IC50,108.0,nM,6.97,,CHEMBL3267446,9,CHEMBL4244,CHEMBL3259677,7fql,Q99538
CHEMBL3264269,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1ccc(Br)cc1,IC50,282.0,nM,6.55,,CHEMBL3267446,9,CHEMBL4244,CHEMBL3259677,7fql,Q99538
CHEMBL3264271,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1cccc(-c2ccccc2)c1,IC50,138.0,nM,6.86,,CHEMBL3267446,9,CHEMBL4244,CHEMBL3259677,7fql,Q99538
CHEMBL3264272,N#C[C@H](CC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1ccc(-c2ccccc2)cc1,IC50,18.0,nM,7.75,,CHEMBL3267446,9,CHEMBL4244,CHEMBL3259677,7fql,Q99538
CHEMBL3264273,Cc1cccc(-c2ccc(COC(=O)N3CCC[C@H]3C(=O)N[C@H](C#N)CC(N)=O)cc2)c1,IC50,49.0,nM,7.31,,CHEMBL3267446,9,CHEMBL4244,CHEMBL3259677,7fql,Q99538
