molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3339205,O=[N+]([O-])c1ccc2c(CCc3c[nH]c4ccccc34)c[nH]c2c1,IC50,21500.0,nM,4.67,,CHEMBL3384038,9,CHEMBL1075126,CHEMBL3352701,7frw,P30613
CHEMBL3339205,O=[N+]([O-])c1ccc2c(CCc3c[nH]c4ccccc34)c[nH]c2c1,IC50,21500.0,nM,4.67,,CHEMBL3384038,9,CHEMBL1075126,CHEMBL3352701,7frw,P30613
CHEMBL3339205,O=[N+]([O-])c1ccc2c(CCc3c[nH]c4ccccc34)c[nH]c2c1,IC50,18200.0,nM,4.74,,CHEMBL3384037,9,CHEMBL1075126,CHEMBL3352701,7frw,P30613
CHEMBL3339205,O=[N+]([O-])c1ccc2c(CCc3c[nH]c4ccccc34)c[nH]c2c1,IC50,18200.0,nM,4.74,,CHEMBL3384037,9,CHEMBL1075126,CHEMBL3352701,7frw,P30613
CHEMBL9470,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,IC50,39250.0,nM,4.41,,CHEMBL4119693,9,CHEMBL1075126,CHEMBL4118079,7frw,P30613
CHEMBL9470,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,IC50,39250.0,nM,4.41,,CHEMBL4119693,9,CHEMBL1075126,CHEMBL4118079,7frw,P30613
CHEMBL4127005,O=C1C=C(CSC(=S)N2CCN(c3ccccc3)CC2)C(=O)c2ccccc21,IC50,3800.0,nM,5.42,,CHEMBL4119693,9,CHEMBL1075126,CHEMBL4118079,7frw,P30613
CHEMBL4128703,CC1=C(CSC(=S)N2CCCCC2)C(=O)c2ccccc2C1=O,IC50,8200.0,nM,5.09,,CHEMBL4119693,9,CHEMBL1075126,CHEMBL4118079,7frw,P30613
CHEMBL9470,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,IC50,39250.0,nM,4.41,,CHEMBL4259036,9,CHEMBL1075126,CHEMBL4257502,7frw,P30613
CHEMBL9470,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,IC50,39250.0,nM,4.41,,CHEMBL4259036,9,CHEMBL1075126,CHEMBL4257502,7frw,P30613
CHEMBL4281402,O=C1C(CSC(=S)N2CCCCC2)=C(CSC(=S)N2CCCCC2)C(=O)c2ccccc21,IC50,2900.0,nM,5.54,,CHEMBL4259036,9,CHEMBL1075126,CHEMBL4257502,7frw,P30613
CHEMBL175336,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)[O-])c(O)c2O.[Na+],IC50,200.0,nM,6.7,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL3184279,O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)[O-])ccc21.[Na+],IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL55814,O=C1c2ccccc2C(=O)c2c1ccc(O)c2O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5203032,COc1c(S(=O)(=O)[O-])cc2c(c1OC)C(=O)c1ccccc1C2=O.[Na+],IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5176753,O=C(O)CNS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O,IC50,200.0,nM,6.7,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5172682,O=C(O)CCNS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O,IC50,5800.0,nM,5.24,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5209293,O=C(O)CCCNS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O,IC50,7500.0,nM,5.12,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5188932,O=C(O)CCCCNS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O,IC50,19000.0,nM,4.72,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5183208,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)N[C@@H](CO)C(=O)O)c(O)c2O,IC50,900.0,nM,6.05,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5186564,COC[C@H](NS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O)C(=O)O,IC50,1200.0,nM,5.92,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5186706,CSCCC(NS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O)C(=O)O,IC50,1400.0,nM,5.85,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5172724,O=C(O)CNC(=O)CNS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O,IC50,4100.0,nM,5.39,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5188496,O=C(O)CNC(=O)CNC(=O)CNS(=O)(=O)c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O,IC50,700.0,nM,6.16,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5181251,O=C(O)Cc1ccc(CNS(=O)(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)cc1C(=O)O,IC50,300.0,nM,6.52,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5209097,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)N1CCCC(C(=O)O)C1)c(O)c2O,IC50,160.0,nM,6.8,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5170819,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)N1CCC(C(=O)O)CC1)c(O)c2O,IC50,4800.0,nM,5.32,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5198643,O=C(O)C[C@H](NC(=O)C1CCCN(S(=O)(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)C1)C(=O)O,IC50,1900.0,nM,5.72,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5206382,O=C(O)CC[C@H](NC(=O)C1CCCN(S(=O)(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)C1)C(=O)O,IC50,1300.0,nM,5.89,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5171288,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)N1CCCC(C(=O)N[C@@H](Cc3c[nH]cn3)C(=O)O)C1)c(O)c2O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5200574,O=C(O)C[C@H](NC(=O)C1CCN(S(=O)(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)CC1)C(=O)O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5175459,O=C(O)CC[C@H](NC(=O)C1CCN(S(=O)(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)CC1)C(=O)O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5204170,O=C1c2ccccc2C(=O)c2c1cc(S(=O)(=O)N1CCNCC1)c(O)c2O,IC50,150.0,nM,6.82,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5204537,O=C(O)CC[C@H](NC(=O)N1CCN(S(=O)(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)CC1)C(=O)O,IC50,550.0,nM,6.26,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5176181,O=C(O)Cc1ccc(CNC(=O)N2CCN(S(=O)(=O)c3cc4c(c(O)c3O)C(=O)c3ccccc3C4=O)CC2)cc1C(=O)O,IC50,290.0,nM,6.54,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5208105,O=C(O)CC(O)(CC(=O)N1CCN(S(=O)(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)CC1)C(=O)O,IC50,200.0,nM,6.7,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5180931,O=C(O)CC(O)(CC(=O)N1CCN(S(=O)(=O)c2cc(O)c3c(c2)C(=O)c2ccccc2C3=O)CC1)C(=O)O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5193313,O=C1c2ccccc2C(=O)c2c(O)cc(S(=O)(=O)[O-])cc21.[Na+],IC50,7300.0,nM,5.14,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5176055,Nc1c(S(=O)(=O)[O-])cc2c(c1O)C(=O)c1ccccc1C2=O.[Na+],IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5170574,O=C1c2ccccc2C(=O)c2cc(S(=O)(=O)[O-])c(O)cc21.[Na+],IC50,3400.0,nM,5.47,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5177528,O=C(O)CC(O)(CC(=O)N1CCN(C(=O)c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)CC1)C(=O)O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5184973,Br.O=C1c2ccccc2C(=O)c2c1cc(C(=O)N1CCNCC1)c(O)c2O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5181273,O=C([O-])c1cc2c(c(O)c1O)C(=O)c1ccccc1C2=O.[Na+],IC50,1400.0,nM,5.85,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5198598,CS(=O)(=O)c1cccc(-c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)c1,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5181117,NS(=O)(=O)c1cccc(-c2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)c1,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5204502,O=C1c2ccccc2C(=O)c2c1cc(-c1ccc(O)cc1)c(O)c2O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5195101,O=C1c2ccccc2C(=O)c2c1cc(-c1ccc(O)c(O)c1)c(O)c2O,IC50,,,,ND,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5200212,O=C(O)Cc1ccc(CNC(=O)Nc2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)cc1C(=O)O,IC50,1700.0,nM,5.77,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
CHEMBL5195754,O=C(O)Cc1ccc(CNc2cc3c(c(O)c2O)C(=O)c2ccccc2C3=O)cc1C(=O)O,IC50,1300.0,nM,5.89,,CHEMBL5135563,9,CHEMBL1075126,CHEMBL5131504,7frw,P30613
