molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL318457,CC(C)c1onc(-c2c(Cl)cccc2Cl)c1COc1ccc(/C=C/c2cccc(C(=O)O)c2)c(Cl)c1,IC50,15300.0,nM,4.82,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL247920,CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(OCC(=O)O)c1,IC50,4000.0,nM,5.4,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL247920,CCc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1ccccc1-c1cccc(OCC(=O)O)c1,IC50,4000.0,nM,5.4,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL5420029,O=C(O)COc1ccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)cc1,IC50,4200.0,nM,5.38,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL5419154,O=C(O)COc1cccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)c1,IC50,3800.0,nM,5.42,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL5420842,CC(Oc1ccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)cc1)C(=O)O,IC50,3600.0,nM,5.44,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL5439051,CC(C)(Oc1ccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)cc1)C(=O)O,IC50,5700.0,nM,5.24,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL5394417,O=C(O)CCc1ccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)cc1,IC50,1400.0,nM,5.85,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL5429880,O=C(O)CCc1cccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)c1,IC50,3300.0,nM,5.48,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
CHEMBL5420532,O=C(O)Cc1ccc(-c2ccc(OCc3c(-c4c(Cl)cccc4Cl)noc3C3CC3)cc2)cc1,IC50,2900.0,nM,5.54,,CHEMBL5340827,9,CHEMBL5421,CHEMBL5338751,7fy8,P07148
