molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1802766,O=C(O)CCc1cccc(Nc2cnc3ccccc3n2)c1,IC50,2050.0,nM,5.69,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802838,O=C(O)/C=C/c1cccc(Nc2ccc3ccccc3n2)c1,IC50,1240.0,nM,5.91,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802763,O=C(O)/C=C/c1cccc(Nc2cnc3ccccc3n2)c1,IC50,1510.0,nM,5.82,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802837,OC/C=C/c1cccc(Nc2cnc3ccccc3n2)c1,IC50,1680.0,nM,5.78,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802525,O=C(O)/C=C/c1ccc(Nc2nc3ccc([N+](=O)[O-])cc3nc2Nc2ccc(/C=C/C(=O)O)cc2)cc1,IC50,2580.0,nM,5.59,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802522,O=C(O)/C=C/c1cccc(Nc2nc3ccc([N+](=O)[O-])cc3nc2Nc2cccc(/C=C/C(=O)O)c2)c1,IC50,3280.0,nM,5.48,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802522,O=C(O)/C=C/c1cccc(Nc2nc3ccc([N+](=O)[O-])cc3nc2Nc2cccc(/C=C/C(=O)O)c2)c1,IC50,3280.0,nM,5.48,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802764,c1ccc2nc(Nc3ccc4c(c3)OCCO4)cnc2c1,IC50,3000.0,nM,5.52,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802534,O=C(O)C1CCN(c2nc3ccc([N+](=O)[O-])cc3nc2N2CCC(C(=O)O)CC2)CC1,IC50,2090.0,nM,5.68,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL1802767,O=C(O)/C=C/c1cccc(Oc2cnc3ccccc3n2)c1,IC50,2620.0,nM,5.58,,CHEMBL1805095,8,CHEMBL6052,CHEMBL1799914,7g92,P61586
CHEMBL2398678,O=C(Nc1ccc(Cl)cc1)C1CCCN(C(=O)c2cccc(-c3ccco3)c2)C1,IC50,5300.0,nM,5.28,,CHEMBL2398825,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2398678,O=C(Nc1ccc(Cl)cc1)C1CCCN(C(=O)c2cccc(-c3ccco3)c2)C1,IC50,5300.0,nM,5.28,,CHEMBL2398825,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2398677,O=C(Nc1cccc(Cc2ccccc2)c1)C1CCCN(C(=O)c2cccc(-c3ccco3)c2)C1,IC50,,,,Not Determined,CHEMBL2398834,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2396676,O=C(Nc1cccc(Oc2ccccc2)c1)C1CCCN(C(=O)c2cccc(-c3ccco3)c2)C1,IC50,,,,Not Determined,CHEMBL2398834,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2398676,O=C(Nc1ccc(Cl)nc1)C1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,IC50,31000.0,nM,4.51,,CHEMBL2398834,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2398675,O=C(Nc1ccc(Cl)cn1)C1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,IC50,,,,Not Determined,CHEMBL2398834,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2398674,CSc1cccc(NC(=O)C2CCCN(C(=O)c3cccc(-c4ccco4)c3)C2)c1,IC50,10000.0,nM,5.0,,CHEMBL2398834,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2398673,O=C(Nc1cccc(Oc2ccccn2)c1)C1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,IC50,10000.0,nM,5.0,,CHEMBL2398834,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
CHEMBL2398672,O=C(Nc1cccc(OCc2ccccn2)c1)C1CCCN(C(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C1,IC50,7400.0,nM,5.13,,CHEMBL2398834,9,CHEMBL6052,CHEMBL2396514,7g92,P61586
