molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1321933,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1nnc(-c2ccncc2)s1,IC50,3400.0,nM,5.47,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426187,O=c1c(Nc2ccc(Cl)c(Cl)c2)c(Nc2nnc(-c3ccncc3)s2)c1=O,IC50,,,,Not Determined,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426190,N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1Cl,IC50,1600.0,nM,5.8,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426161,O=C(Nc1ccc(Br)c(Br)c1)Nc1nnc(-c2ccncc2)s1,IC50,2900.0,nM,5.54,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426164,N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1Br,IC50,1100.0,nM,5.96,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426168,O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,IC50,2700.0,nM,5.57,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426168,O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,IC50,2700.0,nM,5.57,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426169,N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1F,IC50,2200.0,nM,5.66,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426174,N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1-c1cn[nH]c1,IC50,7100.0,nM,5.15,,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426177,N#Cc1cc(NC(=O)Nc2nnc(-c3ccncc3)s2)ccc1-c1ccc[nH]1,IC50,,,,Not Determined,CHEMBL2428260,9,CHEMBL2146312,CHEMBL2424634,7gqt,Q14191
CHEMBL2426168,O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,IC50,5000.0,nM,5.3,,CHEMBL3377971,9,CHEMBL2146312,CHEMBL3352588,7gqt,Q14191
CHEMBL2426168,O=C(Nc1ccc(F)c(C(F)(F)F)c1)Nc1nnc(-c2ccncc2)s1,IC50,5000.0,nM,5.3,,CHEMBL3377971,9,CHEMBL2146312,CHEMBL3352588,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,20000.0,nM,4.7,,CHEMBL3377971,9,CHEMBL2146312,CHEMBL3352588,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,20000.0,nM,4.7,,CHEMBL3377971,9,CHEMBL2146312,CHEMBL3352588,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,20000.0,nM,4.7,,CHEMBL3377971,9,CHEMBL2146312,CHEMBL3352588,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,20000.0,nM,4.7,,CHEMBL3377971,9,CHEMBL2146312,CHEMBL3352588,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,3000.0,nM,5.52,,CHEMBL4008084,9,CHEMBL2146312,CHEMBL4007394,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,3000.0,nM,5.52,,CHEMBL4008084,9,CHEMBL2146312,CHEMBL4007394,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,3000.0,nM,5.52,,CHEMBL4008084,9,CHEMBL2146312,CHEMBL4007394,7gqt,Q14191
CHEMBL1374426,CCC(=O)OCN1C(=O)C=CC1=O,IC50,3000.0,nM,5.52,,CHEMBL4008084,9,CHEMBL2146312,CHEMBL4007394,7gqt,Q14191
