molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2322194,NS(=O)(=O)OC[C@@H]1C[C@@H](N2CCc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,IC50,1800.0,nM,5.75,,CHEMBL2328920,9,CHEMBL2321622,CHEMBL2321716,7pvn,A0AVT1
CHEMBL2017005,NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(N[C@H]4CCc5ccccc54)ncnc32)[C@H](O)[C@@H]1O,IC50,920.0,nM,6.04,,CHEMBL2328929,9,CHEMBL2321622,CHEMBL2321716,7pvn,A0AVT1
CHEMBL1231160,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,IC50,1000.0,nM,,,CHEMBL4185518,9,CHEMBL2321622,CHEMBL4184146,7pvn,A0AVT1
CHEMBL1231160,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,IC50,1000.0,nM,,,CHEMBL4185518,9,CHEMBL2321622,CHEMBL4184146,7pvn,A0AVT1
CHEMBL1231160,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,IC50,1800.0,nM,5.75,,CHEMBL5127973,9,CHEMBL2321622,CHEMBL5126531,7pvn,A0AVT1
CHEMBL1231160,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(N[C@H]4CCc5ccccc54)ncnc32)C[C@@H]1O,IC50,1800.0,nM,5.75,,CHEMBL5127973,9,CHEMBL2321622,CHEMBL5126531,7pvn,A0AVT1
CHEMBL5863631,NS(=O)(=O)OC[C@@H]1C[C@@H](n2ccc3c(-c4cc5ccccc5[nH]4)ncnc32)C[C@@H]1O,IC50,50.0,nM,,572839.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
CHEMBL6067744,C[C@H]1C[C@@H](n2ccc3c(-c4cc5ccccc5n4C)ncnc32)C[C@@H]1O,IC50,1025.0,nM,5.99,572840.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
CHEMBL6067745,COc1ccc2[nH]c(-c3ncnc4c3ccn4[C@@H]3C[C@H](C)[C@@H](O)C3)cc2c1,IC50,50.0,nM,,572841.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
CHEMBL6067746,C[C@H]1C[C@@H](n2ccc3c(-c4cc5ccc(Cl)cc5[nH]4)ncnc32)C[C@@H]1O,IC50,50.0,nM,,572842.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
CHEMBL6067747,C[C@H]1C[C@@H](n2ccc3c(-c4cc5ccc(C#N)cc5[nH]4)ncnc32)C[C@@H]1O,IC50,50.0,nM,,572843.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
CHEMBL6067748,Cc1ccc2cc(-c3ncnc4c3ccn4[C@@H]3C[C@H](C)[C@@H](O)C3)[nH]c2c1,IC50,50.0,nM,,572844.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
CHEMBL6067749,COc1ccc2cc(-c3ncnc4c3ccn4[C@@H]3C[C@H](C)[C@@H](O)C3)[nH]c2c1,IC50,50.0,nM,,572845.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
CHEMBL6067750,Cc1nc(-c2cc3ccccc3[nH]2)c2ccn([C@@H]3C[C@H](C)[C@@H](O)C3)c2n1,IC50,50.0,nM,,572846.0,CHEMBL5731644,9,CHEMBL2321622,CHEMBL5725883,7pvn,A0AVT1
