molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL334215,O=C1CCC(c2c(-c3ccc(F)cc3F)nc3ccccn23)=NN1c1c(Cl)cccc1Cl,IC50,8.0,nM,8.1,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL119675,O=C1CCC(c2c(-c3cccc(C(F)(F)F)c3)nc3ccccn23)=NN1c1ccccc1Cl,IC50,171.0,nM,6.77,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL118466,Cc1ccccc1N1N=C(c2c(-c3ccc(F)cc3Cl)nc3ccccn23)CCC1=O,IC50,14.0,nM,7.85,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL334184,O=c1ccc(-c2c(-c3ccc(F)cc3Cl)nc3ccccn23)nn1-c1ccccc1Cl,IC50,76.0,nM,7.12,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL118651,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3Cl)nc3ccccn23)ccc1=O,IC50,9.0,nM,8.05,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL331842,O=c1ccc(-c2c(-c3cccc(Cl)c3Cl)nc3ccccn23)nn1-c1c(Cl)cccc1Cl,IC50,270.0,nM,6.57,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL434409,O=C1CCC(c2c(-c3ccc(F)cc3Cl)nc3ccccn23)=NN1c1c(Cl)cccc1Cl,IC50,42.0,nM,7.38,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL118187,Cc1ccccc1-n1nc(-c2c(-c3ccc(F)cc3F)nc3ccccn23)ccc1=O,IC50,26.0,nM,7.58,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL325854,Cc1ccccc1N1N=C(c2c(-c3ccc(F)cc3F)nc3ccccn23)CCC1=O,IC50,8.0,nM,8.1,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL117228,O=C1CCC(c2c(-c3cccc(Cl)c3Cl)nc3ccccn23)=NN1c1c(Cl)cccc1Cl,IC50,2000.0,nM,5.7,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL332666,O=c1ccc(-c2c(-c3cccc(C(F)(F)F)c3)nc3ccccn23)nn1-c1c(Cl)cccc1Cl,IC50,1000.0,nM,6.0,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL118768,O=c1ccc(-c2c(-c3ccc(F)cc3Cl)nc3ccccn23)nn1-c1c(Cl)cccc1Cl,IC50,14.0,nM,7.85,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL325706,Cc1ccccc1-n1nc(-c2c(-c3cccc(Cl)c3Cl)nc3ccccn23)ccc1=O,IC50,22.0,nM,7.66,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL118917,O=C1CCC(c2c(-c3ccc(F)cc3Cl)nc3ccccn23)=NN1c1ccccc1Cl,IC50,208.0,nM,6.68,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,IC50,22.0,nM,7.66,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL333243,O=c1ccc(-c2c(-c3ccc(F)cc3F)nc3ccccn23)nn1-c1c(Cl)cccc1Cl,IC50,22.0,nM,7.66,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL117109,O=c1ccc(-c2c(-c3ccc(F)cc3)nc3ccccn23)nn1-c1c(Cl)cccc1Cl,IC50,49.0,nM,7.31,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL119406,O=c1ccc(-c2c(-c3cccc(C(F)(F)F)c3)nc3ccccn23)nn1-c1ccccc1Cl,IC50,344.0,nM,6.46,,CHEMBL733338,8,CHEMBL2336,CHEMBL1145952,7pvu,P47811
CHEMBL121294,O=C(Nc1ccc2c(c1)CNC(=O)N2c1c(Cl)cccc1Cl)c1ccccc1,IC50,8500.0,nM,5.07,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL120032,O=C1NCc2cc(NS(=O)(=O)c3ccccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,180.0,nM,6.75,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL123469,O=C1NCc2cc(NS(=O)(=O)c3cc(Cl)ccc3O)ccc2N1c1c(Cl)cccc1Cl,IC50,570.0,nM,6.24,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL331920,O=C1NCc2cc(NCc3ccccc3)ccc2N1c1c(Cl)cccc1Cl,IC50,150.0,nM,6.82,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL120730,O=C1NCc2cc(Sc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,470.0,nM,6.33,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL121317,O=C1NCc2cc(NS(=O)(=O)c3ccccc3)ccc2N1c1c(Cl)cccc1Cl,IC50,53.0,nM,7.28,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL334188,O=C1NCc2ccccc2N1c1c(Cl)cccc1Cl,IC50,11800.0,nM,4.93,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL332401,O=C1NCc2cc(NS(=O)(=O)c3cc(Cl)ccc3Cl)ccc2N1c1c(Cl)cccc1Cl,IC50,100.0,nM,7.0,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL120300,O=C1NCc2cc(NS(=O)(=O)c3ccc(F)c(Cl)c3)ccc2N1c1c(Cl)cccc1Cl,IC50,34.0,nM,7.47,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL415714,COc1cc2c(-c3ccccc3)nc(=O)n(C(C)C)c2cc1N1CCOCC1,IC50,14000.0,nM,4.85,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL120663,CN(c1ccc2c(c1)CNC(=O)N2c1c(Cl)cccc1Cl)S(=O)(=O)c1cc(Cl)ccc1Cl,IC50,780.0,nM,6.11,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL120230,O=C1NCc2cc(Nc3ccc(F)cc3F)ccc2N1c1c(Cl)cccc1Cl,IC50,380.0,nM,6.42,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL120453,Cc1ccc(S(=O)(=O)Nc2ccc3c(c2)CNC(=O)N3c2c(Cl)cccc2Cl)cc1,IC50,1800.0,nM,5.75,,CHEMBL733331,9,CHEMBL2336,CHEMBL1146826,7pvu,P47811
CHEMBL277409,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CCCCCC1,IC50,76.0,nM,7.12,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL22712,CC(C)(O)c1nc(-c2ccc(F)cc2)c(-c2ccncc2)[nH]1,IC50,470.0,nM,6.33,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL278783,CC(C)(C)c1nc(-c2ccccc2)c(-c2ccncc2)[nH]1,IC50,450.0,nM,6.35,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL280524,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)s2)CC1,IC50,450.0,nM,6.35,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL280524,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)s2)CC1,IC50,450.0,nM,6.35,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL25219,OC1(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CCCCC1,IC50,120.0,nM,6.92,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL22978,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,IC50,350.0,nM,6.46,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL22978,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,IC50,350.0,nM,6.46,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL280149,CN1CCC(O)(c2nc(-c3ccncc3)c(-c3ccc(F)cc3)o2)CC1,IC50,2000.0,nM,5.7,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
CHEMBL281145,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)CC1,IC50,90.0,nM,7.05,,CHEMBL842191,9,CHEMBL2336,CHEMBL1132910,7pvu,P47811
