molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4067706,N#Cc1c(-c2ccccc2)nc(SCc2cccc(C(=O)O)c2)[nH]c1=O,IC50,45.0,nM,7.35,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4067706,N#Cc1c(-c2ccccc2)nc(SCc2cccc(C(=O)O)c2)[nH]c1=O,IC50,45.0,nM,7.35,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4067706,N#Cc1c(-c2ccccc2)nc(SCc2cccc(C(=O)O)c2)[nH]c1=O,IC50,45.0,nM,7.35,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4088930,N#Cc1c(Cl)nc(SCc2cccc(C(=O)O)c2)nc1-c1ccccc1,IC50,316.0,nM,6.5,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4088930,N#Cc1c(Cl)nc(SCc2cccc(C(=O)O)c2)nc1-c1ccccc1,IC50,316.0,nM,6.5,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4088930,N#Cc1c(Cl)nc(SCc2cccc(C(=O)O)c2)nc1-c1ccccc1,IC50,316.0,nM,6.5,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL1082811,N#Cc1c(-c2ccccc2)nc(SCc2ccccc2)[nH]c1=O,IC50,4450.0,nM,5.35,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4061780,O=C(O)c1cccc(CSc2nc(-c3ccccc3)cc(=O)[nH]2)c1,IC50,1055.0,nM,5.98,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4061780,O=C(O)c1cccc(CSc2nc(-c3ccccc3)cc(=O)[nH]2)c1,IC50,1055.0,nM,5.98,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
CHEMBL4061780,O=C(O)c1cccc(CSc2nc(-c3ccccc3)cc(=O)[nH]2)c1,IC50,1055.0,nM,5.98,,CHEMBL4028573,9,CHEMBL4105941,CHEMBL4024800,7pwy,Q8TDX5
