molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2179988,NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1,IC50,17800.0,nM,4.75,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL2179988,NC(=O)c1cccc(NC(=O)/C=C/C(=O)O)c1,IC50,17800.0,nM,4.75,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL2179989,NC(=O)c1cccc(NC(=O)/C=C\C(=O)O)c1,IC50,15800.0,nM,4.8,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL2179989,NC(=O)c1cccc(NC(=O)/C=C\C(=O)O)c1,IC50,15800.0,nM,4.8,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL296834,O=C(O)CCC(=O)Nc1cccc(C(=O)O)c1,IC50,,,,ND(Insoluble),CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL3414762,CNC(=O)c1cccc(NC(=O)/C=C\C(=O)O)c1,IC50,,,,ND(Insoluble),CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL3414758,C=CCNC(=O)CCC(=O)Nc1cccc(C(=O)NCC=C)c1,IC50,,,,ND(Insoluble),CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL3414756,NC(=O)c1cccc(NC(=O)CCC(=O)O)c1,IC50,16300.0,nM,4.79,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL3414756,NC(=O)c1cccc(NC(=O)CCC(=O)O)c1,IC50,16300.0,nM,4.79,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL3414763,C/C(=C/C(=O)O)C(=O)Nc1cccc(C(N)=O)c1,IC50,20000.0,nM,,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
CHEMBL3414764,C/C(=C/C(=O)Nc1cccc(C(N)=O)c1)C(=O)O,IC50,2300.0,nM,5.64,,CHEMBL3420115,9,CHEMBL2176778,CHEMBL3414457,7px7,Q460N3
