molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL744,Nc1nc2ccc(OC(F)(F)F)cc2s1,IC50,50000.0,nM,4.3,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL744,Nc1nc2ccc(OC(F)(F)F)cc2s1,IC50,50000.0,nM,4.3,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL744,Nc1nc2ccc(OC(F)(F)F)cc2s1,IC50,50000.0,nM,4.3,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL432942,CS(=O)(=O)c1ccc2nc(N)sc2c1,IC50,212000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL432942,CS(=O)(=O)c1ccc2nc(N)sc2c1,IC50,212000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL432942,CS(=O)(=O)c1ccc2nc(N)sc2c1,IC50,212000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL318275,Nc1nc2ccc([N+](=O)[O-])cc2s1,IC50,40000.0,nM,4.4,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL318275,Nc1nc2ccc([N+](=O)[O-])cc2s1,IC50,40000.0,nM,4.4,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1413383,Nc1nc2c(Cl)cccc2s1,IC50,1000000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1413383,Nc1nc2c(Cl)cccc2s1,IC50,1000000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL329785,Nc1nc2ccccc2s1,IC50,1800000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL329785,Nc1nc2ccccc2s1,IC50,1800000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650466,O=C(CN1C(=O)c2ccccc2C1=O)Nc1nnc(CN2C(=O)c3ccccc3C2=O)s1,IC50,116000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650466,O=C(CN1C(=O)c2ccccc2C1=O)Nc1nnc(CN2C(=O)c3ccccc3C2=O)s1,IC50,116000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650465,O=C(CCCl)Nc1nnc(CCCl)s1,IC50,93000.0,nM,4.03,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650465,O=C(CCCl)Nc1nnc(CCCl)s1,IC50,93000.0,nM,4.03,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650288,Nc1nnc(CCC(=O)c2ccc(Cl)cc2)s1,IC50,89000.0,nM,4.05,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650288,Nc1nnc(CCC(=O)c2ccc(Cl)cc2)s1,IC50,89000.0,nM,4.05,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650287,Nc1nnc(CCC(=O)c2cccs2)s1,IC50,29000.0,nM,4.54,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650287,Nc1nnc(CCC(=O)c2cccs2)s1,IC50,29000.0,nM,4.54,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650283,Nc1nnc(-c2cc(=O)c3ccccc3o2)s1,IC50,22000.0,nM,4.66,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650283,Nc1nnc(-c2cc(=O)c3ccccc3o2)s1,IC50,22000.0,nM,4.66,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650282,Nc1nnc(-c2ccc3[nH]nnc3c2)s1,IC50,309000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650282,Nc1nnc(-c2ccc3[nH]nnc3c2)s1,IC50,309000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650277,Nc1nnc(-c2cnccc2N)s1,IC50,31000.0,nM,4.51,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650277,Nc1nnc(-c2cnccc2N)s1,IC50,31000.0,nM,4.51,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650274,O=C(c1ccc(O)cc1)c1ccc(F)cc1,IC50,2300000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL595536,Cc1cc(N)c2ccccc2n1,IC50,390000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650263,Cn1ncc2cc(N)ccc21,IC50,1000000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL147741,O=Cc1c[nH]c2ccccc12,IC50,1100000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL284348,Nc1ccncc1,IC50,1900000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
CHEMBL1650237,Nc1nncs1,IC50,5600000.0,nM,,,CHEMBL1655366,9,CHEMBL6194,CHEMBL1649070,7pxx,Q01782
