molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL107174,Cc1c(C2=NC(C(=O)NO)CS2)cnn1-c1ccccc1,IC50,60000.0,nM,,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL106879,O=C(NO)C1COC(c2ccc([N+](=O)[O-])cc2)=N1,IC50,5400.0,nM,5.27,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL106826,CCCCn1nc(C2=NC(C(=O)NO)CO2)c2ccccc21,IC50,10000.0,nM,5.0,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL105262,COc1c(F)cc(C2=NC(C(=O)NO)CO2)cc1Br,IC50,9000.0,nM,5.05,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL324440,O=C(NO)C1COC(c2cc3cc(F)ccc3[nH]2)=N1,IC50,1600.0,nM,5.8,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL105660,Cc1ccc(C(=O)NC(CO)C(=O)NO)cc1,IC50,50000.0,nM,,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL319430,O=C(NO)C1CCOC(c2ccc(F)c(C(F)(F)F)c2)=N1,IC50,21200.0,nM,4.67,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL104671,O=C(NO)C1COC(c2ccc(OC(F)(F)F)c(Cl)c2)=N1,IC50,30000.0,nM,4.52,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL107450,O=C(NO)C1COC(c2ccc(O)cc2)=N1,IC50,30000.0,nM,,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL320155,CCCCn1nc2ccccc2c1C1=NC(C(=O)NO)CO1,IC50,12000.0,nM,4.92,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL242031,O=C(NC(CO)C(=O)NO)c1n[nH]c2ccccc12,IC50,13000.0,nM,4.89,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL324878,O=C(NO)C1COC(c2ccccc2OC(F)(F)F)=N1,IC50,10000.0,nM,,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL106989,C=CCCOc1ccc(C2=NC(C(=O)NO)CO2)cc1,IC50,5600.0,nM,5.25,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL107004,O=C(NO)C1COC(c2[nH]nc3ccccc23)=N1,IC50,5500.0,nM,5.26,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL107405,Cc1ccc(C2=NC(C(=O)NO)CCO2)cc1,IC50,50000.0,nM,,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL107127,O=C(NO)C1CSC(c2ccc(OC(F)(F)F)cc2)=N1,IC50,21700.0,nM,4.66,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL106727,CCCc1ccc(-c2ccc(C3=NC(C(=O)NO)CO3)cc2)cc1,IC50,280.0,nM,6.55,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL108276,CCOc1cc(C(=O)NC(CO)C(=O)NO)ccc1F,IC50,46000.0,nM,4.34,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL106912,O=C(NO)C1COC(c2cccc(C(F)(F)F)c2)=N1,IC50,2500.0,nM,5.6,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL106733,CN(C)c1ccc(C2=NC(C(=O)NO)CO2)cc1,IC50,4900.0,nM,5.31,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL107954,CC(=O)Nc1ccc(C2=NC(C(=O)NO)CO2)cc1,IC50,30000.0,nM,,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
CHEMBL323961,Cc1c(C2=NC(C(=O)NO)CO2)cnn1-c1ccccc1,IC50,30000.0,nM,,,CHEMBL878971,8,CHEMBL3855,CHEMBL1135994,7pzw,P47205
