molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1358945,CCCc1cc(SCC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)n2c(nc3ccccc32)c1C#N,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL1358945,CCCc1cc(SCC(=O)Nc2c(C)n(C)n(-c3ccccc3)c2=O)n2c(nc3ccccc32)c1C#N,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL3191473,O=C(/C=C(/NCCO)C(F)(F)F)c1ccc(Cl)cc1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL3191473,O=C(/C=C(/NCCO)C(F)(F)F)c1ccc(Cl)cc1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL1537858,Cc1cc(NC(=O)CSc2ncnc3ccccc23)no1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL1537858,Cc1cc(NC(=O)CSc2ncnc3ccccc23)no1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL1576855,CCOc1ccccc1N1Cc2cc(C)c(C)cc2C1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL1576855,CCOc1ccccc1N1Cc2cc(C)c(C)cc2C1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL1360493,O=C(ONc1ccc(N=NC(=O)c2ccccc2O)cc1)c1ccccc1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
CHEMBL1360493,O=C(ONc1ccc(N=NC(=O)c2ccccc2O)cc1)c1ccccc1,IC50,100000.0,nM,,Not Active,CHEMBL1613848,9,CHEMBL5460,CHEMBL1201862,7q4r,P0DMV8
