molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL186778,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccccc2)o1)C(C)(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,1600.0,nM,5.8,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL189604,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccccc2)o1)C(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,5600.0,nM,5.25,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL188563,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccccc2)o1)C(C)(C)CC)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,2800.0,nM,5.55,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL188438,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,34000.0,nM,4.47,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL363773,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(C(F)(F)F)cc2)o1)C(C)(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,5000.0,nM,5.3,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL188400,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(C(F)(F)F)cc2)o1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,IC50,1200.0,nM,5.92,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL234367,CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,IC50,170.0,nM,6.77,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL190053,CCCC[C@H](NC(=O)O[C@H](Cn1cc(-c2ccc(C(F)(F)F)cc2)cn1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,IC50,430.0,nM,6.37,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL191584,CCCC[C@H](NC(=O)O[C@H](Cn1cnc(-c2ccc(C(F)(F)F)cc2)c1)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,IC50,130.0,nM,6.89,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL191178,CCCC[C@H](NC(=O)O[C@H](CN1CCN(c2ccc(C(F)(F)F)cc2)C1=O)C(C)(C)C)C(=O)C(=O)Nc1ccn[nH]1,IC50,1700.0,nM,5.77,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL186149,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)Nc1cc[nH]n1,IC50,230000.0,nM,,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL426617,CCCC[C@H](NC(=O)OC(Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)N[C@H]1CCCNC1=O,IC50,1300.0,nM,5.89,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL189417,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(F)cc2)o1)C(C)(C)C)C(=O)C(=O)NCc1cccnc1,IC50,14000.0,nM,4.85,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL365822,CCCC[C@H](NC(=O)O[C@H](Cc1nnc(-c2ccc(C(F)(F)F)cc2)o1)C(C)(C)C)C(=O)C(=O)NN1CCOC1=O,IC50,7100.0,nM,5.15,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL188929,CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)C(=O)Nc1ccccn1,IC50,4500.0,nM,5.35,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL187864,CCCC[C@H](NC(=O)O[C@H](Cn1cnc(-c2ccc(C(F)(F)F)cc2)c1)C(C)(C)C)C(=O)C(=O)Nc1nccs1,IC50,36000.0,nM,4.44,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL365049,CCCC[C@H](NC(=O)O[C@H](Cn1ccc(-c2ccc(C(F)(F)F)cc2)n1)C(C)(C)C)C(=O)C(=O)NCc1ccno1,IC50,36000.0,nM,4.44,,CHEMBL827829,9,CHEMBL3272,CHEMBL1142749,7q8k,O60911
CHEMBL371749,CCCC[C@H](NC(=O)O[C@@H]1C[C@H](C)C[C@H](C)C1)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,2800.0,nM,5.55,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL195301,CCCC[C@H](NC(=O)OC1C[C@H](C)C[C@@H](C)C1)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,2000.0,nM,5.7,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL196240,CCCC[C@H](NC(=O)O[C@H]1CCc2ccccc21)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,290.0,nM,6.54,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL195963,CCCC[C@H](NC(=O)O[C@H]1CCCc2ccccc21)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,340.0,nM,6.47,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL196298,CCCC[C@H](NC(=O)OC1CC2CCC1C2)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,190.0,nM,6.72,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL193582,CCCC[C@H](NC(=O)OC1C2(C)CCC(C2)C1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,180.0,nM,6.75,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL197509,CCCC[C@H](NC(=O)OC1C2CC3CC(C2)CC1C3)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,390.0,nM,6.41,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL196896,CCCC[C@H](NC(=O)O[C@@H]1C(=O)OCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,79.0,nM,7.1,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL194068,CCCC[C@H](NC(=O)O[C@@H]1C(=O)NCC1(C)C)C(=O)C(=O)N[C@H](C)c1ccccc1,IC50,29.0,nM,7.54,,CHEMBL829137,9,CHEMBL3272,CHEMBL1143550,7q8k,O60911
CHEMBL230473,Cc1cccc(O[C@H]2CCN3C[C@@H]2OC3=O)c1C,IC50,3317.0,nM,5.48,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL397972,O=C1O[C@H]2CN1CC[C@@H]2Br,IC50,10000.0,nM,,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL230478,CC(C)CO[C@H]1CCN2C[C@H]1OC2=O,IC50,894.0,nM,6.05,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL390475,O=C1O[C@@H]2CN1CC[C@@H]2OCc1ccccc1,IC50,1289.0,nM,5.89,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL230474,O=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1,IC50,158.0,nM,6.8,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL390643,S=C1O[C@@H]2CN1CC[C@@H]2Oc1ccccc1,IC50,5166.0,nM,5.29,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL390474,Cc1cccc(O[C@H]2CCN3C[C@H]2OC3=O)c1C,IC50,131.0,nM,6.88,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL230479,Cc1cccc(O[C@@H]2CCNC[C@H]2O)c1C,IC50,100000.0,nM,,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL397973,Cc1cccc(OCC2CN(C)C(=O)O2)c1C,IC50,100000.0,nM,,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL441907,Cc1cccc(O[C@@H]2CCNC[C@@H]2O)c1C,IC50,100000.0,nM,,,CHEMBL907578,9,CHEMBL3272,CHEMBL1144593,7q8k,O60911
CHEMBL481611,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1,IC50,762.0,nM,6.12,,CHEMBL945084,8,CHEMBL3272,CHEMBL1141480,7q8k,O60911
CHEMBL550246,N#CCNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1ccccc1,IC50,794.33,nM,6.1,,CHEMBL1058862,8,CHEMBL3272,CHEMBL1152364,7q8k,O60911
CHEMBL550246,N#CCNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)c1ccccc1,IC50,794.33,nM,6.1,,CHEMBL1058862,8,CHEMBL3272,CHEMBL1152364,7q8k,O60911
CHEMBL557920,N#CCNC(=O)[C@H](Cc1cccc(Cl)c1)NC(=O)C1CCCCC1,IC50,6309.57,nM,5.2,,CHEMBL1058862,8,CHEMBL3272,CHEMBL1152364,7q8k,O60911
