molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2420629,O=C(NCc1ccc(S(=O)(=O)c2cc(F)cc(F)c2)cc1)c1ccc2nccn2c1,IC50,24.0,nM,7.62,,CHEMBL3271355,9,CHEMBL3259474,CHEMBL3259558,7q8t,Q99KQ4
CHEMBL3260358,O=C(NCc1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)cc1)c1cnc2[nH]ncc2c1,IC50,59.0,nM,7.23,,CHEMBL3271355,9,CHEMBL3259474,CHEMBL3259558,7q8t,Q99KQ4
CHEMBL3753517,O=C(CCCCCc1cn(-c2ccccc2-c2ccccc2)nn1)NCc1cccnc1,IC50,267.0,nM,6.57,,CHEMBL3755458,9,CHEMBL3259474,CHEMBL3751665,7q8t,Q99KQ4
CHEMBL3752157,O=C(CCCCCc1cn(-c2ccccc2-c2ccccc2)nn1)NCCc1cccnc1,IC50,170.0,nM,6.77,,CHEMBL3755458,9,CHEMBL3259474,CHEMBL3751665,7q8t,Q99KQ4
CHEMBL3753643,O=C(/C=C/c1cccnc1)NCCCCCc1cn(-c2ccccc2-c2ccccc2)nn1,IC50,114.0,nM,6.94,,CHEMBL3755458,9,CHEMBL3259474,CHEMBL3751665,7q8t,Q99KQ4
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,61.0,nM,7.21,,CHEMBL3755458,9,CHEMBL3259474,CHEMBL3751665,7q8t,Q99KQ4
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,61.0,nM,7.21,,CHEMBL3755458,9,CHEMBL3259474,CHEMBL3751665,7q8t,Q99KQ4
CHEMBL566757,O=C(/C=C/c1cccnc1)NCCCCC1CCN(C(=O)c2ccccc2)CC1,IC50,61.0,nM,7.21,,CHEMBL3755458,9,CHEMBL3259474,CHEMBL3751665,7q8t,Q99KQ4
CHEMBL4070645,O=C(NCCCCCCCn1cc(-c2ccc[n+]([O-])c2)nn1)c1ccccc1-c1ccccc1,IC50,,,,Not Active,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
CHEMBL4070645,O=C(NCCCCCCCn1cc(-c2ccc[n+]([O-])c2)nn1)c1ccccc1-c1ccccc1,IC50,,,,Not Active,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
CHEMBL4099274,[O-][n+]1cccc(-c2cn(CCCCCCOc3ccccc3-c3ccccc3)nn2)c1,IC50,,,,Not Active,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
CHEMBL4079833,c1ccc(-c2ccccc2Oc2ccc(CCCn3cc(-c4cccnc4)nn3)cc2)cc1,IC50,,,,Not Determined,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
CHEMBL4097857,c1ccc(-c2ccccc2OCCCc2ccc(-n3cc(-c4cccnc4)nn3)cc2)cc1,IC50,,,,Not Determined,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
CHEMBL4103162,c1ccc(-c2ccccc2OCc2ccc(CCn3cc(-c4cccnc4)nn3)cc2)cc1,IC50,,,,Not Determined,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
CHEMBL4078882,c1ccc(-c2ccccc2OCCc2ccc(Cn3cc(-c4cccnc4)nn3)cc2)cc1,IC50,15.6,nM,7.81,,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
CHEMBL4095411,O=S(=O)(NCCCCCCn1cc(-c2cccnc2)nn1)c1ccccc1-c1ccccc1,IC50,,,,Not Determined,CHEMBL4008461,9,CHEMBL3259474,CHEMBL4007408,7q8t,Q99KQ4
