molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL109279,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,950.0,nM,6.02,,CHEMBL814597,9,CHEMBL1860,CHEMBL1135520,7qdt,P10827
CHEMBL109279,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(C#Cc2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,950.0,nM,6.02,,CHEMBL814597,9,CHEMBL1860,CHEMBL1135520,7qdt,P10827
CHEMBL112087,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,5000.0,nM,5.3,,CHEMBL814597,9,CHEMBL1860,CHEMBL1135520,7qdt,P10827
CHEMBL112087,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,5000.0,nM,5.3,,CHEMBL814597,9,CHEMBL1860,CHEMBL1135520,7qdt,P10827
CHEMBL112087,Cc1cc(OCC(=O)O)cc(C)c1Cc1cc(-c2ccc([N+](=O)[O-])cc2)c(O)c(C(C)C)c1,IC50,5000.0,nM,5.3,,CHEMBL814597,9,CHEMBL1860,CHEMBL1135520,7qdt,P10827
CHEMBL85571,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCc1ccc(Cl)cc1Cl,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL311171,N=C(c1ccc(Cl)cc1)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL85385,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCc1ccccc1,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL82517,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCC(=O)Nc1ccccc1,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL313108,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCC(=O)Nc1ccc(Cl)cc1Cl,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL419492,N=C(c1cccnc1)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL83953,N=C(c1ccccn1)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1,IC50,39000.0,nM,4.41,,CHEMBL814591,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL86271,N=C(CCl)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1,IC50,1800.0,nM,5.75,,CHEMBL814591,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL84215,N=C(c1ccc(Cl)cc1)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2)c(Cl)c1,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL82131,O=C(Nc1ccc(Cc2ccc(NC(=O)c3cccc([N+](=O)[O-])c3)cc2)cc1)c1cccc([N+](=O)[O-])c1,IC50,18100.0,nM,4.74,,CHEMBL814591,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL85322,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCC(=O)c1ccc(Cl)cc1Cl,IC50,69000.0,nM,4.16,,CHEMBL814591,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL83829,N=C(c1cc(Cl)cc(Cl)c1)N(N)S(=O)(=O)c1cc(Cl)c(Oc2ccc([N+](=O)[O-])cc2Cl)c(Cl)c1,IC50,930.0,nM,6.03,,CHEMBL814591,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL82562,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCC(=O)C(C)(C)C,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL84264,Cn1c(Cc2nn(C)c(=O)c3ccccc23)ccc1SCC(=O)c1ccccc1,IC50,,nM,,Not Active,CHEMBL814592,8,CHEMBL1860,CHEMBL1131011,7qdt,P10827
CHEMBL160883,Cc1oc2ccccc2c1C(=O)c1cc(I)c(OCC(=O)O)c(I)c1,IC50,820.0,nM,6.09,,CHEMBL814596,8,CHEMBL1860,CHEMBL1136014,7qdt,P10827
CHEMBL160703,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCC(=O)O)c(I)c1,IC50,1400.0,nM,5.85,,CHEMBL814596,8,CHEMBL1860,CHEMBL1136014,7qdt,P10827
CHEMBL633,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IC50,650.0,nM,6.19,,CHEMBL814596,8,CHEMBL1860,CHEMBL1136014,7qdt,P10827
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,4500.0,nM,5.35,,CHEMBL814596,8,CHEMBL1860,CHEMBL1136014,7qdt,P10827
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,4500.0,nM,5.35,,CHEMBL814596,8,CHEMBL1860,CHEMBL1136014,7qdt,P10827
CHEMBL157885,Cc1oc2ccccc2c1Cc1cc(I)c(OCC(=O)O)c(I)c1,IC50,4500.0,nM,5.35,,CHEMBL814596,8,CHEMBL1860,CHEMBL1136014,7qdt,P10827
CHEMBL557,N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,IC50,0.24,nM,9.62,,CHEMBL873891,9,CHEMBL1860,CHEMBL1136772,7qdt,P10827
CHEMBL557,N[C@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,IC50,0.24,nM,9.62,,CHEMBL873891,9,CHEMBL1860,CHEMBL1136772,7qdt,P10827
