molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL142425,C[C@H](O)CNc1cc(-c2[nH]c3cccnc3c2-c2ccc(F)cc2)ccn1,IC50,30000.0,nM,,,CHEMBL698856,8,CHEMBL3778,CHEMBL1145138,7qg1,Q9NWZ3
CHEMBL197603,COc1cc(-c2nn([C@H]3CC[C@H](N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,IC50,25000.0,nM,,,CHEMBL863888,9,CHEMBL3778,CHEMBL1148543,7qg1,Q9NWZ3
CHEMBL210658,O=C(Nc1nc2ccccc2[nH]1)c1cccc([N+](=O)[O-])c1,IC50,4000.0,nM,5.4,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
CHEMBL426133,N#Cc1cccc(C(=O)Nc2nc3ccccc3[nH]2)c1,IC50,13600.0,nM,4.87,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
CHEMBL209118,O=C(Nc1nc2ccccc2[nH]1)c1ccc(F)c([N+](=O)[O-])c1,IC50,6500.0,nM,5.19,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
CHEMBL209715,Cc1ccc(C(=O)Nc2nc3ccccc3[nH]2)cc1[N+](=O)[O-],IC50,12000.0,nM,4.92,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
CHEMBL209716,CCCCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,IC50,2000.0,nM,5.7,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
CHEMBL377654,CCCCn1c(NC(=O)c2cccc(Cl)c2)nc2ccccc21,IC50,30000.0,nM,4.52,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
CHEMBL209075,CCCCn1c(NC(=O)c2ccc(Cl)c(Cl)c2)nc2ccccc21,IC50,3000.0,nM,5.52,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
CHEMBL380097,CCCCn1c(NC(=O)c2ccc(OC)cc2)nc2ccccc21,IC50,6500.0,nM,5.19,,CHEMBL870864,9,CHEMBL3778,CHEMBL1147720,7qg1,Q9NWZ3
