molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,IC50,1071.52,nM,5.97,,CHEMBL2211988,8,CHEMBL1770034,CHEMBL2203257,7qie,Q8TBX8
CHEMBL4062218,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccc5nc(C)oc5c4)c[nH]c3n2)c(OC)c1,IC50,1100.0,nM,5.96,,CHEMBL4031767,9,CHEMBL1770034,CHEMBL4028873,7qie,Q8TBX8
CHEMBL4062218,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccc5nc(C)oc5c4)c[nH]c3n2)c(OC)c1,IC50,1100.0,nM,5.96,,CHEMBL4031767,9,CHEMBL1770034,CHEMBL4028873,7qie,Q8TBX8
CHEMBL1378392,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,IC50,15800.0,nM,4.8,,CHEMBL4345240,9,CHEMBL1770034,CHEMBL4342488,7qie,Q8TBX8
CHEMBL1378392,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,IC50,15800.0,nM,4.8,,CHEMBL4345240,9,CHEMBL1770034,CHEMBL4342488,7qie,Q8TBX8
CHEMBL1378392,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,IC50,15800.0,nM,4.8,,CHEMBL4345240,9,CHEMBL1770034,CHEMBL4342488,7qie,Q8TBX8
CHEMBL1529478,FC(F)(F)c1ccccc1-c1nc(NCc2cccs2)c2ccccc2n1,IC50,1000.0,nM,6.0,,CHEMBL4345240,9,CHEMBL1770034,CHEMBL4342488,7qie,Q8TBX8
CHEMBL1529478,FC(F)(F)c1ccccc1-c1nc(NCc2cccs2)c2ccccc2n1,IC50,1000.0,nM,6.0,,CHEMBL4345240,9,CHEMBL1770034,CHEMBL4342488,7qie,Q8TBX8
CHEMBL5083265,CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2ccccc2n1,IC50,630.96,nM,6.2,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL5076920,Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccccn1,IC50,3981.07,nM,5.4,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL5084764,CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2ncccc2n1,IC50,3162.28,nM,5.5,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL5077419,CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2cccnc2n1,IC50,794.33,nM,6.1,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL5077987,FC(F)(F)c1ccccc1-c1nc(NCc2ccccn2)c2cccnc2n1,IC50,630.96,nM,6.2,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL5085734,CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2c(ccn2C)n1,IC50,794.33,nM,6.1,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL5085734,CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2c(ccn2C)n1,IC50,794.33,nM,6.1,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL5092753,CC(C)c1ccccc1-c1nc(NCc2ccccn2)c2[nH]ccc2n1,IC50,1995.26,nM,5.7,,CHEMBL5045812,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL1529478,FC(F)(F)c1ccccc1-c1nc(NCc2cccs2)c2ccccc2n1,IC50,2000.0,nM,5.7,,CHEMBL5045818,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL1529478,FC(F)(F)c1ccccc1-c1nc(NCc2cccs2)c2ccccc2n1,IC50,2000.0,nM,5.7,,CHEMBL5045818,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL1378392,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,IC50,16000.0,nM,4.8,,CHEMBL5045818,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL1378392,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,IC50,16000.0,nM,4.8,,CHEMBL5045818,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL1378392,Cn1nnnc1Sc1ncnc2scc(-c3cccc(S(C)(=O)=O)c3)c12,IC50,16000.0,nM,4.8,,CHEMBL5045818,9,CHEMBL1770034,CHEMBL5042546,7qie,Q8TBX8
CHEMBL4062218,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccc5nc(C)oc5c4)c[nH]c3n2)c(OC)c1,IC50,1300.0,nM,5.89,,CHEMBL5213075,9,CHEMBL1770034,CHEMBL5212743,7qie,Q8TBX8
CHEMBL4062218,CNC(=O)c1ccc(Nc2nc(OC3CCCC3)c3c(-c4ccc5nc(C)oc5c4)c[nH]c3n2)c(OC)c1,IC50,1300.0,nM,5.89,,CHEMBL5213075,9,CHEMBL1770034,CHEMBL5212743,7qie,Q8TBX8
CHEMBL4446338,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4c[nH]c5ccccc45)ncn3)c2)cc1,IC50,4800.0,nM,5.32,,CHEMBL5356193,9,CHEMBL1770034,CHEMBL5352489,7qie,Q8TBX8
CHEMBL4446338,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4c[nH]c5ccccc45)ncn3)c2)cc1,IC50,4800.0,nM,5.32,,CHEMBL5356193,9,CHEMBL1770034,CHEMBL5352489,7qie,Q8TBX8
CHEMBL4446338,CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3cc(-c4c[nH]c5ccccc45)ncn3)c2)cc1,IC50,4800.0,nM,5.32,,CHEMBL5356193,9,CHEMBL1770034,CHEMBL5352489,7qie,Q8TBX8
CHEMBL5410975,Cc1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,79.43,nM,7.1,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5413585,CS(=O)(=O)c1ccc(Nc2ncnc3sccc23)cc1,IC50,316.23,nM,6.5,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5288342,COc1ccc(Nc2ncnc3c2ccn3-c2ccc(C)c(C)c2)cc1Cl,IC50,50118.72,nM,,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5267048,COc1ccc(-n2ncc3c(Nc4ccc(OC)c(Cl)c4)ncnc32)cc1,IC50,12589.25,nM,4.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5422736,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4ccccc4)cc23)cc1,IC50,39.81,nM,7.4,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5422736,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4ccccc4)cc23)cc1,IC50,39.81,nM,7.4,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5431778,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4ccncc4)cc23)cc1,IC50,19.95,nM,7.7,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5425953,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4cn[nH]c4)cc23)cc1,IC50,15.85,nM,7.8,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5399032,Cn1cc(-c2cc3c(Nc4ccc(S(C)(=O)=O)cc4)ncnc3s2)cn1,IC50,39.81,nM,7.4,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5399032,Cn1cc(-c2cc3c(Nc4ccc(S(C)(=O)=O)cc4)ncnc3s2)cn1,IC50,39.81,nM,7.4,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5413364,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4cccnc4)cc23)cc1,IC50,31.62,nM,7.5,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405402,Cc1cnccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,12.59,nM,7.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405402,Cc1cnccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,12.59,nM,7.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5415354,COc1cnccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,31.62,nM,7.5,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5403647,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4ccncc4F)cc23)cc1,IC50,100.0,nM,7.0,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5428618,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4ccnc(Cl)c4)cc23)cc1,IC50,63.1,nM,7.2,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5399468,Cc1ccncc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,12.59,nM,7.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5427550,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4cccnc4Cl)cc23)cc1,IC50,12.59,nM,7.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5427550,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4cccnc4Cl)cc23)cc1,IC50,12.59,nM,7.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5399847,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4cccnc4F)cc23)cc1,IC50,31.62,nM,7.5,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405966,Cc1ncccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,19.95,nM,7.7,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405966,Cc1ncccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,19.95,nM,7.7,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5425693,Cc1ccc(Nc2ncnc3sc(-c4cccnc4C)cc23)cc1C,IC50,1258.93,nM,5.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5419597,Cc1ccc(Nc2ncnc3sc(-c4cccnc4C)cc23)c(C)c1,IC50,3981.07,nM,5.4,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5416792,COc1ccc(Nc2ncnc3sc(-c4cccnc4C)cc23)cc1,IC50,1995.26,nM,5.7,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5422920,Cc1cccc(Nc2ncnc3sc(-c4cccnc4C)cc23)c1,IC50,5011.87,nM,5.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5422646,Cc1ccc(Nc2ncnc3sc(-c4cccnc4C)cc23)cc1,IC50,1584.89,nM,5.8,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5398260,CCc1ccc(Nc2ncnc3sc(-c4cccnc4C)cc23)cc1,IC50,398.11,nM,6.4,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5397757,Cc1ncccc1-c1cc2c(Nc3ccc(C4CC4)cc3)ncnc2s1,IC50,100.0,nM,7.0,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5397186,CSc1ccc(Nc2ncnc3sc(-c4cccnc4C)cc23)cc1,IC50,50.12,nM,7.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5400154,CSc1ccc(Nc2ncnc3sc(-c4ccncc4C)cc23)cc1,IC50,19.95,nM,7.7,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5427841,COc1ccc(Nc2ncnc3sc(-c4ccncc4C)cc23)cc1,IC50,630.96,nM,6.2,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5423670,CSc1ccc(Nc2ncnc3sc(-c4cccnc4Cl)cc23)cc1,IC50,19.95,nM,7.7,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5400049,CSc1ccc(Nc2ncnc3sc(-c4cnoc4)cc23)cc1,IC50,39.81,nM,7.4,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5424397,CSc1ccc(Nc2ncnc3sc(-c4c(C)noc4C)cc23)cc1,IC50,25.12,nM,7.6,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5428289,Cc1csc2ncnc(Nc3ccc(S(C)(=O)=O)cc3)c12,IC50,50.12,nM,7.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5402305,CS(=O)(=O)c1ccc(Nc2ncnc3scc(Cl)c23)cc1,IC50,50.12,nM,7.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5413329,CS(=O)(=O)c1ccc(Nc2ncnc3scc(C4CC4)c23)cc1,IC50,100.0,nM,7.0,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5436163,CN(C(=O)c1csc2ncnc(Nc3ccc(S(C)(=O)=O)cc3)c12)c1ccccc1,IC50,50.12,nM,7.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5411356,Cc1sc2ncnc(Nc3ccc(S(C)(=O)=O)cc3)c2c1C,IC50,199.53,nM,6.7,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5415385,CS(=O)(=O)c1ccc(Nc2ncnc3ccsc23)cc1,IC50,50.12,nM,7.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5426348,CS(=O)(=O)c1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,12.59,nM,7.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5426348,CS(=O)(=O)c1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,12.59,nM,7.9,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5412191,Cc1ncccc1-c1cc2ncnc(Nc3ccc(C4CC4)cc3)c2s1,IC50,50.12,nM,7.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5420914,CSc1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,7.943,nM,8.1,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5420914,CSc1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,7.943,nM,8.1,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5425305,Cc1ncccc1-c1cc2ncnc(Nc3ccc(S(F)(F)(F)(F)F)cc3)c2s1,IC50,100.0,nM,7.0,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5396007,Cc1ncccc1-c1cc2ncnc(Nc3ccc4ncoc4c3)c2s1,IC50,501.19,nM,6.3,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5394000,Cc1ncccc1-c1cc2ncnc(Nc3ccc(N4CCCC4=O)cc3)c2s1,IC50,7.943,nM,8.1,,CHEMBL5357388,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5422736,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4ccccc4)cc23)cc1,IC50,251.19,nM,6.6,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5422736,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4ccccc4)cc23)cc1,IC50,251.19,nM,6.6,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5399032,Cn1cc(-c2cc3c(Nc4ccc(S(C)(=O)=O)cc4)ncnc3s2)cn1,IC50,199.53,nM,6.7,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5399032,Cn1cc(-c2cc3c(Nc4ccc(S(C)(=O)=O)cc4)ncnc3s2)cn1,IC50,199.53,nM,6.7,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405402,Cc1cnccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,19.95,nM,7.7,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405402,Cc1cnccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,19.95,nM,7.7,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5427550,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4cccnc4Cl)cc23)cc1,IC50,79.43,nM,7.1,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5427550,CS(=O)(=O)c1ccc(Nc2ncnc3sc(-c4cccnc4Cl)cc23)cc1,IC50,79.43,nM,7.1,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405966,Cc1ncccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,50.12,nM,7.3,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5405966,Cc1ncccc1-c1cc2c(Nc3ccc(S(C)(=O)=O)cc3)ncnc2s1,IC50,50.12,nM,7.3,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5426348,CS(=O)(=O)c1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,39.81,nM,7.4,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5426348,CS(=O)(=O)c1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,39.81,nM,7.4,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5420914,CSc1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,50.12,nM,7.3,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5420914,CSc1ccc(Nc2ncnc3cc(-c4cccnc4Cl)sc23)cc1,IC50,50.12,nM,7.3,,CHEMBL5357395,9,CHEMBL1770034,CHEMBL5356940,7qie,Q8TBX8
CHEMBL5174830,CN(C)CC#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3,IC50,10000.0,nM,,,CHEMBL5479576,9,CHEMBL1770034,CHEMBL5465560,7qie,Q8TBX8
CHEMBL5174830,CN(C)CC#Cc1ccc2[nH]c3c(c2c1)-c1nc(N)ncc1CCC3,IC50,10000.0,nM,,,CHEMBL5479576,9,CHEMBL1770034,CHEMBL5465560,7qie,Q8TBX8
CHEMBL1673046,CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,IC50,50000.0,nM,,,CHEMBL5663461,9,CHEMBL1770034,CHEMBL5661979,7qie,Q8TBX8
CHEMBL3414623,Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12,IC50,20000.0,nM,,,CHEMBL5675293,9,CHEMBL1770034,CHEMBL5674866,7qie,Q8TBX8
CHEMBL4554938,CN1C(=O)c2sccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21,IC50,,,,Not Active,CHEMBL5711499,9,CHEMBL1770034,CHEMBL5705905,7qie,Q8TBX8
CHEMBL4554938,CN1C(=O)c2sccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21,IC50,,,,Not Active,CHEMBL5711499,9,CHEMBL1770034,CHEMBL5705905,7qie,Q8TBX8
