molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3416553,CCCCn1c(CN2CCN(c3ccc(OC)cc3)CC2)nc2c1c(=O)n(C)c(=O)n2C,IC50,100000.0,nM,,,CHEMBL3421189,9,CHEMBL3579,CHEMBL3414499,7qk8,P47895
CHEMBL1444568,CCCCn1c(CN2CCN(c3cccc(Cl)c3)CC2)nc2c1c(=O)n(C)c(=O)n2C,IC50,20000.0,nM,,,CHEMBL3421189,9,CHEMBL3579,CHEMBL3414499,7qk8,P47895
CHEMBL3416555,CC(C)CCn1c(CN2CCC(C)CC2)nc2c1c(=O)n(C)c(=O)n2C,IC50,100000.0,nM,,,CHEMBL3421189,9,CHEMBL3579,CHEMBL3414499,7qk8,P47895
CHEMBL4064364,CCCc1c(C)c2cc3c(C)coc3cc2oc1=O,IC50,1100.0,nM,5.96,,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL4099822,CCCc1c(C)c2cc3c(C)c(C)oc3cc2oc1=O,IC50,400.0,nM,6.4,,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL4072941,Cc1oc2cc3oc(=O)c(C)c(C)c3cc2c1C,IC50,270.0,nM,6.57,,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL4072973,Cc1c(Cc2ccccc2)c(=O)oc2cc(OS(C)(=O)=O)ccc12,IC50,10000.0,nM,5.0,,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL315348,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,IC50,,,,Not Active,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL1335126,Cc1oc2cc3oc(=O)c(CCC(=O)N4CCCCC4)c(C)c3cc2c1C,IC50,14000.0,nM,4.85,,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL1349972,Cc1oc2cc3oc(=O)c4c(c3cc2c1C)CCC4,IC50,170.0,nM,6.77,,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL4090473,Cc1oc2cc3oc(=O)c4c(c3cc2c1C)CCCC4,IC50,,,,Not Active,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL486422,O=c1c(-c2ccc(O)cc2)coc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc12,IC50,200000.0,nM,,,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL4061563,COC(=O)C(C)Oc1ccc2c(C)cc(=O)oc2c1,IC50,,,,Not Active,CHEMBL4009341,9,CHEMBL3579,CHEMBL4007427,7qk8,P47895
CHEMBL4213848,N#CC1(c2ccccc2)CCN(c2c(C(=O)N3CCN(C(=O)C4CC4)CC3)cnc3ccc(F)cc23)CC1,IC50,5000.0,nM,5.3,,CHEMBL4189994,9,CHEMBL3579,CHEMBL4184337,7qk8,P47895
CHEMBL4202537,CC1(C)CC=C(c2c(C(=O)N3CCN(S(C)(=O)=O)CC3)cnc3ccc(F)cc23)CC1,IC50,5000.0,nM,5.3,,CHEMBL4189994,9,CHEMBL3579,CHEMBL4184337,7qk8,P47895
CHEMBL4205099,O=c1c2cnn(CC3CC3)c2nc(SCc2cccc(F)c2)n1-c1ccccc1,IC50,550.0,nM,6.26,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
CHEMBL4213331,Cn1ncc2c(=O)n(-c3ccccc3)c(SCc3cccc(F)c3)nc21,IC50,90.0,nM,7.05,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
CHEMBL4213331,Cn1ncc2c(=O)n(-c3ccccc3)c(SCc3cccc(F)c3)nc21,IC50,90.0,nM,7.05,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
CHEMBL4204754,Cc1ccccc1-n1c(SCc2cccc(F)c2)nc2c(cnn2CC2CC2)c1=O,IC50,10000.0,nM,,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
CHEMBL4204451,Cc1ccccc1-n1c(SCc2cccc(F)c2)nc2c(cnn2C)c1=O,IC50,4000.0,nM,5.4,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
CHEMBL4217294,O=c1c2cn[nH]c2nc(SCc2cccc(F)c2)n1-c1ccccc1,IC50,390.0,nM,6.41,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
CHEMBL4209599,Cc1ccccc1-n1c(SCc2cccc(F)c2)nc2nn(CC3COC3)cc2c1=O,IC50,2600.0,nM,5.58,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
CHEMBL4218920,Cc1ccccc1-n1c(SCc2cccc(F)c2)nc2nn(C3COC3)cc2c1=O,IC50,3900.0,nM,5.41,,CHEMBL4202010,9,CHEMBL3579,CHEMBL4196215,7qk8,P47895
