molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3798006,NC1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccc4c(c2)CC(=O)N4)C3)CC1,IC50,850.0,nM,6.07,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798006,NC1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccc4c(c2)CC(=O)N4)C3)CC1,IC50,850.0,nM,6.07,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798006,NC1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2ccc4c(c2)CC(=O)N4)C3)CC1,IC50,850.0,nM,6.07,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798404,Cc1cc2c(cc1C(=O)N[C@H]1C[C@H]3CC[C@@H](C1)N3S(=O)(=O)N1CCC(N)CC1)CC(=O)N2,IC50,410.0,nM,6.39,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798404,Cc1cc2c(cc1C(=O)N[C@H]1C[C@H]3CC[C@@H](C1)N3S(=O)(=O)N1CCC(N)CC1)CC(=O)N2,IC50,410.0,nM,6.39,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798404,Cc1cc2c(cc1C(=O)N[C@H]1C[C@H]3CC[C@@H](C1)N3S(=O)(=O)N1CCC(N)CC1)CC(=O)N2,IC50,410.0,nM,6.39,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798134,NC1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc4c(cc2F)NC(=O)C4)C3)CC1,IC50,530.0,nM,6.28,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798134,NC1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc4c(cc2F)NC(=O)C4)C3)CC1,IC50,530.0,nM,6.28,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798134,NC1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc4c(cc2F)NC(=O)C4)C3)CC1,IC50,530.0,nM,6.28,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798468,O=C1Cc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4S(=O)(=O)N3CCC(NCc4ccccc4)CC3)c(Cl)cc2N1,IC50,48.0,nM,7.32,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798468,O=C1Cc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4S(=O)(=O)N3CCC(NCc4ccccc4)CC3)c(Cl)cc2N1,IC50,48.0,nM,7.32,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798468,O=C1Cc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4S(=O)(=O)N3CCC(NCc4ccccc4)CC3)c(Cl)cc2N1,IC50,48.0,nM,7.32,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798468,O=C1Cc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4S(=O)(=O)N3CCC(NCc4ccccc4)CC3)c(Cl)cc2N1,IC50,48.0,nM,7.32,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798468,O=C1Cc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4S(=O)(=O)N3CCC(NCc4ccccc4)CC3)c(Cl)cc2N1,IC50,48.0,nM,7.32,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3798468,O=C1Cc2cc(C(=O)N[C@H]3C[C@H]4CC[C@@H](C3)N4S(=O)(=O)N3CCC(NCc4ccccc4)CC3)c(Cl)cc2N1,IC50,48.0,nM,7.32,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3799643,CN(C)C1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc4c(cc2Cl)NC(=O)C4)C3)CC1,IC50,300.0,nM,6.52,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
CHEMBL3799643,CN(C)C1CCN(S(=O)(=O)N2[C@@H]3CC[C@H]2C[C@@H](NC(=O)c2cc4c(cc2Cl)NC(=O)C4)C3)CC1,IC50,300.0,nM,6.52,,CHEMBL3803120,9,CHEMBL2321643,CHEMBL3797202,7qnr,Q9H7B4
