molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,10000.0,nM,,,CHEMBL5701254,9,CHEMBL1764938,CHEMBL5696440,7qqn,P07355
CHEMBL1086310,CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,IC50,10000.0,nM,,,CHEMBL1118231,9,CHEMBL5522,CHEMBL1155439,7qqn,Q8NET8
CHEMBL1173240,Cc1nc(Nc2cccc3c2C[C@H](O)CC3)oc1-c1ccc(C(F)(F)F)cc1,IC50,100000.0,nM,,,CHEMBL1176320,9,CHEMBL5522,CHEMBL1177639,7qqn,Q8NET8
CHEMBL1813048,CC(=O)Nc1cccc(Nc2ncnc(N3CCC(OCc4ccc(OC(F)(F)F)cc4)CC3)n2)c1C,IC50,10000.0,nM,,,CHEMBL1816278,9,CHEMBL5522,CHEMBL1811851,7qqn,Q8NET8
CHEMBL3298242,FC(F)(F)c1ccccc1-c1ccc2[nH]ncc2c1,IC50,30000.0,nM,,,CHEMBL3299555,9,CHEMBL5522,CHEMBL3297713,7qqn,Q8NET8
CHEMBL3298922,FC(F)(F)c1ccccc1-c1cc2cn[nH]c2cc1Cl,IC50,30000.0,nM,,,CHEMBL3299555,9,CHEMBL5522,CHEMBL3297713,7qqn,Q8NET8
CHEMBL3298923,Cc1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F,IC50,30000.0,nM,,,CHEMBL3299555,9,CHEMBL5522,CHEMBL3297713,7qqn,Q8NET8
CHEMBL3299019,COc1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F,IC50,30000.0,nM,,,CHEMBL3299555,9,CHEMBL5522,CHEMBL3297713,7qqn,Q8NET8
CHEMBL3299022,FC(F)(F)c1ccccc1-c1cc2cn[nH]c2cc1OCC1CC1,IC50,30000.0,nM,,,CHEMBL3299555,9,CHEMBL5522,CHEMBL3297713,7qqn,Q8NET8
CHEMBL3299024,FC(F)(F)Oc1cc2[nH]ncc2cc1-c1ccccc1C(F)(F)F,IC50,30000.0,nM,,,CHEMBL3299555,9,CHEMBL5522,CHEMBL3297713,7qqn,Q8NET8
CHEMBL3613642,CC(C)N1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc(C(F)(F)F)cc3[N+](=O)[O-])cc2)CC1,IC50,30000.0,nM,,,CHEMBL3616043,9,CHEMBL5522,CHEMBL3612012,7qqn,Q8NET8
