molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1159657,CCCCCCCCCC[C@@H](O)[C@@H]1CC[C@@H]([C@@H]2CC[C@@H]([C@H](O)CCCCCCCCCC(O)CC3=CC(C)OC3=O)O2)O1,IC50,0.8,nM,9.1,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL1159657,CCCCCCCCCC[C@@H](O)[C@@H]1CC[C@@H]([C@@H]2CC[C@@H]([C@H](O)CCCCCCCCCC(O)CC3=CC(C)OC3=O)O2)O1,IC50,0.8,nM,9.1,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P52505
CHEMBL1159657,CCCCCCCCCC[C@@H](O)[C@@H]1CC[C@@H]([C@@H]2CC[C@@H]([C@H](O)CCCCCCCCCC(O)CC3=CC(C)OC3=O)O2)O1,IC50,0.8,nM,9.1,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P52505
CHEMBL2269125,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@@H](O)CCCCCCCCCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,17.0,nM,7.77,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL2269126,CCCCCCCCCCCC[C@H](O)[C@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,16.0,nM,7.8,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL2269127,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCC[C@@H](O)CCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,2.0,nM,8.7,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL445024,CCCCCCCCCCCC[C@@H](O)[C@H]1CC[C@H]([C@H](O)CCCC[C@H](O)CCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,1.5,nM,8.82,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL396297,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,2.1,nM,8.68,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL396297,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,2.1,nM,8.68,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL396297,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,2.2,nM,8.66,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL396297,CCCCCCCCCCCC[C@H](O)[C@@H]1CC[C@H]([C@H](O)CCCCCCCCCCCCC2=C[C@H](C)OC2=O)O1,IC50,2.2,nM,8.66,,CHEMBL3059591,9,CHEMBL4497,CHEMBL3046810,7qsl,P03887
CHEMBL2272028,CCCCCCCCCCC(=O)N(C)CC1=C(C)C(=O)C(OC)=C(OC)C1=O,IC50,6200.0,nM,5.21,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272028,CCCCCCCCCCC(=O)N(C)CC1=C(C)C(=O)C(OC)=C(OC)C1=O,IC50,6200.0,nM,5.21,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272027,COC1=C(OC)C(=O)C(CCCCCCN(C)C(=O)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,610.0,nM,6.21,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272027,COC1=C(OC)C(=O)C(CCCCCCN(C)C(=O)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,610.0,nM,6.21,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272026,COC1=C(OC)C(=O)C(CCN(C)C(=O)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,760.0,nM,6.12,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272026,COC1=C(OC)C(=O)C(CCN(C)C(=O)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,760.0,nM,6.12,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272025,CCCCc1ccc(Oc2ccc(C(=O)N(C)CC3=C(C)C(=O)C(OC)=C(OC)C3=O)cc2)cc1,IC50,840.0,nM,6.08,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272025,CCCCc1ccc(Oc2ccc(C(=O)N(C)CC3=C(C)C(=O)C(OC)=C(OC)C3=O)cc2)cc1,IC50,840.0,nM,6.08,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272024,COC1=C(OC)C(=O)C(CC(=O)N(C)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,2000.0,nM,5.7,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272024,COC1=C(OC)C(=O)C(CC(=O)N(C)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,2000.0,nM,5.7,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272023,COC1=C(OC)C(=O)C(CNC(=O)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,530.0,nM,6.28,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
CHEMBL2272023,COC1=C(OC)C(=O)C(CNC(=O)c2ccc(Oc3ccc(C(C)(C)C)cc3)cc2)=C(C)C1=O,IC50,530.0,nM,6.28,,CHEMBL3060412,9,CHEMBL4497,CHEMBL3044975,7qsl,P03887
