molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL495727,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,IC50,10.0,nM,8.0,,CHEMBL1009907,8,CHEMBL4525,CHEMBL1139387,7quf,Q9UEE5
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,IC50,30000.0,nM,,,CHEMBL1932840,8,CHEMBL4525,CHEMBL1926590,7quf,Q9UEE5
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1932840,8,CHEMBL4525,CHEMBL1926590,7quf,Q9UEE5
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1932840,8,CHEMBL4525,CHEMBL1926590,7quf,Q9UEE5
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1932840,8,CHEMBL4525,CHEMBL1926590,7quf,Q9UEE5
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1932840,8,CHEMBL4525,CHEMBL1926590,7quf,Q9UEE5
CHEMBL2397316,Cc1nc(NC(=O)C(C)(C)CC(F)(F)F)sc1-c1ccc(N)nc1,IC50,2100.0,nM,5.68,,CHEMBL2399039,9,CHEMBL4525,CHEMBL2396517,7quf,Q9UEE5
CHEMBL2397314,Cc1nc(NC(=O)[C@H](C)CC(F)(F)F)sc1-c1ccc(N)nc1,IC50,2900.0,nM,5.54,,CHEMBL2399039,9,CHEMBL4525,CHEMBL2396517,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2250.0,nM,5.65,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334980,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3n2)cc1OC,IC50,4940.0,nM,5.31,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334980,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3n2)cc1OC,IC50,4940.0,nM,5.31,,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334981,COc1ccc(-c2cnc3[nH]cc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,,,,Not Determined,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334981,COc1ccc(-c2cnc3[nH]cc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,,,,Not Determined,CHEMBL3382246,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,560.0,nM,6.25,,CHEMBL3382248,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,630.0,nM,6.2,,CHEMBL3382249,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,710.0,nM,6.15,,CHEMBL3382250,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,940.0,nM,6.03,,CHEMBL3382251,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,1330.0,nM,5.88,,CHEMBL3382252,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
CHEMBL3334979,COc1ccc(-c2cnc3scc(NC(=O)C4CCCCC4)c3c2)cc1OC,IC50,2110.0,nM,5.68,,CHEMBL3382253,9,CHEMBL4525,CHEMBL3352458,7quf,Q9UEE5
