molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL474804,COc1ccc2sc(Sc3ncc([N+](=O)[O-])s3)nc2c1,IC50,50000.0,nM,,,CHEMBL957586,8,CHEMBL2611,CHEMBL1153381,7qy0,P09958
CHEMBL493539,O=[N+]([O-])c1cnc(Sc2nc3ccccc3s2)s1,IC50,50000.0,nM,,,CHEMBL957586,8,CHEMBL2611,CHEMBL1153381,7qy0,P09958
CHEMBL448771,O=[N+]([O-])c1ccc(-n2c(O)nnc2Sc2ncc([N+](=O)[O-])s2)cc1,IC50,50000.0,nM,,,CHEMBL959160,8,CHEMBL2611,CHEMBL1153949,7qy0,P09958
CHEMBL472074,Cn1cccc1-c1nnc(Sc2ncc([N+](=O)[O-])s2)n1-c1ccc(Cl)cc1Cl,IC50,50000.0,nM,,,CHEMBL959160,8,CHEMBL2611,CHEMBL1153949,7qy0,P09958
CHEMBL503022,O=[N+]([O-])c1cnc(Sc2nnc(Sc3ncc([N+](=O)[O-])s3)s2)s1,IC50,50000.0,nM,,,CHEMBL959160,8,CHEMBL2611,CHEMBL1153949,7qy0,P09958
CHEMBL510038,Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,IC50,50000.0,nM,,,CHEMBL959160,8,CHEMBL2611,CHEMBL1153949,7qy0,P09958
CHEMBL609039,CCCNc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,IC50,50000.0,nM,,,CHEMBL1070206,8,CHEMBL2611,CHEMBL1159095,7qy0,P09958
CHEMBL611079,COCCNc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,IC50,50000.0,nM,,,CHEMBL1070206,8,CHEMBL2611,CHEMBL1159095,7qy0,P09958
CHEMBL599111,COc1ccc(CCNc2nnc(Sc3ncc([N+](=O)[O-])s3)s2)cc1OC,IC50,50000.0,nM,,,CHEMBL1070206,8,CHEMBL2611,CHEMBL1159095,7qy0,P09958
CHEMBL599518,CCC(C)Nc1nnc(Sc2ncc([N+](=O)[O-])s2)s1,IC50,50000.0,nM,,,CHEMBL1070206,8,CHEMBL2611,CHEMBL1159095,7qy0,P09958
CHEMBL3980496,CC(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(N=C(N)N)cc1)C(=O)NCc1ccc(C(=N)N)cc1)C(C)C,IC50,7.0,nM,8.15,367221,CHEMBL3888007,8,CHEMBL2611,CHEMBL3886536,7qy0,P09958
