molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1678,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,5.7,nM,8.24,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL1678,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,5.7,nM,8.24,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL1678,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,5.7,nM,8.24,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL552871,COc1cc2c(c(OC)c1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,13.0,nM,7.89,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL145446,COc1cc2c(cc1OC)C(=O)C(CCCC1CCN(Cc3ccccc3)CC1)C2,IC50,1.5,nM,8.82,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL538050,Cl.O=C1c2ccccc2CCC1CC1CCN(Cc2ccccc2)CC1,IC50,2100.0,nM,5.68,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL543923,COc1cc2c(cc1OC)CC(CC1CCN(Cc3ccccc3)CC1)=C2.Cl,IC50,4400.0,nM,5.36,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL544629,Cl.O=C(c1ccccc1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,IC50,35.0,nM,7.46,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL545317,COc1cc2c(cc1OC)C(=O)C(CCC1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,30.0,nM,7.52,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL554887,COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2.Cl,IC50,5400.0,nM,5.27,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL542253,Cl.O=C1c2ccccc2CC1CCC1CCN(Cc2ccccc2)CC1,IC50,230.0,nM,6.64,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL555107,COc1cc2c(cc1OC)C(=O)/C(=C\C1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,13.0,nM,7.89,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL542744,CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1ccc(S(=O)(=O)Cc2ccccc2)cc1.Cl,IC50,0.6,nM,9.22,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL542744,CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1ccc(S(=O)(=O)Cc2ccccc2)cc1.Cl,IC50,0.6,nM,9.22,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL545560,Cl.O=C1c2ccccc2CC1CC1CCN(Cc2ccccc2)CC1,IC50,150.0,nM,6.82,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL144477,COc1cccc2c1CC(CC1CCN(Cc3ccccc3)CC1)C2=O,IC50,12.0,nM,7.92,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL555358,Cl.O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccccc1,IC50,560.0,nM,6.25,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL356333,COc1cc2c(c(OC)c1)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,25.0,nM,7.6,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL145713,COc1cc2c(cc1OC)C(=O)C(CCCCCC1CCN(Cc3ccccc3)CC1)C2,IC50,14.0,nM,7.85,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL538796,CN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1ccccc1.Cl,IC50,170.0,nM,6.77,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL538296,COc1cc2c(cc1OC)C(=O)C(C1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,3300.0,nM,5.48,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL543924,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc([N+](=O)[O-])cc3)CC1)C2.Cl,IC50,100.0,nM,7.0,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL358517,COc1ccc(OC)c2c1CC(CC1CCN(Cc3ccccc3)CC1)C2=O,IC50,36.0,nM,7.44,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL539073,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccc(C)cc3)CC1)C2.Cl,IC50,40.0,nM,7.4,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL545791,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CCc3ccccc3)CC1)C2.Cl,IC50,180.0,nM,6.75,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL544860,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc(C)c3)CC1)C2.Cl,IC50,2.0,nM,8.7,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL540607,COc1cc2c(cc1OC)C(=O)C(CC1CCN(CC3CCCCC3)CC1)C2.Cl,IC50,8.9,nM,8.05,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,IC50,80.3,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL344765,COc1cc2c(cc1OC)C(=O)C(CN1CCC(Cc3ccccc3)CC1)C2,IC50,480.0,nM,6.32,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL344765,COc1cc2c(cc1OC)C(=O)C(CN1CCC(Cc3ccccc3)CC1)C2,IC50,480.0,nM,6.32,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL145361,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3[N+](=O)[O-])CC1)C2,IC50,160.0,nM,6.8,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL145361,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3[N+](=O)[O-])CC1)C2,IC50,160.0,nM,6.8,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL544389,COc1cc2c(cc1OC)C(=O)C(CN1CCN(Cc3ccccc3)CC1)C2.Cl.Cl,IC50,94.0,nM,7.03,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL434811,COc1cc2c(cc1OC)C(O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,300.0,nM,6.52,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL434811,COc1cc2c(cc1OC)C(O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,300.0,nM,6.52,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL434811,COc1cc2c(cc1OC)C(O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,300.0,nM,6.52,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL142980,COc1ccc2c(c1)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,IC50,81.0,nM,7.09,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL544385,COc1ccc2c(c1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2.Cl,IC50,85.0,nM,7.07,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL439626,COc1cc2c(cc1OC)C(=O)C(CC1CCN(C(=O)c3ccccc3)CC1)C2,IC50,10000.0,nM,,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL439626,COc1cc2c(cc1OC)C(=O)C(CC1CCN(C(=O)c3ccccc3)CC1)C2,IC50,10000.0,nM,,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,0.68,nM,9.17,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,0.68,nM,9.17,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,0.68,nM,9.17,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL94,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,IC50,0.68,nM,9.17,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL544159,Cl.O=C(Nc1ccc2c(c1)C(=O)N(CCC1CCN(Cc3ccccc3)CC1)C2=O)c1ccccc1,IC50,1.2,nM,8.92,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL142838,COc1cc2c(cc1OC)C(=O)C(CCCCC1CCN(Cc3ccccc3)CC1)C2,IC50,35.0,nM,7.46,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL538069,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3C)CC1)C2.Cl,IC50,10.0,nM,8.0,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL344317,O=C1c2ccccc2CCCC1CC1CCN(Cc2ccccc2)CC1,IC50,15000.0,nM,4.82,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL344317,O=C1c2ccccc2CCCC1CC1CCN(Cc2ccccc2)CC1,IC50,15000.0,nM,4.82,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL555827,COc1ccc2c(c1OC)CC(CC1CCN(Cc3ccccc3)CC1)C2=O.Cl,IC50,20.0,nM,7.7,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL544161,COc1ccc2c(c1)CC(CC1CCN(Cc3ccccc3)CC1)C2=O.Cl,IC50,6.4,nM,8.19,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL557839,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3cccc([N+](=O)[O-])c3)CC1)C2.Cl,IC50,4.0,nM,8.4,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL553263,Cl.O=C1c2ccccc2CN1CCC1CCN(Cc2ccccc2)CC1,IC50,98.0,nM,7.01,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL541625,Cl.O=C1c2ccccc2C(=O)N1CCC1CCN(Cc2ccccc2)CC1,IC50,30.0,nM,7.52,,CHEMBL638608,8,CHEMBL3198,CHEMBL1128203,7r3c,P21836
CHEMBL55323,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,IC50,54.95,nM,7.26,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL55323,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc([N+](=O)[O-])cc1,IC50,54.95,nM,7.26,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL299313,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cccnc1,IC50,69.02,nM,7.16,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL299313,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1cccnc1,IC50,69.02,nM,7.16,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL340382,CN(CCC1CCN(Cc2ccccc2[N+](=O)[O-])CC1)C(=O)c1ccccc1,IC50,13995.87,nM,4.85,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL55253,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(Cl)cc1,IC50,179.89,nM,6.75,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL55253,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(Cl)cc1,IC50,179.89,nM,6.75,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL125571,CN(CCC1CCN(Cc2ccc([N+](=O)[O-])cc2)CC1)C(=O)c1ccccc1,IC50,3296.1,nM,5.48,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL126304,Cc1ccccc1CN1CCC(CCN(C)C(=O)c2ccccc2)CC1,IC50,769.13,nM,6.11,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL57696,CCN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1ccccc1,IC50,130.02,nM,6.89,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL57696,CCN(CCC1CCN(Cc2ccccc2)CC1)C(=O)c1ccccc1,IC50,130.02,nM,6.89,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL127750,Cc1cccc(CN2CCC(CCN(C)C(=O)c3ccccc3)CC2)c1,IC50,144.88,nM,6.84,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL339630,COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2,IC50,5395.11,nM,5.27,,CHEMBL636896,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL339630,COc1cc2c(cc1OC)C(=O)C(CC1CCNCC1)C2,IC50,5395.11,nM,5.27,,CHEMBL636896,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL301243,O=C(NCCC1CCN(Cc2ccccc2)CC1)C1CCCCC1,IC50,1599.56,nM,5.8,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL301243,O=C(NCCC1CCN(Cc2ccccc2)CC1)C1CCCCC1,IC50,1599.56,nM,5.8,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL126827,CN(CCC1CCN(Cc2cccc([N+](=O)[O-])c2)CC1)C(=O)c1ccccc1,IC50,369.83,nM,6.43,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL294242,Cc1cccc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)c1,IC50,469.89,nM,6.33,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL294242,Cc1cccc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)c1,IC50,469.89,nM,6.33,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL56706,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(F)cc1,IC50,84.92,nM,7.07,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL56706,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(F)cc1,IC50,84.92,nM,7.07,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL126457,CN(CCC1CCN(CC2CC2)CC1)C(=O)c1ccccc1,IC50,38018.94,nM,4.42,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL59583,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(S(=O)(=O)Cc2ccccc2)cc1,IC50,28.97,nM,7.54,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL59583,O=C(NCCC1CCN(Cc2ccccc2)CC1)c1ccc(S(=O)(=O)Cc2ccccc2)cc1,IC50,28.97,nM,7.54,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL340621,O=C(c1ccncc1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,IC50,63.97,nM,7.19,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL340621,O=C(c1ccncc1)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,IC50,63.97,nM,7.19,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL340672,CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,IC50,52.0,nM,7.28,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL340672,CC(=O)N(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,IC50,52.0,nM,7.28,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL339484,CN(CCC1CCN(CC23CC4CC(CC(C4)C2)C3)CC1)C(=O)c1ccccc1,IC50,23988.33,nM,4.62,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL292440,O=C(c1ccccc1)N(CCC1CCN(Cc2ccccc2)CC1)Cc1ccccc1,IC50,939.72,nM,6.03,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL292440,O=C(c1ccccc1)N(CCC1CCN(Cc2ccccc2)CC1)Cc1ccccc1,IC50,939.72,nM,6.03,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL338596,O=C(NCCC1CCN(CCc2ccccc2)CC1)c1ccccc1,IC50,13001.7,nM,4.89,,CHEMBL636896,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL56001,CC(=O)c1ccc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1,IC50,51.05,nM,7.29,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL56001,CC(=O)c1ccc(C(=O)NCCC2CCN(Cc3ccccc3)CC2)cc1,IC50,51.05,nM,7.29,,CHEMBL857056,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
CHEMBL93241,c1ccc(CN2CCC(CCCc3noc4ccccc34)CC2)cc1,IC50,899.5,nM,6.05,,CHEMBL636896,8,CHEMBL3198,CHEMBL1129655,7r3c,P21836
