molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL18672,O=C(O)C(=O)CC(=O)c1ccc(Cc2ccc(Cl)c(Cl)c2)cc1,IC50,440.0,nM,6.36,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL417634,O=C(O)C(=O)CC(=O)c1ccc(C2CCCCC2)cc1,IC50,3000.0,nM,5.52,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL18773,CCCCCCCCCC(=O)CC(=O)C(=O)O,IC50,1400.0,nM,5.85,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL275811,O=C(/C=C/c1ccccc1)CC(=O)C(=O)O,IC50,19000.0,nM,4.72,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL18721,CSc1ccc(-c2ccc(C(=O)CC(=O)C(=O)O)cc2)cc1,IC50,160.0,nM,6.8,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL276330,O=C(O)C(=O)CC(=O)c1ccc(-n2c(-c3ccccc3)cc3ccccc32)cc1,IC50,180.0,nM,6.75,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL428525,O=C(O)C(=O)CC(=O)c1ccc(-c2ccc(S)cc2)cc1,IC50,130.0,nM,6.89,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL282504,O=C(O)C(=O)CC(=O)c1ccc(-c2ccc(Br)cc2)cc1,IC50,63.0,nM,7.2,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL19028,O=C(O)C(=O)CC(=O)c1ccc(C2CCCc3ccccc32)cc1,IC50,2100.0,nM,5.68,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL282502,CCCCCCCCCc1ccc(C(=O)CC(=O)C(=O)O)cc1,IC50,600.0,nM,6.22,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL19036,O=C(O)C(=O)CC(=O)c1ccc(-c2ccc(SCc3ccccc3)cc2)cc1,IC50,400.0,nM,6.4,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL279530,CC1=C(/C=C/C(=O)CC(=O)C(=O)O)C(C)(C)CCC1,IC50,1400.0,nM,5.85,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL274003,O=C(O)C(=O)CC(=O)c1ccc(-c2ccccc2)cc1,IC50,1100.0,nM,5.96,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL273783,O=C(O)C(=O)CC(=O)c1ccc(-c2ccc(SCCc3ccncc3)cc2)cc1,IC50,90.0,nM,7.05,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL18295,O=C(O)C(=O)CC(=O)c1ccc(-c2ccc(SCC3(O)COc4ccccc4OC3)cc2)cc1,IC50,60.0,nM,7.22,,CHEMBL685164,8,CHEMBL4229,CHEMBL1122274,7r4n,Q9UJM8
CHEMBL4857427,O=C(O)c1[nH]nnc1Sc1ccc(Cl)cc1,IC50,6.7,nM,8.17,,CHEMBL4827633,9,CHEMBL4229,CHEMBL4825721,7r4n,Q9UJM8
CHEMBL4864519,NS(=O)(=O)c1ccc(Cc2c(-c3cccc(Sc4[nH]nnc4C(=O)O)c3)nn(-c3nc(C(=O)O)cs3)c2CC2CC2)cc1F,IC50,4.7,nM,8.33,,CHEMBL4827633,9,CHEMBL4229,CHEMBL4825721,7r4n,Q9UJM8
CHEMBL4873879,NS(=O)(=O)c1ccc(Cc2c(-c3ccc(F)c(Oc4[nH]nnc4C(=O)O)c3)nn(-c3nc(C(=O)O)cs3)c2CC2CC2)cc1F,IC50,11.0,nM,7.96,,CHEMBL4827633,9,CHEMBL4229,CHEMBL4825721,7r4n,Q9UJM8
CHEMBL4855986,NS(=O)(=O)c1ccc(Cc2c(-c3ccc(F)c(-c4cccc(Oc5[nH]nnc5C(=O)O)c4)c3)nn(-c3nc(C(=O)O)cs3)c2CC2CC2)cc1F,IC50,0.9,nM,9.05,,CHEMBL4827633,9,CHEMBL4229,CHEMBL4825721,7r4n,Q9UJM8
CHEMBL4850573,NS(=O)(=O)c1ccc(Cc2c(-c3ccc(F)c(-c4ccc(Oc5nn[nH]c5C(=O)O)cc4)c3)nn(-c3nc(C(=O)O)cs3)c2CC2CC2)cc1F,IC50,1.2,nM,8.92,,CHEMBL4827633,9,CHEMBL4229,CHEMBL4825721,7r4n,Q9UJM8
CHEMBL4861379,NS(=O)(=O)c1ccc(Cc2c(-c3ccc(F)c(-c4ccc(Sc5nn[nH]c5C(=O)O)cc4)c3)nn(-c3nc(C(=O)O)cs3)c2CC2CC2)cc1F,IC50,1.1,nM,8.96,,CHEMBL4827633,9,CHEMBL4229,CHEMBL4825721,7r4n,Q9UJM8
