molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4789364,CN(C(=O)C1CC(F)(F)C1)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)C)nc2)C1,IC50,200.0,nM,6.7,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4789364,CN(C(=O)C1CC(F)(F)C1)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)C)nc2)C1,IC50,200.0,nM,6.7,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4789364,CN(C(=O)C1CC(F)(F)C1)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)C)nc2)C1,IC50,200.0,nM,6.7,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4753498,CN(C(=O)[C@@H]1CCCO1)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)C)nc2)C1,IC50,300.0,nM,6.52,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4753498,CN(C(=O)[C@@H]1CCCO1)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)C)nc2)C1,IC50,300.0,nM,6.52,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4753498,CN(C(=O)[C@@H]1CCCO1)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)C)nc2)C1,IC50,300.0,nM,6.52,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4799998,CC(C)(C)Nc1ccc(C(=O)N2CC[C@H](N3CCOC3=O)C2)cn1,IC50,300.0,nM,6.52,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4799998,CC(C)(C)Nc1ccc(C(=O)N2CC[C@H](N3CCOC3=O)C2)cn1,IC50,300.0,nM,6.52,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4799998,CC(C)(C)Nc1ccc(C(=O)N2CC[C@H](N3CCOC3=O)C2)cn1,IC50,300.0,nM,6.52,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4756953,CC(=O)N(C)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)CCO)nc2)C1,IC50,200.0,nM,6.7,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4756953,CC(=O)N(C)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)CCO)nc2)C1,IC50,200.0,nM,6.7,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
CHEMBL4756953,CC(=O)N(C)[C@H]1CCN(C(=O)c2ccc(NC(C)(C)CCO)nc2)C1,IC50,200.0,nM,6.7,,CHEMBL4730318,9,CHEMBL4739843,CHEMBL4725410,7slv,O95497
