molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02712
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02712
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02712
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02712
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02714
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02714
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02714
CHEMBL3,CN1CCC[C@H]1c1cccnc1,IC50,23100.0,nM,4.64,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02714
CHEMBL1526229,c1cncc([C@@H]2CCCCN2)c1,IC50,193000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL1526229,c1cncc([C@@H]2CCCCN2)c1,IC50,193000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL14,C[N+](C)(C)CCOC(N)=O.[Cl-],IC50,7640.0,nM,5.12,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL14,C[N+](C)(C)CCOC(N)=O.[Cl-],IC50,7640.0,nM,5.12,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL2288325,C[N+](C)(C)C.[I-],IC50,197000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL3138618,O=[N+]([O-])C=C1NCCCS1,IC50,1594000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL3138618,O=[N+]([O-])C=C1NCCCS1,IC50,1594000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL406819,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,IC50,1060000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL406819,O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)nc1,IC50,1060000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
CHEMBL1522291,Cn1cccc1-c1cccnc1,IC50,1000000.0,nM,,,CHEMBL3071673,8,CHEMBL3097,CHEMBL3046825,7smm,P02710
