molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1325945,CCCc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,IC50,122479.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1380904,CCCCn1c(=O)n(CC(=O)Nc2ccc(OC)c(Cl)c2)c(=O)c2c1nc(CO)n2CCC,IC50,122506.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL2146123,C=C1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12.Cl,IC50,122490.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1503852,O=C(CN1C(=O)/C(=C/c2ccco2)SC1=S)Nc1ccc(O)c(C(=O)O)c1,IC50,122481.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1497153,O=C(O)c1[nH]c2ccccc2c1C(c1cc(Cl)cc([N+](=O)[O-])c1O)c1c(C(=O)O)[nH]c2ccccc12,IC50,122493.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1478395,O=C1NC(=S)SC1=C1CCCC1,IC50,122474.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1889809,CC(C)c1ccccc1NC(=O)Nc1ccc2c(c1)OCO2,IC50,122542.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL3182718,CN1C(=O)c2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2OC[C@H]2O[C@@H](CC(=O)NCC(F)(F)F)CC[C@@H]21,IC50,47216.0,nM,4.33,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1451668,COc1ccc(CS(=O)(=O)c2nc[nH]n2)cc1,IC50,122506.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1304374,COc1cc(Cl)cc(C(c2c(C(=O)O)[nH]c3ccccc23)c2c(C(=O)O)[nH]c3ccccc23)c1O,IC50,122468.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1445096,COCCNCCCOc1ccc(Br)cc1Cl.O=C(O)C(=O)O,IC50,122506.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL235504,O=C1C(=O)c2cccnc2-c2ncccc21,IC50,122640.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1439104,COc1ccnc2c1c(=O)n(Cc1ccc(Cl)cc1Cl)c(=O)n2C,IC50,122483.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1467863,Cc1ccc(S(=O)(=O)Cc2nc(O)c3ccccc3n2)cc1,IC50,122502.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1600440,O=C(/C=C/c1ccco1)NC(=S)Nc1ccc(C(=O)O)cc1,IC50,122476.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1530341,Cc1cc(NC(=O)c2ccccc2)ncc1NC(=O)c1cccs1,IC50,122469.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL3183312,Cc1ccc(OCCn2c(CCNC(=O)C3CCCCCC3)nc3ccccc32)cc1.O=C(O)C(F)(F)F,IC50,122506.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1875076,CCOc1cccc(C(=O)Nc2ccc(NC(=O)c3ccccc3)c(C)c2)c1,IC50,122382.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1438133,O=C(C[S+]([O-])c1cccc(C(F)(F)F)c1)Nc1ccc(Cl)cc1Cl,IC50,122457.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1574857,O=C(O)CCCN1C(=O)/C(=C/C=C/c2ccco2)SC1=S,IC50,122481.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1892575,O=C1CS(=O)(=O)c2ccccc2N1,IC50,122579.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1487124,Cc1c(N2C(=O)c3cccc4cccc(c34)C2=O)c(=O)n(-c2ccccc2)n1C,IC50,122493.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1376300,CC(C)(C)c1cc(C(=O)NNC(=O)Nc2ccccc2)n(Cc2ccccc2)n1,IC50,122480.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1459552,O=C(NCc1ccccc1)c1nn[nH]c1-c1ccccc1O,IC50,122493.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL3184030,CCNC(=O)Nc1ccc2c(c1)C(=O)N(C)[C@H]1CC[C@H](CC(=O)N[C@H](C)c3ccccc3)O[C@@H]1CO2,IC50,61936.0,nM,4.21,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1457879,COc1ccccc1-c1cc(C(=O)Nc2ccc(F)cc2F)no1,IC50,122443.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1504032,CCOC(=O)CSc1nnc(Cn2c(=O)sc3ccccc32)n1-c1ccccc1C,IC50,122451.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1487824,COc1ccc(NC(=O)c2cc(-c3ccc(OC)c(OC)c3)on2)cc1OC,IC50,122527.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1450977,O=C(Cc1cccs1)N1CCC(c2nc(O)c3nnn(Cc4ccccc4Cl)c3n2)CC1,IC50,122469.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1733012,Cc1cc(OCC(=O)OCC(=O)NCc2ccc3c(c2)OCO3)ccc1Cl,IC50,122505.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1499020,O=S(=O)(c1ccccc1)c1cnn(-c2ccccc2)c1-c1ccc(Cl)cc1,IC50,122478.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1594374,O=C(NN1C(=O)CSC1=S)C(=O)NN1C(=O)CSC1=S,IC50,122457.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1457896,COC(=O)C(Cc1ccc(O)cc1)NC(=O)C(C)NC(=O)c1ccc(C(C)(C)C)cc1,IC50,122508.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1315633,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O.O,IC50,122473.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL3184374,CC[C@H]1C=C[C@@H](C(=O)NS(=O)(=O)c2ccc(C)cc2)N(C(C)=O)C1,IC50,122467.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL210208,O=c1ccc2c(-c3ccccc3S(=O)(=O)O)c3ccc(O)c(O)c3oc-2c1O,IC50,40822.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1603333,Fc1ccc(-c2cc(-c3cccs3)cc(-c3ccccc3)n2)cc1,IC50,122527.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1741744,O=C(C[S+]([O-])c1cccc(Cl)c1)Nc1ccccc1Cl,IC50,122493.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1519076,Cc1ccc(NC(=O)c2nn(C34CC5CC(CC(C5)C3)C4)cc2[N+](=O)[O-])cc1,IC50,122473.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1723109,CN(C(=O)c1ccccc1)C1c2c(ccc3ccccc23)OCC1CO,IC50,122405.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1422512,O=C(NCc1ccc(F)cc1)c1cc2c(s1)CCCC2,IC50,122567.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1330614,O=C(Nc1cccc2ccccc12)c1ccccc1,IC50,122537.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1453707,CC/C(NCC1CCCO1)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,IC50,122476.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1493191,O=C1/C(=C/C=C/c2ccco2)SC(=S)N1c1ccc(O)cc1,IC50,122562.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL3199654,O=C(CC1S/C(=N\c2ccccc2)N(CCc2c[nH]c3ccccc23)C1=O)Nc1ccccc1F,IC50,122491.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1325440,Cc1ccc(/C=C2/C(=O)c3ccc(C(=O)O)cc3C2=O)o1,IC50,122490.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1991573,O=C(O)c1cccc(-c2ccc(/C=c3/sc4nc5ccccc5n4c3=O)o2)c1,IC50,122487.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1601846,O=c1oc2c(cc1O)oc(=O)c1cc(O)c(O)c(O)c12,IC50,122562.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL3185799,CC(=O)N1C[C@@H](c2c[nH]c3ccccc23)C=C[C@H]1C(=O)NS(=O)(=O)c1ccc(C)cc1,IC50,122493.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1733422,CCOC(=O)c1c2c(n(Cc3ccccc3)c1C)C(=O)C(=O)c1ccccc1-2,IC50,122542.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1466471,Cc1cccc(NC(=O)Cn2c(O)c(N=NC(=O)c3ccccc3O)c3ccccc32)c1,IC50,122517.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
CHEMBL1336517,O=c1[nH]c2ccccc2c(=O)n1-c1ccc(Cl)cc1Cl,IC50,122403.0,nM,,inactive,CHEMBL3215200,8,CHEMBL5449,CHEMBL1201862,7sq2,Q01970
