molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL222543,O=C1/C(=C/c2ccc(O)c(C(=O)O)c2)CCC/C1=C\c1ccc(O)c(C(=O)O)c1,IC50,168000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL129148,O=C1/C(=C/c2ccc(O)c(O)c2)CCC/C1=C\c1ccc(O)c(O)c1,IC50,233000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL221782,O=C(/C=C(O)/C=C/c1ccc(O)c(Br)c1)/C=C/c1ccc(O)c(Br)c1,IC50,33000.0,nM,4.48,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL129964,O=C(/C=C(O)/C=C/c1ccc(O)c(O)c1)/C=C/c1ccc(O)c(O)c1,IC50,46000.0,nM,4.34,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL222573,O=C(/C=C(O)/C=C/c1ccc(O)c(C(=O)O)c1)/C=C/c1ccc(O)c(C(=O)O)c1,IC50,21000.0,nM,4.68,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL222328,O=C1/C(=C/c2ccc(O)c(Br)c2)CCC/C1=C\c1ccc(O)c(Br)c1,IC50,5000.0,nM,5.3,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL17205,COc1cc(/C=C2\CCC/C(=C\c3ccc(O)c(OC)c3)C2=O)ccc1O,IC50,111000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,400000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,400000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,400000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,400000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,400000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
CHEMBL140,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,IC50,400000.0,nM,,,CHEMBL904249,9,CHEMBL3784,CHEMBL1142987,7ss8,Q09472
