molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL300343,Cc1ccnc(NS(=O)(=O)c2ccc(Br)cc2)n1,IC50,58900.0,nM,4.23,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL61025,O=C(OCn1ccc(=O)[nH]c1=O)c1ccc(I)cc1,IC50,100.0,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL58689,COc1ccccc1C(=O)OCn1ccc(=O)[nH]c1=O,IC50,100.0,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL58341,Cc1cnc(NS(=O)(=O)c2cc(Cl)ccc2Cl)s1,IC50,309000.0,nM,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL293269,Cc1ccnc(NS(=O)(=O)c2ccccc2[N+](=O)[O-])n1,IC50,287000.0,nM,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL293152,COc1cc(Cl)nc(NS(=O)(=O)c2ccc(F)cc2)n1,IC50,111000.0,nM,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL294209,O=S(=O)(Nc1nccs1)c1cc(Cl)ccc1Cl,IC50,84700.0,nM,4.07,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL60580,Cc1cc(C)nc(NS(=O)(=O)c2cc(Cl)ccc2Cl)n1,IC50,33000.0,nM,4.48,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL58352,O=C(OCn1ccc(=O)[nH]c1=O)c1ccccc1,IC50,55.36,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL57654,O=C(OCn1ccc(=O)[nH]c1=O)c1ccc(Br)cc1,IC50,55.38,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL291948,Cc1cccc(C(=O)OCn2ccc(=O)[nH]c2=O)c1,IC50,16.04,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL57215,O=C(OCn1ccc(=O)[nH]c1=O)c1ccc(Cl)cc1,IC50,51.29,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL58200,O=C(OCn1ccc(=O)[nH]c1=O)c1c(Cl)cc(C(F)(F)F)cc1Cl,IC50,100.0,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL300344,Cc1ccnc(NS(=O)(=O)c2ccc(F)cc2)n1,IC50,38900.0,nM,4.41,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL293995,COc1ccc(C(=O)OCn2ccc(=O)[nH]c2=O)cc1,IC50,100.0,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL58964,O=C(OCn1ccc(=O)[nH]c1=O)c1ccc(F)cc1,IC50,55.86,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL58918,O=C(OCn1ccc(=O)[nH]c1=O)c1ccc([N+](=O)[O-])cc1,IC50,100.0,p.p.m.,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL300583,Cc1ccc(NS(=O)(=O)c2ccc(F)cc2)nc1,IC50,152000.0,nM,,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL59112,Cc1ccnc(NS(=O)(=O)c2cc(Cl)ccc2Cl)n1,IC50,97200.0,nM,4.01,,CHEMBL633987,8,CHEMBL4263,CHEMBL1131784,7stq,P17597
CHEMBL2289307,COc1cc(OC)nc(Oc2cccc(SC)c2C(=O)O)n1,IC50,9.772,nM,8.01,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289343,COc1cc(OC)nc(Oc2cccc(Cl)c2C(=O)O)n1,IC50,23.99,nM,7.62,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289314,COc1cc(OC)nc([S+]([O-])c2cccc(Cl)c2C(=O)O)n1,IC50,43.65,nM,7.36,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289342,COc1cc(OC)nc(Oc2cccc(F)c2C(=O)O)n1,IC50,50.12,nM,7.3,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289349,COc1cc(OC)nc(Oc2cccc(C(F)(F)F)c2C(=O)O)n1,IC50,109.65,nM,6.96,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289346,COc1cc(OC)nc(Oc2cccc(C)c2C(=O)O)n1,IC50,128.82,nM,6.89,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289062,COC(=O)c1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)O,IC50,2290.87,nM,5.64,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289344,COc1cc(OC)nc(Oc2cccc(Br)c2C(=O)O)n1,IC50,15.14,nM,7.82,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289345,COc1cc(OC)nc(Oc2cccc(I)c2C(=O)O)n1,IC50,21.88,nM,7.66,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289301,CCOc1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)O,IC50,22.39,nM,7.65,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289300,COc1cc(OC)nc(Oc2cccc(OC)c2C(=O)O)n1,IC50,43.65,nM,7.36,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289305,COc1cc(OC)nc(Oc2cccc(OC(F)F)c2C(=O)O)n1,IC50,64.57,nM,7.19,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289310,COc1cc(OC)nc(Oc2cccc([N+](=O)[O-])c2C(=O)O)n1,IC50,229.09,nM,6.64,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289347,CCc1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)O,IC50,269.15,nM,6.57,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289060,COc1cc(OC)nc(Sc2cccc([N+](=O)[O-])c2C(=O)O)n1,IC50,204.17,nM,6.69,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289059,CCSc1cccc(Sc2nc(OC)cc(OC)n2)c1C(=O)O,IC50,213.8,nM,6.67,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289326,COc1cc(OC)nc(Sc2cccc(SC)c2C(=O)O)n1,IC50,20.89,nM,7.68,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289325,COc1cc(OC)nc(Sc2cccc(OC(C)C)c2C(=O)O)n1,IC50,13182.57,nM,4.88,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289324,CCCOc1cccc(Sc2nc(OC)cc(OC)n2)c1C(=O)O,IC50,724.44,nM,6.14,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289323,CCOc1cccc(Sc2nc(OC)cc(OC)n2)c1C(=O)O,IC50,199.53,nM,6.7,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289322,COc1cc(OC)nc(Sc2cccc(OC)c2C(=O)O)n1,IC50,89.13,nM,7.05,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289321,COc1cc(OC)nc(Sc2cccc(C(C)=O)c2C(=O)O)n1,IC50,72.44,nM,7.14,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
CHEMBL2289320,COc1cc(OC)nc(Sc2cccc(C(F)(F)F)c2C(=O)O)n1,IC50,954.99,nM,6.02,,CHEMBL3073940,8,CHEMBL4263,CHEMBL3046894,7stq,P17597
