molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1443778,CN1C(=O)C(=C2CC(c3ccc(Cl)cc3)NN2)C(=O)N(C)C1=O,IC50,7220.0,nM,5.14,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1382320,O=C(CSc1cccc2cccnc12)Nc1ccc(S(=O)(=O)N2CCOCC2)cc1,IC50,11000.0,nM,4.96,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1700182,CCOC(=O)N1CCN(C(=O)C2CCN(C(=O)c3ccccc3C)CC2)CC1,IC50,66600.0,nM,,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1406895,COC(=O)C1=NN(C(=O)c2cccc(Br)c2)C(O)(c2ccc(Cl)cc2)C1,IC50,12100.0,nM,4.92,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1431608,Cc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cn2)cc1,IC50,23400.0,nM,4.63,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1557648,O=C(Nc1nnc(-c2ccccc2)o1)c1ccc(Cl)cc1,IC50,13900.0,nM,4.86,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1904956,CC(C)(C)c1ccc2c(c1)OC(C(=O)N/N=C\c1ccccn1)CO2,IC50,28800.0,nM,4.54,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1477528,Cc1ccccc1CS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccc(F)cc2)n1,IC50,19700.0,nM,4.71,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1382003,Cc1sc2nc(SCCN(C)C)n(-c3ccccc3)c(=O)c2c1-c1ccc(F)cc1,IC50,30900.0,nM,4.51,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1366012,Cc1ccc(O)c(NC(=S)NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)c1,IC50,7680.0,nM,5.12,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1359342,CN1CCc2nc(SCc3ccc(Cl)cc3)c(C#N)c(-c3cccs3)c2C1,IC50,66600.0,nM,,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1522544,Cc1cccc2c1N(CCCOc1ccc(C(C)(C)C)cc1)C(=O)C2=O,IC50,66600.0,nM,,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1437683,O=[N+]([O-])c1ccc(S(=O)(=O)c2cccc(C(F)(F)F)c2)nc1,IC50,18800.0,nM,4.73,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL67166,CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,IC50,66600.0,nM,,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1470485,O=C1C2C3C=CC(CO)(O3)C2C(=O)N1c1ccccc1-c1ccccc1,IC50,66600.0,nM,,inactive,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1875956,C/C=C(\C)C(=O)OC1[C@H](OC(C)=O)C2(CO)C(CC1(C)C)C1=CCC3C4(C)CCC(O[C@@H]5O[C@H](C(=O)O)[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O[C@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)[C@](C)(CO)C4CCC3(C)[C@]1(C)C[C@H]2O,IC50,9070.0,nM,5.04,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1524932,COCCCn1c(N)c(-c2nc3ccccc3n2C)c2nc3ccccc3nc21,IC50,19300.0,nM,4.71,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1892026,C/C(=N\Nc1ccc2ccccc2n1)c1ccccc1O,IC50,4120.0,nM,5.38,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL1309871,O=C(NNC(=O)c1cc(-c2ccccc2)nn1-c1ccccc1)c1ccccc1,IC50,14800.0,nM,4.83,active,CHEMBL1794368,8,CHEMBL1628481,CHEMBL1201862,7sus,P35414
CHEMBL2158347,O=C(Oc1coc(CSc2ncccn2)cc1=O)c1ccc([N+](=O)[O-])cc1,IC50,1750.0,nM,5.76,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158347,O=C(Oc1coc(CSc2ncccn2)cc1=O)c1ccc([N+](=O)[O-])cc1,IC50,1750.0,nM,5.76,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158347,O=C(Oc1coc(CSc2ncccn2)cc1=O)c1ccc([N+](=O)[O-])cc1,IC50,700.0,nM,6.16,,CHEMBL2161528,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158347,O=C(Oc1coc(CSc2ncccn2)cc1=O)c1ccc([N+](=O)[O-])cc1,IC50,700.0,nM,6.16,,CHEMBL2161528,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158342,Cc1ccnc(S(=O)(=O)Cc2cc(=O)c(OC(=O)c3ccc(Cl)c([N+](=O)[O-])c3)co2)n1,IC50,3210.0,nM,5.49,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158341,Cc1ccnc(SCc2cc(=O)c(OC(=O)c3cnco3)co2)n1,IC50,79000.0,nM,,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158340,Cc1ccnc(SCc2cc(=O)c(OC(=O)c3ccc([N+](=O)[O-])o3)co2)n1,IC50,79000.0,nM,,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158339,Cc1ccnc(SCc2cc(=O)c(OC(=O)c3ccsc3)co2)n1,IC50,79000.0,nM,,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL1441406,Cc1ccnc(SCc2cc(=O)c(OC(=O)c3ccco3)co2)n1,IC50,79000.0,nM,,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158338,Cc1ccnc(SCc2cc(=O)c(NC(=O)c3ccc([N+](=O)[O-])cc3)co2)n1,IC50,79000.0,nM,,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158337,Cc1ccnc(SCc2cc(=O)c(NC(=O)c3ccccc3)co2)n1,IC50,79000.0,nM,,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
CHEMBL2158336,Cc1cc(C)nc(SCc2cc(=O)c(OS(=O)(=O)c3ccc([N+](=O)[O-])cc3)co2)n1,IC50,79000.0,nM,,,CHEMBL2161530,8,CHEMBL1628481,CHEMBL2157975,7sus,P35414
