molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL537625,Cl.N[C@@H](CC(=O)N1CCn2cnnc2C1)Cc1ccc(F)c(F)c1,IC50,38000.0,nM,4.42,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL537844,CCc1nnc2n1CCN(C(=O)C[C@H](N)Cc1ccc(F)c(F)c1)C2.Cl,IC50,45000.0,nM,4.35,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL558196,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(F)c(F)c1,IC50,46000.0,nM,4.34,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL537400,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)ccc1F,IC50,69000.0,nM,4.16,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL539077,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,IC50,48000.0,nM,4.32,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL539077,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,IC50,48000.0,nM,4.32,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL557187,Cl.N[C@@H](CC(=O)N1CCn2cnnc2C1)Cc1cc(F)c(F)cc1F,IC50,72000.0,nM,4.14,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL558585,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,IC50,80000.0,nM,4.1,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL559011,Cl.N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)C(F)(F)F)C1)Cc1cc(F)ccc1F,IC50,35000.0,nM,4.46,,CHEMBL828147,8,CHEMBL4657,CHEMBL1141929,7svm,Q6V1X1
CHEMBL361863,N[C@H](C(=O)N1CCCCC1)C1CCCCC1,IC50,1148.0,nM,5.94,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL278393,N[C@H](C(=O)N1CCCC1)C1CCCCC1,IC50,78.0,nM,7.11,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL440021,N[C@H](C(=O)N1Cc2ccccc2C1)C1CCCCC1,IC50,24.0,nM,7.62,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL440021,N[C@H](C(=O)N1Cc2ccccc2C1)C1CCCCC1,IC50,24.0,nM,7.62,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL440021,N[C@H](C(=O)N1Cc2ccccc2C1)C1CCCCC1,IC50,24.0,nM,7.62,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL179845,NC(CC(=O)N1CCc2ccccc2C1)C(=O)N1Cc2ccccc2C1,IC50,555.0,nM,6.26,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL361107,COc1cc2c(cc1OC)CN(C(=O)CC(N)C(=O)N1Cc3ccccc3C1)CC2,IC50,150.0,nM,6.82,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL367368,NC(CC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)C(=O)N1Cc2ccccc2C1,IC50,14.0,nM,7.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL142703,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,IC50,14219.0,nM,4.85,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,IC50,4573.0,nM,5.34,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,IC50,4573.0,nM,5.34,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL77538,N#Cc1ccc(NCCNCC(=O)N2CCC[C@H]2C#N)nc1,IC50,4573.0,nM,5.34,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL307636,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,IC50,27.0,nM,7.57,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
CHEMBL307636,N#C[C@@H]1CCCN1C(=O)[C@@H](N)C1CCCCC1,IC50,27.0,nM,7.57,,CHEMBL833039,8,CHEMBL4657,CHEMBL1144288,7svm,Q6V1X1
