molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398568,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2s1,IC50,2000.0,nM,5.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398568,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2s1,IC50,2000.0,nM,5.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398568,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2s1,IC50,2000.0,nM,5.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398567,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2cc(F)ccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398567,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2cc(F)ccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398567,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2cc(F)ccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246240,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246031,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccsc1,IC50,1000.0,nM,6.0,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245623,O=C(NCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccccc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245622,O=C(NCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,IC50,1410.0,nM,5.85,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL492972,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(F)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492972,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(F)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492972,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(F)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492971,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(Cl)cc1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
