molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL373882,CNc1ncnc(-c2cccnc2Oc2ccc(F)c(C(=O)Nc3cc(C(F)(F)F)ccc3N(C)CCCN(C)C)c2)n1,IC50,25000.0,nM,4.6,,CHEMBL908527,9,CHEMBL5455,CHEMBL1141380,7t1k,P07332
CHEMBL386637,CN(C)[C@H]1CCCN(c2ccc(C(F)(F)F)cc2NC(=O)c2cc(C#Cc3cnc(N)nc3)ccc2F)C1,IC50,910.0,nM,6.04,,CHEMBL910180,9,CHEMBL5455,CHEMBL1141381,7t1k,P07332
CHEMBL410659,Nc1nccn2c1c(-c1ccc3ccc(-c4ccccc4)nc3c1)nc2[C@H]1C[C@@H](CN2CCC2)C1,IC50,10000.0,nM,,,CHEMBL921278,8,CHEMBL5455,CHEMBL1143953,7t1k,P07332
CHEMBL459850,Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1Cc2cnc(N)nc2N(C)C1=O,IC50,1.0,nM,9.0,,CHEMBL974016,8,CHEMBL5455,CHEMBL1149823,7t1k,P07332
CHEMBL460472,COc1ccc2c(Oc3ccc(NC(=O)c4c(C)n(CC(C)(C)O)n(-c5ccccc5)c4=O)nc3)ccnc2c1,IC50,706.0,nM,6.15,,CHEMBL985572,8,CHEMBL5455,CHEMBL1157538,7t1k,P07332
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,358.0,nM,6.45,,CHEMBL1244585,8,CHEMBL5455,CHEMBL1240341,7t1k,P07332
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,358.0,nM,6.45,,CHEMBL1244585,8,CHEMBL5455,CHEMBL1240341,7t1k,P07332
CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,IC50,358.0,nM,6.45,,CHEMBL1244585,8,CHEMBL5455,CHEMBL1240341,7t1k,P07332
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,IC50,30000.0,nM,,,CHEMBL1932856,8,CHEMBL5455,CHEMBL1926590,7t1k,P07332
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1932856,8,CHEMBL5455,CHEMBL1926590,7t1k,P07332
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1932856,8,CHEMBL5455,CHEMBL1926590,7t1k,P07332
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1932856,8,CHEMBL5455,CHEMBL1926590,7t1k,P07332
CHEMBL2064666,COc1c(Nc2ncc(Cl)c(N[C@H]3[C@@H](C(N)=O)[C@@H]4C=C[C@H]3C4)n2)ccc2c1CC[C@@H](N1CCOCC1)CC2,IC50,99.0,nM,7.0,,CHEMBL2067591,9,CHEMBL5455,CHEMBL2062375,7t1k,P07332
CHEMBL2205766,CC(C)(C)NS(=O)(=O)c1cncc(-c2ccn3nc(N)nc3c2)c1,IC50,10000.0,nM,,,CHEMBL2211500,8,CHEMBL5455,CHEMBL2203257,7t1k,P07332
CHEMBL2333365,Cc1c(C(=O)N2CCOc3ccc(-c4ccc(N)nc4)cc3C2)ccc(S(C)(=O)=O)c1F,IC50,10000.0,nM,,,CHEMBL2343920,9,CHEMBL5455,CHEMBL2331117,7t1k,P07332
CHEMBL3128069,Cc1nc([C@](C)(O)CO)sc1-c1cnc(N)c(O[C@H](C)c2cc(F)ccc2-n2nccn2)c1,IC50,5.0,nM,8.3,,CHEMBL3129258,9,CHEMBL5455,CHEMBL3124869,7t1k,P07332
CHEMBL3286830,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,IC50,6.0,nM,8.22,,CHEMBL3293404,9,CHEMBL5455,CHEMBL3286195,7t1k,P07332
CHEMBL3286830,C[C@H]1Oc2cc(cnc2N)-c2c(nn(C)c2C#N)CN(C)C(=O)c2ccc(F)cc21,IC50,6.0,nM,8.22,,CHEMBL3293404,9,CHEMBL5455,CHEMBL3286195,7t1k,P07332
CHEMBL3623375,CN(C)CCCNC(=O)c1csc2nc(-c3ccc(NC(=O)Nc4cc(C(C)(C)C)on4)cc3)cn12,IC50,10000.0,nM,,,CHEMBL3625839,9,CHEMBL5455,CHEMBL3621115,7t1k,P07332
CHEMBL3741589,O=C(O)C1CN(Cc2ccc(OCc3ccc(Cl)c(Cl)c3)cc2)C1,IC50,10000.0,nM,,,CHEMBL3743697,9,CHEMBL5455,CHEMBL3739276,7t1k,P07332
CHEMBL3745885,Cn1c(=O)c(S(=O)(=O)c2ccc(F)cc2F)cc2cnc(Nc3ccc4[nH]ccc4c3)nc21,IC50,10000.0,nM,,,CHEMBL3748185,9,CHEMBL5455,CHEMBL3745707,7t1k,P07332
CHEMBL3818247,CN1C(=O)COc2c1cnc1ccc(Sc3nnc4c(F)cc(-c5cnn(C)c5)cn34)cc21,IC50,30000.0,nM,,,CHEMBL3820487,9,CHEMBL5455,CHEMBL3817824,7t1k,P07332
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,8.1,nM,8.09,,CHEMBL3820487,9,CHEMBL5455,CHEMBL3817824,7t1k,P07332
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,8.1,nM,8.09,,CHEMBL3820487,9,CHEMBL5455,CHEMBL3817824,7t1k,P07332
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,8.1,nM,8.09,,CHEMBL3820487,9,CHEMBL5455,CHEMBL3817824,7t1k,P07332
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,IC50,8.1,nM,8.09,,CHEMBL3820487,9,CHEMBL5455,CHEMBL3817824,7t1k,P07332
