molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL494089,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,IC50,33.0,nM,7.48,,CHEMBL1028110,9,CHEMBL4273,CHEMBL1140130,7t4t,Q13976
CHEMBL494089,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,IC50,33.0,nM,7.48,,CHEMBL1028110,9,CHEMBL4273,CHEMBL1140130,7t4t,Q13976
CHEMBL494089,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,IC50,33.0,nM,7.48,,CHEMBL1028110,9,CHEMBL4273,CHEMBL1140130,7t4t,Q13976
CHEMBL604087,COc1ccc(C(=O)NCc2cccc(C(=O)Nc3ccc4c(c3)CNCC4)c2)cc1OC,IC50,5600.0,nM,5.25,,CHEMBL1065746,8,CHEMBL4273,CHEMBL1157712,7t4t,Q13976
CHEMBL600852,NC(=O)c1ccc(NC(=O)NCc2cccc(C(=O)Nc3ccc4c(c3)CNCC4)c2)cc1,IC50,3000.0,nM,5.52,,CHEMBL1065746,8,CHEMBL4273,CHEMBL1157712,7t4t,Q13976
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,IC50,30000.0,nM,,,CHEMBL1931546,8,CHEMBL4273,CHEMBL1926590,7t4t,Q13976
CHEMBL1929238,CN(C)CCN1CCN(C(=O)c2cc(C(C)(C)C)sc2NC(=O)Nc2cccc(Cl)c2Cl)CCC1=O,IC50,30000.0,nM,,,CHEMBL1931546,8,CHEMBL4273,CHEMBL1926590,7t4t,Q13976
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1931546,8,CHEMBL4273,CHEMBL1926590,7t4t,Q13976
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1931546,8,CHEMBL4273,CHEMBL1926590,7t4t,Q13976
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1931546,8,CHEMBL4273,CHEMBL1926590,7t4t,Q13976
CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,IC50,30000.0,nM,,,CHEMBL1931546,8,CHEMBL4273,CHEMBL1926590,7t4t,Q13976
