molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3113999,Nc1cc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)ccn1,IC50,8630.0,nM,5.06,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3114190,CC(C)(C)C#CC1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,IC50,1430.0,nM,5.84,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113992,O=S(=O)(c1cccs1)N1CCN(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CC1,IC50,1420.0,nM,5.85,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113993,O=S(=O)(c1ccccc1)N1CCN(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CC1,IC50,1010.0,nM,6.0,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3114189,Nc1ccc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)C(C#CC3CC3)C2)cn1,IC50,779.0,nM,6.11,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113997,Nc1cccc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)c1,IC50,645.0,nM,6.19,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113984,CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2CC3(COC3)C2)cc1)C(F)(F)F,IC50,524.0,nM,6.28,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3114184,CC#C[C@@H]1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,IC50,484.0,nM,6.32,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113998,Nc1ccc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)cc1,IC50,484.0,nM,6.32,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113996,Nc1ccccc1S(=O)(=O)N1CCN(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)CC1,IC50,445.0,nM,6.35,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113981,CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2CCC(F)(F)CC2)cc1)C(F)(F)F,IC50,439.0,nM,6.36,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113982,CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2CCS(=O)(=O)CC2)cc1)C(F)(F)F,IC50,343.0,nM,6.46,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113995,Nc1csc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)c1,IC50,324.0,nM,6.49,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3114001,Nc1ncc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)cn1,IC50,316.0,nM,6.5,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113994,Nc1ccc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)s1,IC50,252.0,nM,6.6,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113983,CC1CS(=O)(=O)CCN1C[C@H]1CN(S(=O)(=O)c2cccs2)CCN1c1ccc(C(C)(O)C(F)(F)F)cc1,IC50,90.0,nM,7.05,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3114000,Nc1ccc(S(=O)(=O)N2CCN(c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)CC2)cn1,IC50,87.0,nM,7.06,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3114188,CCC#CC1CN(S(=O)(=O)c2ccc(N)nc2)CCN1c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,IC50,56.0,nM,7.25,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113991,C[C@](O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2[C@@H]3COC[C@H]2[C@@H](O)C3)cc1)C(F)(F)F,IC50,56.0,nM,7.25,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113986,CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2[C@H]3COC[C@H]2[C@H](O)C3)cc1)C(F)(F)F,IC50,44.0,nM,7.36,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113987,CC(O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2[C@H]3COC[C@H]2[C@@H](O)C3)cc1)C(F)(F)F,IC50,26.0,nM,7.58,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
CHEMBL3113990,C[C@@](O)(c1ccc(N2CCN(S(=O)(=O)c3cccs3)C[C@@H]2CN2[C@@H]3COC[C@H]2[C@@H](O)C3)cc1)C(F)(F)F,IC50,25.0,nM,7.6,,CHEMBL3117036,9,CHEMBL3820,CHEMBL3112561,7t79,P35557
