molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL140245,CCc1cccc2nc(N)nc(N)c12,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL344047,CCSc1cccc2nc(N)nc(N)c12,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL266320,Nc1nc(N)c2c(Cl)cccc2n1,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL136771,Nc1nc(N)c2c(I)cccc2n1,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL139392,Nc1nc(N)c2c(S(=O)(=O)c3ccccc3)cccc2n1,IC50,1000000000.0,nM,,,CHEMBL665664,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL100239,Nc1nc(N)c2c(Sc3ccccc3)cccc2n1,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL139209,Nc1nc(N)c2c([N+](=O)[O-])cccc2n1,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL139363,CSc1cccc2nc(N)nc(N)c12,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL344910,Nc1nc(N)c2c(Br)cccc2n1,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
CHEMBL268354,Nc1nc(N)c2ccccc2n1,IC50,1000000000.0,nM,,,CHEMBL665874,9,CHEMBL1681620,CHEMBL1124963,7t7q,P0A017
