molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3823210,CN(C)/C=C1\CCn2c1nc(=O)c1ccccc12,IC50,11000.0,nM,4.96,,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3823886,CCN(/C=C1\CCn2c1nc(=O)c1ccccc12)CC,IC50,,,,Not Determined,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3824138,CCCN(/C=C1\CCn2c1nc(=O)c1ccccc12)CCC,IC50,,,,Not Determined,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3823935,CC(C)N(/C=C1\CCn2c1nc(=O)c1ccccc12)C(C)C,IC50,,,,Not Determined,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3823525,O=c1nc2n(c3ccccc13)CC/C2=C\N1CCCC1,IC50,9600.0,nM,5.02,,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3822828,O=c1nc2n(c3ccccc13)CC/C2=C\N1CCCCC1,IC50,6200.0,nM,5.21,,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3824091,O=c1nc2n(c3ccccc13)CC/C2=C\N1CCOCC1,IC50,,,,Not Determined,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3823057,CN1CCN(/C=C2\CCn3c2nc(=O)c2ccccc23)CC1,IC50,7300.0,nM,5.14,,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3823214,CCN1CCN(/C=C2\CCn3c2nc(=O)c2ccccc23)CC1,IC50,6900.0,nM,5.16,,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3823061,CC(C)(C)OC(=O)N1CCN(/C=C2\CCn3c2nc(=O)c2ccccc23)CC1,IC50,,,,Not Determined,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL3823365,CN1CCCN(/C=C2\CCn3c2nc(=O)c2ccccc23)CC1,IC50,22000.0,nM,4.66,,CHEMBL3825723,9,CHEMBL3085620,CHEMBL3822370,7tab,P51532
CHEMBL4063051,Cc1[nH]c(-c2cc(NS(C)(=O)=O)ccc2Oc2ccccc2)c2c1C(=O)CCC2,IC50,1000.0,nM,,,CHEMBL4038421,9,CHEMBL3085620,CHEMBL4038268,7tab,P51532
CHEMBL4088466,Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc[nH]c(=O)c21,IC50,1000.0,nM,,,CHEMBL4038421,9,CHEMBL3085620,CHEMBL4038268,7tab,P51532
CHEMBL4295096,O=C(Nc1cc(C(F)F)ns1)Nc1cc(F)ncc1CO,IC50,5.0,nM,,,CHEMBL4276234,9,CHEMBL3085620,CHEMBL4270662,7tab,P51532
CHEMBL4282980,Nc1cnc(F)cc1NC(=O)Nc1cc(C(F)F)ns1,IC50,5.0,nM,,,CHEMBL4276234,9,CHEMBL3085620,CHEMBL4270662,7tab,P51532
CHEMBL4293567,O=C(Nc1cc(C(F)F)ns1)Nc1cc(Cl)ncc1CO,IC50,5.0,nM,,,CHEMBL4276234,9,CHEMBL3085620,CHEMBL4270662,7tab,P51532
CHEMBL4286345,Nc1cnc(Cl)cc1NC(=O)Nc1cc(C(F)F)ns1,IC50,5.0,nM,,,CHEMBL4276234,9,CHEMBL3085620,CHEMBL4270662,7tab,P51532
