molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL503254,O=C(O)CCc1ccc(-c2ccc(Cl)cc2)n1CC(=O)O,IC50,4000.0,nM,5.4,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL504500,O=C(O)CCc1ccc(-c2cccs2)n1CC(=O)O,IC50,9000.0,nM,5.05,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL455496,O=C(O)CCSc1nnc(SCCC(=O)O)s1,IC50,17000.0,nM,4.77,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL460982,Cc1ccc2c(c1)c1nnc(SCc3ccc(CC(=O)O)cc3)nc1n2C(=O)O,IC50,15000.0,nM,4.82,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL517724,O=C(O)Cc1cc(S(=O)(=O)c2ccc(Sc3ccc(C(=O)O)cc3)cc2)ccc1C(=O)O,IC50,4000.0,nM,5.4,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL460563,O=C(O)CCn1c(=S)n(CCC(=O)O)c2ccccc21,IC50,15000.0,nM,4.82,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL509657,O=C(O)Cn1c(=O)n(CC(=O)O)c2ccccc21,IC50,16000.0,nM,4.8,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL448958,Cc1oc(C(=O)O)cc1CSCC(C)C(=O)O,IC50,22000.0,nM,4.66,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL512761,Cc1cc(C(=O)O)c(CSCc2cc(C(=O)O)oc2C)o1,IC50,20000.0,nM,4.7,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL462690,O=C(O)CCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,IC50,6000.0,nM,5.22,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL462261,O=C(O)CCCN1C(=O)/C(=C2/C(=O)N(CC(=O)O)c3ccccc32)SC1=S,IC50,12000.0,nM,4.92,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL460782,CC(Oc1cc(OC(C)C(=O)O)c2c(c1)oc(=O)c1ccccc12)C(=O)O,IC50,8000.0,nM,5.1,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL460783,O=C(O)CC1OC(=O)c2cc3c(cc21)C(=O)OC3CC(=O)O,IC50,11000.0,nM,4.96,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL448036,Cc1nc2ccc(C(=O)O)cc2c(O)c1CCC(=O)O,IC50,20000.0,nM,4.7,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL460784,O=C(O)CSc1cc(-c2ccccc2)nc(SCC(=O)O)n1,IC50,19000.0,nM,4.72,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL510354,Cc1oc(C)c(C(=O)NCC(=O)O)c1C(=O)NCC(=O)O,IC50,26000.0,nM,4.58,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL467436,Cc1oc(C)c(C(=O)O)c1COc1ccccc1C(=O)O,IC50,6000.0,nM,5.22,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL512260,O=C(O)CN1C(=O)/C(=C\c2ccc(-c3cccc(C(=O)O)c3)o2)SC1=S,IC50,6000.0,nM,5.22,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL449985,O=C(c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O)c1ccc2c(c1)C(=O)N(c1ccccc1C(=O)O)C2=O,IC50,8000.0,nM,5.1,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL467435,O=C(O)Cn1c(CCCCc2nc3ccccc3n2CC(=O)O)nc2ccccc21,IC50,4000.0,nM,5.4,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL510282,Nc1ncnc2[nH]c(SCCC(=O)O)nc12,IC50,20000.0,nM,4.7,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL512261,Cc1ccc(-c2ccc(CCC(=O)O)n2CC(=O)O)cc1,IC50,12000.0,nM,4.92,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
CHEMBL466401,O=C(O)CCc1ccc(-c2ccc(F)cc2)n1CC(=O)O,IC50,9000.0,nM,5.05,,CHEMBL1021377,9,CHEMBL5619,CHEMBL1139343,7tc2,P27695
