molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL458489,O=C(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC(=O)c3ccccc3)[C@H]2O)[C@@H]1O)c1ccccc1,Kd,22000.0,nM,4.66,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL509915,COc1cccc(C(=O)O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](OC(=O)c4cccc(OC)c4)[C@H]3O)[C@@H]2O)c1,Kd,22000.0,nM,4.66,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL505576,Cc1ccc(C(=O)O[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](OC(=O)c4ccc(C)cc4)[C@H]3O)[C@@H]2O)cc1,Kd,190000.0,nM,,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL509180,O=C(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC(=O)c3cccc4ccccc34)[C@H]2O)[C@@H]1O)c1cccc2ccccc12,Kd,24000.0,nM,4.62,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL443156,O=C(O[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](OC(=O)c3ccc4ccccc4c3)[C@H]2O)[C@@H]1O)c1ccc2ccccc2c1,Kd,48000.0,nM,4.32,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL457221,O=C(N[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccccc3)[C@H]2O)[C@@H]1O)c1ccccc1,Kd,4300.0,nM,5.37,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL503116,COc1cccc(C(=O)N[C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](NC(=O)c4cccc(OC)c4)[C@H]3O)[C@@H]2O)c1,Kd,2100.0,nM,5.68,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL444662,O=C(N[C@H]1[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3ccc4ccccc4c3)[C@H]2O)[C@@H]1O)c1ccc2ccccc2c1,Kd,1700.0,nM,5.77,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL516152,CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](NC(=O)c3cccc4ccccc34)[C@H]2O)[C@H](O)[C@H]1NC(C)=O,Kd,7600.0,nM,5.12,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL457430,CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1OC(=O)c1cccc2ccccc12,Kd,54000.0,nM,4.27,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL52011,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,Kd,160000.0,nM,,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL52011,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,Kd,160000.0,nM,,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL52011,OC[C@H]1O[C@@H](S[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O,Kd,160000.0,nM,,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL457432,CC(=O)N[C@@H]1[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H](CO)O[C@H]1O,Kd,550000.0,nM,,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL5314358,,Kd,110000.0,nM,,,CHEMBL1013548,8,CHEMBL5008,CHEMBL1151729,7tkx,P47929
CHEMBL1253737,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2ccnn2)[C@H]1O,Kd,2400000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254520,COC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1,Kd,5000000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253738,CCCc1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1,Kd,2200000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253739,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(CO)nn2)[C@H]1O,Kd,2500000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254521,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C3(O)CCCCC3)nn2)[C@H]1O,Kd,5000000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254599,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3ccccc3)nn2)[C@H]1O,Kd,1700000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254600,COc1cccc(-c2cn([C@H]3[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]3O)nn2)c1,Kd,2800000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254601,COc1ccc(-c2cn([C@H]3[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]3O)nn2)cc1,Kd,2000000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254676,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3ccccc3F)nn2)[C@H]1O,Kd,2000000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254677,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3cccc4ccccc34)nn2)[C@H]1O,Kd,810000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254760,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(-c3cccnc3)nn2)[C@H]1O,Kd,,,,Not Determined,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254761,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(S(=O)(=O)c3ccc(C)cc3)nn2)[C@H]1O,Kd,2000000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254845,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2nncc2S(=O)(=O)c2ccc(C)cc2)[C@H]1O,Kd,,,,Not Determined,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254846,CNC(=O)c1nnn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)c1C(=O)NC,Kd,5000000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254847,CNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1,Kd,,,,Not Determined,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254932,CCCCNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](SC)[C@@H]2O)nn1,Kd,1100000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1254933,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C(=O)NCCCO)nn2)[C@H]1O,Kd,1500000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1255018,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C(=O)NCCN3CCOCC3)nn2)[C@H]1O,Kd,5000000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL500137,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C(=O)NCc3ccccc3)nn2)[C@H]1O,Kd,2100000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL500137,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2cc(C(=O)NCc3ccccc3)nn2)[C@H]1O,Kd,2100000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253188,CS[C@@H]1O[C@H](CO)[C@H](O)[C@H](n2nnc(C(N)=O)c2N)[C@H]1O,Kd,2700000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253843,CNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](NC(C)=O)[C@H](OC)O[C@@H]3CO)[C@@H]2O)nn1,Kd,130000.0,nM,,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253740,CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(C(=O)NCc4ccccc4)nn3)[C@H]2O)[C@H](O)[C@H]1NC(C)=O,Kd,74000.0,nM,4.13,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253741,CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](n3cc(C(=O)Nc4cccc5ccccc45)nn3)[C@H]2O)[C@H](O)[C@H]1NC(C)=O,Kd,83000.0,nM,4.08,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253923,CNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NC)nn4)[C@H]3O)[C@@H]2O)nn1,Kd,8000.0,nM,5.1,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253742,CCCCNC(=O)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NCCCC)nn4)[C@H]3O)[C@@H]2O)nn1,Kd,5400.0,nM,5.27,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
CHEMBL1253743,O=C(NCc1ccccc1)c1cn([C@H]2[C@@H](O)[C@@H](CO)O[C@@H](S[C@@H]3O[C@H](CO)[C@H](O)[C@H](n4cc(C(=O)NCc5ccccc5)nn4)[C@H]3O)[C@@H]2O)nn1,Kd,8300.0,nM,5.08,,CHEMBL1252152,9,CHEMBL5008,CHEMBL1250422,7tkx,P47929
