molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL457092,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1,IC50,690.0,nM,6.16,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL458777,CCCCN(CCCC)[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,IC50,9200.0,nM,5.04,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL458594,CCCCN[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)OC,IC50,4690.0,nM,5.33,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL458592,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](Cc1ccccc1)C(=O)OC,IC50,840.0,nM,6.08,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL458586,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)OC)C(C)(C)C,IC50,20000.0,nM,,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL457293,CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)OC)C(C)C,IC50,1250.0,nM,5.9,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL457292,CCCCC[C@H](CC(=O)NO)C(=O)N[C@@H](C)C(=O)OC,IC50,530.0,nM,6.28,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL457060,CCCCC[C@H](CC(=O)NO)C(=O)NCC(=O)OC,IC50,1540.0,nM,5.81,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL457291,COC(=O)[C@H](CC(C)C)NC(=O)CCC(=O)NO,IC50,19900.0,nM,4.7,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
CHEMBL458564,COC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(=O)NO)Cc1ccccc1,IC50,45200.0,nM,4.34,,CHEMBL984306,9,CHEMBL5462,CHEMBL1149858,7trm,Q13490
