molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1299200,COC(=O)CCC(=O)OC1(C)C(=O)C=C2C=C(C3CC3)N(CCCOC(C)C)C=C2C1=O,IC50,32124.0,nM,4.49,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1536273,COCCNC(=O)c1c(N)n(CCC(C)C)c2nc3ccccc3nc12,IC50,56486.0,nM,4.25,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1477061,Cc1ccc(C(=O)NNc2cc(N3CCCC3)nc(N3CCCC3)n2)cc1,IC50,64048.0,nM,4.19,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1379448,O=C(NNc1cc(N2CCCC2)nc(N2CCCC2)n1)c1ccc([N+](=O)[O-])cc1,IC50,67047.0,nM,,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1516738,COC(=O)CCC(=O)OC1(C)C(=O)C=C2C=C(C3CC3)N(C3CCCC3)C=C2C1=O,IC50,67047.0,nM,,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1458321,O=C(NC1(O)C(=O)c2ccccc2C1=O)c1c(Cl)cccc1Cl,IC50,67047.0,nM,,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL3194941,COc1ccccc1/C=N/Nc1cc(N(C)C)nc(N(C)C)n1,IC50,67047.0,nM,,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1902079,Oc1ccc(/C=N\Nc2cc(N3CCOCC3)nc(N3CCOCC3)n2)c(O)c1,IC50,67047.0,nM,,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1864348,Oc1ccc(/C=N/Nc2cc(N3CCCC3)nc(N3CCCC3)n2)cc1,IC50,67047.0,nM,,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
CHEMBL1577193,CCOC(=O)C1=C(C)OC2(O)c3ccccc3C(=O)C12O,IC50,49020.0,nM,4.31,Not Active,CHEMBL1613844,9,CHEMBL2164,CHEMBL1201862,7txh,P62136
