molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3414624,CCCN[C@@H](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,IC50,800.0,nM,6.1,,CHEMBL3420959,9,CHEMBL3108647,CHEMBL3414551,7ty3,Q9BYW2
CHEMBL4854710,Cl.Nc1cccc2c(S(=O)(=O)NCc3ccccc3)cccc12,IC50,20000.0,nM,,,CHEMBL4827174,9,CHEMBL3108647,CHEMBL4825702,7ty3,Q9BYW2
CHEMBL5082544,CC.Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CC[C@@H](N(C)S(C)(=O)=O)C4)C3)[nH]c12,IC50,12.0,nM,7.92,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
CHEMBL5082544,CC.Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CC[C@@H](N(C)S(C)(=O)=O)C4)C3)[nH]c12,IC50,12.0,nM,7.92,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
CHEMBL5088515,CC(=O)N(C)[C@H]1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)C1,IC50,23.0,nM,7.64,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
CHEMBL5088515,CC(=O)N(C)[C@H]1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)C1,IC50,23.0,nM,7.64,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
CHEMBL5071957,CC(=O)N(C)[C@@H]1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)C1,IC50,15.0,nM,7.82,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
CHEMBL5071957,CC(=O)N(C)[C@@H]1CCN([C@H]2CCC[C@@H](NC(=O)c3cc4c(F)ccc(C)c4[nH]3)C2)C1,IC50,15.0,nM,7.82,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
CHEMBL5077994,Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CCN(S(C)(=O)=O)CC4)C3)[nH]c12,IC50,56.0,nM,7.25,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
CHEMBL5077994,Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CCN(S(C)(=O)=O)CC4)C3)[nH]c12,IC50,56.0,nM,7.25,,CHEMBL5040787,9,CHEMBL3108647,CHEMBL5038620,7ty3,Q9BYW2
