molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL429844,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,IC50,0.44,nM,9.36,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL429844,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,IC50,0.44,nM,9.36,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL429844,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,IC50,0.44,nM,9.36,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL429844,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,IC50,0.44,nM,9.36,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL429844,CC(C)C[C@H](N[C@@H](Cc1cncn1Cc1cc(Cl)cc(Cl)c1)C(=O)O)C(=O)O,IC50,0.44,nM,9.36,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL252417,Cc1nnc(S/C(=C/c2ccc(-c3cc(Cl)ccc3C)o2)C(=O)O)[nH]1,IC50,62000.0,nM,4.21,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL398940,NCCNCCN1CC1,IC50,57000.0,nM,4.24,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL398940,NCCNCCN1CC1,IC50,57000.0,nM,4.24,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL398940,NCCNCCN1CC1,IC50,57000.0,nM,4.24,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL398940,NCCNCCN1CC1,IC50,57000.0,nM,4.24,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
CHEMBL398940,NCCNCCN1CC1,IC50,57000.0,nM,4.24,,CHEMBL928323,8,CHEMBL3736,CHEMBL1141500,7u0n,Q9BYF1
