molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4445337,NC(=O)c1cccc(C#CCN(CC[C@H](N)C(=O)O)C[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)c1,IC50,33000.0,nM,,,CHEMBL4324412,9,CHEMBL4523442,CHEMBL4321848,7u1m,Q9BV86
CHEMBL4518093,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](C)C(N)=O,IC50,35.0,nM,7.46,,CHEMBL4392208,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4518093,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](C)C(N)=O,IC50,35.0,nM,7.46,,CHEMBL4392208,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4518093,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](C)C(N)=O,IC50,35.0,nM,7.46,,CHEMBL4392208,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4518093,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](C)C(N)=O,IC50,158.0,nM,6.8,,CHEMBL4392203,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4518093,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](C)C(N)=O,IC50,158.0,nM,6.8,,CHEMBL4392203,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4518093,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](C)C(N)=O,IC50,158.0,nM,6.8,,CHEMBL4392203,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4575245,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](CO)C(N)=O,IC50,485.0,nM,6.31,,CHEMBL4392203,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4575245,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(=O)N[C@@H](CO)C(N)=O,IC50,485.0,nM,6.31,,CHEMBL4392203,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
CHEMBL4475410,N=C(N)NCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CCCN1CCCN(CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(N)=O,IC50,414.0,nM,6.38,,CHEMBL4392203,9,CHEMBL4523442,CHEMBL4390676,7u1m,Q9BV86
