molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1998455,CC1CN=C(Nc2cccc(F)c2)S1,IC50,264000.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5186109,CC1CN=C(Nc2cccc(O)c2)S1,IC50,148500.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5186109,CC1CN=C(Nc2cccc(O)c2)S1,IC50,148500.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL1600521,CC1CN=C(Nc2ccccc2)S1,IC50,113200.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL2179396,c1ccc(C2NCCc3sccc32)cc1,IC50,250000.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5179037,c1ccc(C2NCCc3occc32)cc1,IC50,90800.0,nM,4.04,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5188512,c1ccc(C2NCCc3[nH]ccc32)cc1,IC50,108300.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5192951,Nc1ccc(C2NCCc3sccc32)cc1,IC50,250000.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5194502,Cc1ccc(C2NCCc3sccc32)cc1,IC50,55000.0,nM,4.26,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5179578,Clc1cccc(C2NCCc3sccc32)c1,IC50,49300.0,nM,4.31,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5205965,Oc1cccc(C2NCCc3sccc32)c1,IC50,250000.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5198959,Nc1cccc(C2NCCc3sccc32)c1,IC50,235300.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5203207,COc1cccc(C2NCCc3sccc32)c1,IC50,250000.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5195783,Fc1ccccc1C1NCCc2sccc21,IC50,149100.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5193368,Brc1cccc2c1CCNC2c1ccccc1,IC50,64800.0,nM,4.19,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5189044,Nc1cccc2c1CCNC2c1ccccc1,IC50,18900.0,nM,4.72,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5189044,Nc1cccc2c1CCNC2c1ccccc1,IC50,18900.0,nM,4.72,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5181147,COc1ccc2c(c1)CCCC2c1ccccc1,IC50,250000.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5175764,COc1cccc(C2CCCc3ccccc32)c1,IC50,35500.0,nM,4.45,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL21484,COc1ccc(C2NCCc3ccccc32)cc1,IC50,89800.0,nM,4.05,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5197897,CC(C)C[C@H](NC(=O)CNC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,IC50,21400.0,nM,4.67,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5197897,CC(C)C[C@H](NC(=O)CNC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,IC50,21400.0,nM,4.67,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5208789,CNC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](NC(=O)CNCc1ccc(OC)cc1OC)c1cccs1,IC50,5400.0,nM,5.27,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5177515,CCCCNCC(=O)N[C@H](Cc1ccc(C(C)(C)C)cc1)C(=O)N[C@@H](Cc1cccc(OC)c1)C(=O)NC,IC50,4700.0,nM,5.33,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5208155,CNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@@H](NC(=O)[C@H]1NC[C@@H]1c1ccccc1)c1ccsc1,IC50,187500.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5191076,CNC(=O)[C@H](Cc1ccc(C)cc1)NC(=O)[C@@H](C/C=C/c1ccccc1)NC(=O)CNCc1ccccc1,IC50,4800.0,nM,5.32,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5191415,CNC(=O)C1c2ccccc2CN1C(=O)[C@@H](Cc1c(C)[nH]c2ccccc12)NC(=O)CNCCOc1ccc(C)cc1,IC50,187500.0,nM,,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,IC50,4100.0,nM,5.39,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,IC50,4100.0,nM,5.39,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,IC50,4100.0,nM,5.39,,CHEMBL5106704,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5411984,O=C(CNCc1ccccc1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,IC50,2500.0,nM,5.6,,CHEMBL5337969,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5411984,O=C(CNCc1ccccc1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,IC50,2500.0,nM,5.6,,CHEMBL5337969,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5195622,CC(C)C[C@H](NC(=O)CNC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)O,Kd,1900.0,nM,5.72,,CHEMBL5106702,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5189044,Nc1cccc2c1CCNC2c1ccccc1,Kd,17.0,nM,7.77,,CHEMBL5106705,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5189044,Nc1cccc2c1CCNC2c1ccccc1,Kd,17.0,nM,7.77,,CHEMBL5106705,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5186109,CC1CN=C(Nc2cccc(O)c2)S1,Kd,110000.0,nM,,,CHEMBL5106705,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5186109,CC1CN=C(Nc2cccc(O)c2)S1,Kd,110000.0,nM,,,CHEMBL5106705,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,80.0,nM,7.1,,CHEMBL5106708,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,80.0,nM,7.1,,CHEMBL5106708,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,80.0,nM,7.1,,CHEMBL5106708,9,CHEMBL5169174,CHEMBL5104179,7u3k,Q8IVV7
CHEMBL5197897,CC(C)C[C@H](NC(=O)CNC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Kd,2300.0,nM,5.64,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5197897,CC(C)C[C@H](NC(=O)CNC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,Kd,2300.0,nM,5.64,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5426366,CC(NC(=O)CNCc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,Kd,15000.0,nM,4.82,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5414824,O=C(CNCc1ccccc1)NCc1ccccc1,Kd,9000.0,nM,5.05,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5405098,COc1ccc(CNCC(=O)NCc2ccc(OC)cc2)cc1,Kd,3400.0,nM,5.47,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5435433,O=C(CNCc1ccc(OCc2cccc(Cl)c2)cc1)NCc1ccccc1,Kd,2700.0,nM,5.57,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5411414,Cc1ccccc1Cc1ccc(CNC(=O)[C@@H]2CCCN2)c(F)c1,Kd,24000.0,nM,4.62,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5411984,O=C(CNCc1ccccc1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,500.0,nM,6.3,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5411984,O=C(CNCc1ccccc1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,500.0,nM,6.3,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5393907,COc1ccc(CNCC(=O)N[C@H]2CC[C@@H](c3nc4cc(OCCOCCOCCOCCN)ccc4[nH]3)CC2)cc1,Kd,300.0,nM,6.52,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,81.0,nM,7.09,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,81.0,nM,7.09,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
CHEMBL5177469,O=C(CNCc1cc2ccccc2[nH]1)N[C@H]1CC[C@@H](c2nc3ccccc3[nH]2)CC1,Kd,81.0,nM,7.09,,CHEMBL5337967,9,CHEMBL5169174,CHEMBL5335842,7u3k,Q8IVV7
