molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL77840,NCCCNCCCCCC(=O)NO,IC50,120.0,nM,6.92,,CHEMBL4771518,9,CHEMBL4802002,CHEMBL4765362,7u6b,F1QCV2
CHEMBL5181507,O=C(NO)c1ccc(CNCc2ccccc2)cc1,IC50,37.0,nM,7.43,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5208700,O=C(NO)c1ccc(CNCc2cccs2)cc1,IC50,106.0,nM,6.97,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5208990,O=C(NO)c1ccc(CNCc2ccsc2)cc1,IC50,24.0,nM,7.62,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5203383,CN1CCN(Cc2ccc(C(=O)NO)cc2)CC1,IC50,43.0,nM,7.37,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5184156,O=C(/C=C/C1CCN(CCc2ccccc2)CC1)NO,IC50,11.0,nM,7.96,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5207713,O=C(/C=C/C1CCN(CCc2c[nH]c3ccccc23)CC1)NO,IC50,29.0,nM,7.54,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5173958,O=C(/C=C/C1CCN(Cc2cccc3ccccc23)CC1)NO,IC50,20.0,nM,7.7,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5176967,O=C(/C=C/C1CCN(Cc2cccc(Cl)c2)CC1)NO,IC50,60.0,nM,7.22,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5183538,O=C(/C=C/C1CCN(Cc2ccccc2)CC1)NO,IC50,530.0,nM,6.28,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5184762,O=C(/C=C/C1CCN(Cc2csc3ccccc23)CC1)NO,IC50,62.0,nM,7.21,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5201275,Cn1cc(CN2CCC(/C=C/C(=O)NO)CC2)c2ccccc21,IC50,58.0,nM,7.24,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL5188463,O=C(/C=C/C1CCN(Cc2ccc(Cl)cc2)CC1)NO,IC50,33.0,nM,7.48,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
CHEMBL2018302,CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,220.0,nM,6.66,,CHEMBL5135583,9,CHEMBL4802002,CHEMBL5131507,7u6b,F1QCV2
