molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,IC50,535.0,nM,6.27,,CHEMBL1100285,8,CHEMBL1075132,CHEMBL1154885,7u8u,Q12931
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,IC50,535.0,nM,6.27,,CHEMBL1100285,8,CHEMBL1075132,CHEMBL1154885,7u8u,Q12931
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,IC50,535.0,nM,6.27,,CHEMBL1100285,8,CHEMBL1075132,CHEMBL1154885,7u8u,Q12931
CHEMBL14830,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,IC50,55594.0,nM,4.25,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL14249,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,IC50,31303.0,nM,4.5,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL2103879,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,IC50,51.0,nM,7.29,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL2103879,CC(C)c1cc(-c2n[nH]c(=O)n2-c2ccc3c(ccn3C)c2)c(O)cc1O,IC50,51.0,nM,7.29,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,IC50,38.0,nM,7.42,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,IC50,38.0,nM,7.42,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL252164,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1,IC50,38.0,nM,7.42,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL560895,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,IC50,726.0,nM,6.14,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL560895,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,IC50,726.0,nM,6.14,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL560895,CC1(C)CC(=O)c2c(C(F)(F)F)nn(-c3ccc(C(N)=O)c(N[C@H]4CC[C@H](O)CC4)c3)c2C1,IC50,726.0,nM,6.14,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL2419346,CN(C)c1cc2c(cc1Sc1nc3c(N)nccc3n1CCNCC(C)(C)C)OCO2,IC50,1586.0,nM,5.8,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL200102,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,IC50,205.0,nM,6.69,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL200102,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,IC50,205.0,nM,6.69,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL200102,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,IC50,205.0,nM,6.69,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL200102,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,IC50,205.0,nM,6.69,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL200102,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,IC50,205.0,nM,6.69,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL200102,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,IC50,205.0,nM,6.69,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL200102,CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21,IC50,205.0,nM,6.69,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL467399,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,IC50,90.0,nM,7.05,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL467399,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,IC50,90.0,nM,7.05,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL467399,COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C,IC50,90.0,nM,7.05,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL109480,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,1496.0,nM,5.83,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL278315,COC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,IC50,661.0,nM,6.18,,CHEMBL2424065,9,CHEMBL1075132,CHEMBL2417440,7u8u,Q12931
CHEMBL190439,C#CCCCn1c(Sc2ccccc2Cl)nc2c(N)ncnc21,IC50,,,,Not Determined,CHEMBL3427925,9,CHEMBL1075132,CHEMBL3425404,7u8u,Q12931
CHEMBL193892,C#CCCCn1c(Sc2ccccc2OC)nc2c(N)ncnc21,IC50,,,,Not Determined,CHEMBL3427925,9,CHEMBL1075132,CHEMBL3425404,7u8u,Q12931
CHEMBL190438,C#CCCCn1c(Sc2ccccc2CO)nc2c(N)ncnc21,IC50,,,,Not Determined,CHEMBL3427925,9,CHEMBL1075132,CHEMBL3425404,7u8u,Q12931
CHEMBL371372,C#CCCCn1c(Sc2ccccc2OC(F)(F)F)nc2c(N)ncnc21,IC50,,,,Not Determined,CHEMBL3427925,9,CHEMBL1075132,CHEMBL3425404,7u8u,Q12931
CHEMBL370286,C#CCCCn1c(Sc2ccc(OC)cc2)nc2c(N)ncnc21,IC50,,,,Not Determined,CHEMBL3427925,9,CHEMBL1075132,CHEMBL3425404,7u8u,Q12931
CHEMBL426086,C#CCCCn1c(Sc2ccc(Cl)cc2)nc2c(N)ncnc21,IC50,,,,Not Determined,CHEMBL3427925,9,CHEMBL1075132,CHEMBL3425404,7u8u,Q12931
