molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL517366,C[C@H](N)C(=O)NCc1ccccc1-n1nc(C(F)(F)F)cc1C(=O)NCc1ccccc1,IC50,50000.0,nM,,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL478195,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2NC(=O)OCc2ccccc2)c1,IC50,600.0,nM,6.22,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL477581,CNC(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNC(=O)CN)c1,IC50,10600.0,nM,4.97,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL477347,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NC2CCCCC2)c1,IC50,4300.0,nM,5.37,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL477346,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCCc2ccccc2)c1,IC50,1100.0,nM,5.96,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL477142,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)N[C@H](C)c2ccccc2)c1,IC50,180.0,nM,6.75,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL478185,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)N[C@@H](C)c2ccccc2)c1,IC50,7100.0,nM,5.15,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL476296,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)N(C)Cc2ccccc2)c1,IC50,3400.0,nM,5.47,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL466658,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,IC50,80.0,nM,7.1,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL466658,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,IC50,80.0,nM,7.1,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL476087,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccccc2)c1,IC50,1320.0,nM,5.88,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL443244,CNCC(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2F)c1,IC50,30000.0,nM,,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL507631,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)C(N)C(F)(F)F)c2)c(F)c1,IC50,30000.0,nM,,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL452388,CC(C)(N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2F)c1,IC50,30000.0,nM,,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL504582,C[C@@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2F)c1,IC50,20100.0,nM,4.7,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL501950,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3S(C)(=O)=O)cc2F)c1,IC50,160.0,nM,6.8,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL500598,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)CCN)c2)c(F)c1,IC50,16900.0,nM,4.77,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL479059,NCC(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccc(-c3ccccc3)cc2)c1,IC50,1420.0,nM,5.85,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL476332,CS(=O)(=O)c1cccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)CN)c2)c1,IC50,230.0,nM,6.64,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL516256,NCC(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)Nc2ccccc2)c1,IC50,7700.0,nM,5.11,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL476331,CN(C)C(=O)c1cc(C(F)(F)F)nn1-c1cccc(CNC(=O)CN)c1,IC50,29800.0,nM,4.53,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL479037,C[C@H](N)C(=O)NCc1ccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)cc1,IC50,50000.0,nM,,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL1162995,C[C@H](N)C(=O)Nc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,IC50,50000.0,nM,,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL517976,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)CN)c2)cc1,IC50,1800.0,nM,5.75,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL517976,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)CN)c2)cc1,IC50,1800.0,nM,5.75,,CHEMBL984753,9,CHEMBL5406,CHEMBL1155844,7u9i,Q86X55
CHEMBL466658,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,IC50,80.0,nM,7.1,,CHEMBL971420,8,CHEMBL5406,CHEMBL1136918,7u9i,Q86X55
CHEMBL466658,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2C(=O)NCc2ccccc2)c1,IC50,80.0,nM,7.1,,CHEMBL971420,8,CHEMBL5406,CHEMBL1136918,7u9i,Q86X55
CHEMBL511550,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3ccccc3)o2)c1,IC50,60.0,nM,7.22,,CHEMBL971420,8,CHEMBL5406,CHEMBL1136918,7u9i,Q86X55
CHEMBL468502,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nc(-c3ccccc3)no2)c1,IC50,210.0,nM,6.68,,CHEMBL971420,8,CHEMBL5406,CHEMBL1136918,7u9i,Q86X55
CHEMBL468712,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(Cc3ccccc3)o2)c1,IC50,310.0,nM,6.51,,CHEMBL971420,8,CHEMBL5406,CHEMBL1136918,7u9i,Q86X55
CHEMBL468713,C[C@H](N)C(=O)NCc1cccc(-n2nc(C(F)(F)F)cc2-c2nnc(-c3ccncc3)o2)c1,IC50,1540.0,nM,5.81,,CHEMBL971420,8,CHEMBL5406,CHEMBL1136918,7u9i,Q86X55
CHEMBL466833,COc1ccccc1-c1nnc(-c2cc(C(F)(F)F)nn2-c2cccc(CNC(=O)[C@H](C)N)c2)o1,IC50,50.0,nM,7.3,,CHEMBL971420,8,CHEMBL5406,CHEMBL1136918,7u9i,Q86X55
