molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL327917,CC(=O)N/C=C\[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)O)[C@H]2C1.[Na+],IC50,0.11,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL327917,CC(=O)N/C=C\[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)O)[C@H]2C1.[Na+],IC50,0.11,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL93491,CC(=O)N/C=C\SC1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)OS(=O)(=O)[O-])[C@H]2C1.[Na+].[Na+],IC50,0.028,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL93653,CC(=O)N/C=C\[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)OS(=O)(=O)[O-])[C@H]2C1.[Na+].[Na+],IC50,0.001,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL433378,CC(=O)N/C=C\SC1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)OS(=O)(=O)[O-])[C@H]2C1.[Na+].[Na+],IC50,0.0018,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL328990,CC(=O)N/C=C/[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)O)[C@H]2C1.[Na+],IC50,0.08,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL327797,CC(=O)N/C=C\SC1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)O)[C@H]2C1.[Na+],IC50,0.22,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL92019,CC(=O)N/C=C\[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)OS(=O)(=O)[O-])[C@H]2C1.[Na+].[Na+],IC50,8e-05,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL327917,CC(=O)N/C=C\[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)O)[C@H]2C1.[Na+],IC50,0.0038,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL327917,CC(=O)N/C=C\[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)O)[C@H]2C1.[Na+],IC50,0.0038,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL3138732,CC(=O)[N-]/C=C/SC1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)O)[C@H]2C1.[Na+].[Na+],IC50,0.32,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL352175,CC(=O)N/C=C\[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)O)[C@H]2C1.[Na+],IC50,0.0024,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL316079,CC(=O)N/C=C/[S+]([O-])C1=C(C(=O)[O-])N2C(=O)[C@@H](C(C)(C)OS(=O)(=O)[O-])[C@H]2C1.[Na+].[Na+],IC50,0.0052,ug.mL-1,,,CHEMBL653626,9,CHEMBL6132,CHEMBL1122222,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,374.0,nM,6.43,,CHEMBL1004916,9,CHEMBL6132,CHEMBL1137666,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,374.0,nM,6.43,,CHEMBL1004916,9,CHEMBL6132,CHEMBL1137666,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,374.0,nM,6.43,,CHEMBL1004916,9,CHEMBL6132,CHEMBL1137666,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,370.0,nM,6.43,,CHEMBL1218087,9,CHEMBL6132,CHEMBL1212776,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,370.0,nM,6.43,,CHEMBL1218087,9,CHEMBL6132,CHEMBL1212776,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,IC50,370.0,nM,6.43,,CHEMBL1218087,9,CHEMBL6132,CHEMBL1212776,7ua7,Q9F663
CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,IC50,10500.0,nM,4.98,,CHEMBL1218087,9,CHEMBL6132,CHEMBL1212776,7ua7,Q9F663
CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,IC50,10500.0,nM,4.98,,CHEMBL1218087,9,CHEMBL6132,CHEMBL1212776,7ua7,Q9F663
CHEMBL1689063,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,IC50,186.0,nM,6.73,,CHEMBL5331306,9,CHEMBL6132,CHEMBL5331045,7ua7,Q9F663
CHEMBL3989959,NCCONC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,IC50,869.0,nM,6.06,,CHEMBL5331306,9,CHEMBL6132,CHEMBL5331045,7ua7,Q9F663
CHEMBL5483057,NS(=O)(=O)C1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,IC50,44.0,nM,7.36,,CHEMBL5331312,9,CHEMBL6132,CHEMBL5331045,7ua7,Q9F663
CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,Ki,11000.0,nM,4.96,,CHEMBL1639005,9,CHEMBL6132,CHEMBL1629686,7ua7,Q9F663
CHEMBL777,O=C(O)[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21,Ki,11000.0,nM,4.96,,CHEMBL1639005,9,CHEMBL6132,CHEMBL1629686,7ua7,Q9F663
CHEMBL403,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,Ki,167000.0,nM,,,CHEMBL1639005,9,CHEMBL6132,CHEMBL1629686,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,Ki,74000.0,nM,4.13,,CHEMBL1639005,9,CHEMBL6132,CHEMBL1629686,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,Ki,74000.0,nM,4.13,,CHEMBL1639005,9,CHEMBL6132,CHEMBL1629686,7ua7,Q9F663
CHEMBL404,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,Ki,74000.0,nM,4.13,,CHEMBL1639005,9,CHEMBL6132,CHEMBL1629686,7ua7,Q9F663
