molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL87802,O=Cc1coc2ccc(-c3ccccc3)cc2c1=O,IC50,240000.0,nM,,,CHEMBL805108,8,CHEMBL3807,CHEMBL1136136,7uad,P17706
CHEMBL87189,O=Cc1coc2ccc3ccccc3c2c1=O,IC50,780000.0,nM,,,CHEMBL805108,8,CHEMBL3807,CHEMBL1136136,7uad,P17706
CHEMBL87536,O=Cc1coc2ccc(-c3ccc(-c4ccccc4)cc3)cc2c1=O,IC50,51000.0,nM,4.29,,CHEMBL805108,8,CHEMBL3807,CHEMBL1136136,7uad,P17706
CHEMBL140954,O=P(O)(O)C(F)(F)c1ccc(COc2ccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)cc2)cc1,IC50,4600.0,nM,5.34,,CHEMBL872634,8,CHEMBL3807,CHEMBL1134320,7uad,P17706
CHEMBL344437,N.N.N.N.O=P(O)(O)C(F)(F)c1ccc(COCCOCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,6100.0,nM,5.21,,CHEMBL872634,8,CHEMBL3807,CHEMBL1134320,7uad,P17706
CHEMBL1161222,O=P(O)(O)C(F)(F)c1ccc(CCCCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,6400.0,nM,5.19,,CHEMBL872634,8,CHEMBL3807,CHEMBL1134320,7uad,P17706
CHEMBL140524,O=P(O)(O)C(F)(F)c1ccc(COc2cccc(OCc3ccc(C(F)(F)P(=O)(O)O)cc3)c2)cc1,IC50,7900.0,nM,5.1,,CHEMBL872634,8,CHEMBL3807,CHEMBL1134320,7uad,P17706
CHEMBL337604,O=P(O)(O)C(F)(F)c1ccc(COc2ccccc2OCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,IC50,3200.0,nM,5.5,,CHEMBL872634,8,CHEMBL3807,CHEMBL1134320,7uad,P17706
CHEMBL267048,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc(F)c(F)c2)n2nnc3ccccc32)cc1,IC50,8.0,nM,8.1,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL267245,O=C(OCc1ccccc1)C(Cc1ccc(C(F)(F)P(=O)(O)O)cc1)(c1ccccc1)n1nnc2ccccc21,IC50,290.0,nM,6.54,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL9363,O=P(O)(O)C(F)(F)c1ccc(CC(c2ccccc2)n2nnc3ccccc32)cc1,IC50,7260.0,nM,5.14,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL276647,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,IC50,10.0,nM,8.0,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL276648,O=P(O)(O)C(F)(F)c1ccc(C(c2ccc(-c3ccccc3-c3nn[nH]n3)cc2)C(c2ccccc2)n2nnc3ccccc32)cc1,IC50,85.0,nM,7.07,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL273474,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccc3ccccc3n2)n2nnc3ccccc32)cc1,IC50,28.0,nM,7.55,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL416145,O=P(O)(O)C(F)(F)c1ccc(CC(C/C=C/c2ccccc2)(c2ccccc2)n2nnc3ccccc32)cc1,IC50,49.0,nM,7.31,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL8662,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nc3ccccc3s2)n2nnc3ccccc32)cc1,IC50,20.0,nM,7.7,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL274435,O=P(O)(O)C(F)(F)c1ccc(/C=C/CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,IC50,10.0,nM,8.0,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL9374,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(OCc3ccccc3)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,IC50,62.0,nM,7.21,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL418703,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)cc2)(c2nnn[nH]2)n2nnc3ccccc32)cc1,IC50,16.0,nM,7.8,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,1130.0,nM,5.95,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,1130.0,nM,5.95,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,1130.0,nM,5.95,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,1130.0,nM,5.95,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,1130.0,nM,5.95,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL267488,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(C(F)(F)P(=O)(O)O)c(Br)c2)(c2ccccc2)n2nnc3ccccc32)cc1,IC50,4.0,nM,8.4,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL9339,O=P(O)(O)C(F)(F)c1ccc(CC(Cc2ccc(Br)cc2)(c2ccccc2)n2nnc3ccccc32)cc1,IC50,92.0,nM,7.04,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,36.0,nM,7.44,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,36.0,nM,7.44,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
CHEMBL266753,COC(CC(C)C)c1ccc2cc(-c3ccc(CC(Cc4ccc(C(F)(F)P(=O)(O)O)cc4)(c4ccccc4)n4nnc5ccccc54)cc3)cc(P(=O)(O)O)c2n1,IC50,36.0,nM,7.44,,CHEMBL805116,8,CHEMBL3807,CHEMBL1146670,7uad,P17706
