molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL322395,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCOCC5)cc4)ccc23)c(Cl)cc1Cl,IC50,1170.0,nM,5.93,,CHEMBL680961,8,CHEMBL1841,CHEMBL1134917,7ud6,P06241
CHEMBL317821,COc1cc(Nc2c(C#N)cnc3cc(-c4ccc(CN5CCN(C)CC5)cc4)ccc23)c(Cl)cc1Cl,IC50,830.0,nM,6.08,,CHEMBL680961,8,CHEMBL1841,CHEMBL1134917,7ud6,P06241
CHEMBL319556,O=C1NCc2c(-c3ccc(F)cc3F)cc(C3CCNCC3)cc2N1c1c(Cl)cccc1Cl,IC50,10000.0,nM,,,CHEMBL682777,8,CHEMBL1841,CHEMBL1136271,7ud6,P06241
CHEMBL303786,COc1cc(Nc2c(C#N)cnc3cc(-c4csc(CN5CCN(C)CC5)c4)ccc23)c(Cl)cc1Cl,IC50,580.0,nM,6.24,,CHEMBL680962,8,CHEMBL1841,CHEMBL1135194,7ud6,P06241
CHEMBL60391,COc1cc(Nc2c(C#N)cnc3cc(-c4cc(CN5CCN(C)CC5)cs4)ccc23)c(Cl)cc1Cl,IC50,630.0,nM,6.2,,CHEMBL680962,8,CHEMBL1841,CHEMBL1135194,7ud6,P06241
CHEMBL79508,N=c1oc2ccccc2cc1C(=O)Nc1ccccc1O,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL79253,N=c1oc2cc(O)ccc2cc1C(=O)Nc1cccc(O)c1,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL81599,COc1cccc2cc(C(=O)Nc3cccc(O)c3)c(=N)oc12,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL82085,N=c1oc2c(O)cccc2cc1C(=O)Nc1cccc(O)c1,IC50,20.0,ug.mL-1,,,CHEMBL841998,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL81806,N=c1oc2c(O)c(O)ccc2cc1C(=O)Nc1cccc(CO)c1,IC50,20.0,ug.mL-1,,,CHEMBL841998,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL81826,N=c1oc2ccccc2cc1C(=O)Nc1ccc(O)cc1,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL79977,N=c1oc2c(O)c(O)ccc2cc1C(=O)Nc1ccccc1O,IC50,20.0,ug.mL-1,,,CHEMBL841998,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL81137,N=c1oc2c(O)cccc2cc1C(=O)Nc1cccc(CO)c1,IC50,3.0,ug.mL-1,,,CHEMBL841998,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL79506,N=c1oc2cc(O)cc(O)c2cc1C(=O)Nc1ccccc1O,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL310404,COc1ccc2oc(=N)c(C(=O)Nc3ccc(O)cc3)cc2c1,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL309785,N=c1oc2ccccc2cc1C(=O)Nc1cccc(O)c1,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
CHEMBL79252,N=c1oc2cc(O)ccc2cc1C(=O)Nc1ccc(O)cc1,IC50,,ug.mL-1,,Not Determined,CHEMBL841999,8,CHEMBL1841,CHEMBL1152042,7ud6,P06241
