molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL550658,Nc1ncc(-c2ccc(C(F)(F)F)cc2)c(-c2c[nH]c3ccccc23)n1,IC50,580.0,nM,6.24,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL563962,Cn1cc(-c2nc(N)ncc2-c2ccncc2)c2ccccc21,IC50,1300.0,nM,5.89,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL559591,NC(=O)c1ccc(-c2cnc(N)nc2-c2c[nH]c3ccccc23)cc1,IC50,1900.0,nM,5.72,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL552407,COc1cccc(-c2cnc(N)nc2-c2c[nH]c3ccccc23)c1,IC50,3100.0,nM,5.51,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL562648,Nc1ncc(-c2ccc(OC(F)(F)F)cc2)c(-c2c[nH]c3ccccc23)n1,IC50,3200.0,nM,5.5,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL552324,Cn1cc(-c2nc(N)ncc2I)c2ccccc21,IC50,4000.0,nM,5.4,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL559734,Nc1cccc(-c2cnc(N)nc2-c2c[nH]c3ccccc23)c1,IC50,6900.0,nM,5.16,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL560521,Cn1cc(-c2nc(N)ncc2-c2ccc(C(N)=O)cc2)c2ccccc21,IC50,7000.0,nM,5.16,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL560787,CC(=O)c1ccc(-c2cnc(N)nc2-c2cn(C)c3ccccc23)cc1,IC50,10000.0,nM,,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL559538,Cn1cc(-c2nc(N)ncc2-c2ccc(-c3ccccc3)cc2)c2ccccc21,IC50,10000.0,nM,,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL538190,COc1cccc(-c2cnc(N)nc2-c2cn(C)c3ccccc23)c1,IC50,10000.0,nM,,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL559735,Cn1cc(-c2nc(N)ncc2-c2cccc(N)c2)c2ccccc21,IC50,10000.0,nM,,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL563961,Cn1cc(-c2nc(N)ncc2-c2ccc(C(=O)O)cc2)c2ccccc21,IC50,10000.0,nM,,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL559592,Cn1cc(-c2nc(N)ncc2-c2cncnc2)c2ccccc21,IC50,10000.0,nM,,,CHEMBL1052340,9,CHEMBL5233,CHEMBL1152953,7ugb,P63086
CHEMBL1980140,C[C@@H]1[C@H](C)[C@H](c2ccc3c(c2)OCO3)O[C@H]1c1ccc2c(c1)OCO2,IC50,,,,Not Determined,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL2151191,C[C@@H]1[C@H](C)[C@@H](c2ccc3c(c2)OCO3)O[C@@H]1c1ccc2c(c1)OCO2,IC50,295000.0,nM,,,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL2151192,N=C1NC2C(/N=N/c3ccc(Br)cc3)C(=N)NN2c2[nH][nH]c(=N)c21,IC50,4600.0,nM,5.34,,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL2151193,COc1ccc(-c2nnc3sc4c5ccccc5ccc4n23)cc1,IC50,7500.0,nM,5.12,,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL1969923,NC(=S)N/N=C1\NC(=O)/C(=C/c2ccc3c(c2)OCO3)S1,IC50,,,,Not Active,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL1981814,COc1cccc(C2c3cc4c(cc3OC(NCCO)C2C)OCO4)c1OC,IC50,,,,Not Active,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL1492532,O=C(Nc1ncc([N+](=O)[O-])s1)c1cccc([N+](=O)[O-])c1,IC50,,,,Not Active,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL2000337,O=C(CC(C(=O)O)c1ccc2c(c1)OCO2)c1ccc2c(c1)OCO2,IC50,57000.0,nM,4.24,,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL1189513,O=C1OC(CN2CCOCC2)CN1/N=C/c1ccc([N+](=O)[O-])o1,IC50,,,,Not Active,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL2151285,Cc1ccc(/N=N/c2c(=N)[nH]n3cc4c(nc23)CCCC4)cc1,IC50,,,,Not Active,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL2151286,COc1ccc(/N=N/c2c(=N)[nH]n3cc4c(nc23)CCC4)cc1,IC50,,,,Not Active,CHEMBL2155150,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL2151190,Cn1nc(-c2ccc3c(c2)OCO3)nc2c(=O)n(C)c(=O)nc1-2,IC50,1000.0,nM,6.0,,CHEMBL2155182,9,CHEMBL5233,CHEMBL2150965,7ugb,P63086
CHEMBL1802358,O=C1NC(Nc2ccccc2)=N/C1=C\c1ccc2c(c1)OCO2,IC50,30000.0,nM,,,CHEMBL2187129,9,CHEMBL5233,CHEMBL2176911,7ugb,P63086
CHEMBL485053,CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1N,IC50,10000.0,nM,,,CHEMBL2187129,9,CHEMBL5233,CHEMBL2176911,7ugb,P63086
CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,IC50,30000.0,nM,,,CHEMBL2187129,9,CHEMBL5233,CHEMBL2176911,7ugb,P63086
CHEMBL508280,O=[N+]([O-])c1cnc(Sc2nnc(O)n2-c2ccc3c(c2)OCCO3)s1,Ki,2300.0,nM,5.64,,CHEMBL5152482,9,CHEMBL5233,CHEMBL5150019,7ugb,P63086
