molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2314819,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,18.5,nM,7.73,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314819,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,18.5,nM,7.73,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314818,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,422.0,nM,6.38,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314818,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,422.0,nM,6.38,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314817,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2F)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,102.0,nM,6.99,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314817,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2F)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,102.0,nM,6.99,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314816,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,25.1,nM,7.6,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314816,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(F)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,25.1,nM,7.6,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314815,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(-c3ccccc3)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,39400.0,nM,4.41,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
CHEMBL2314815,N=C(N)NCCC[C@@H]1NC(=O)C2(CCC2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2cccc(-c3ccccc3)c2)NC(=O)[C@@H](N)CCCCCCCCNC(=O)[C@@H]2CCCN2C1=O,IC50,39400.0,nM,4.41,,CHEMBL2320318,9,CHEMBL1615381,CHEMBL2311406,7uj4,O00255
