molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL146764,Cc1n[nH]c(SCCN2CCC(Cc3ccccc3)CC2)n1,IC50,150.0,nM,6.82,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL151428,c1ccc(CC2CCN(CCCSc3nc[nH]n3)CC2)cc1,IC50,630.0,nM,6.2,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL150640,c1ccc(CC2CCN(CCCSc3nc4ccc[nH]c-4n3)CC2)cc1,IC50,1600.0,nM,5.8,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL147355,c1ccc(CC2CCN(CCSc3ncc[nH]3)CC2)cc1,IC50,70.0,nM,7.16,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL150641,c1ccc(CC2CCN(CCSc3nc4ccc[nH]c-4n3)CC2)cc1,IC50,240.0,nM,6.62,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL147295,c1ccc(CC2CCN(CCCSc3nc4ccccc4[nH]3)CC2)cc1,IC50,1000.0,nM,6.0,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL147200,O=[N+]([O-])c1ccc2[nH]c(SCCCN3CCC(Cc4ccccc4)CC3)nc2c1,IC50,910.0,nM,6.04,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL347753,c1ccc(CC2CCN(CCSc3nc[nH]n3)CC2)cc1,IC50,130.0,nM,6.89,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL358256,Nc1nnc(SCCN2CCC(Cc3ccccc3)CC2)s1,IC50,210.0,nM,6.68,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL150403,Nc1nnc(SCCCN2CCC(Cc3ccccc3)CC2)s1,IC50,560.0,nM,6.25,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL358601,Cc1n[nH]c(SCCCN2CCC(Cc3ccccc3)CC2)n1,IC50,1000.0,nM,6.0,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL148767,c1ccc(CC2CCN(CCSc3nc4ccccc4[nH]3)CC2)cc1,IC50,380.0,nM,6.42,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL149054,c1ccc(CC2CCN(CCCSc3ccccc3)CC2)cc1,IC50,4300.0,nM,5.37,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
CHEMBL422139,Cc1nnc(SCCN2CCC(Cc3ccccc3)CC2)s1,IC50,4800.0,nM,5.32,,CHEMBL753021,8,CHEMBL1904,CHEMBL1133420,7ujp,Q13224
