molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL4101411,CC(C)(C)c1cc(NC(=O)Nc2ccc(-n3nc(-c4ccc(OCCN5CCOCC5)cc4)c4c(N)ncnc43)cc2)no1,IC50,36.0,nM,7.44,,CHEMBL4031416,9,CHEMBL5808,CHEMBL4028866,7ukz,P21127
CHEMBL4281048,COCCN[C@H]1CC[C@H](Nc2cc(-c3csc(NCC4(C#N)CCOCC4)n3)c(Cl)cn2)CC1,IC50,10000.0,nM,,,CHEMBL4264615,9,CHEMBL5808,CHEMBL4261600,7ukz,P21127
CHEMBL4282264,CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O,IC50,10000.0,nM,,,CHEMBL5650545,9,CHEMBL5808,CHEMBL5649168,7ukz,P21127
CHEMBL1673046,CCOc1cc(N2CCC(O)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,IC50,50000.0,nM,,,CHEMBL5663463,9,CHEMBL5808,CHEMBL5661979,7ukz,P21127
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,20.0,nM,7.7,,CHEMBL5700721,9,CHEMBL5808,CHEMBL5696440,7ukz,P21127
CHEMBL1232461,CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21,IC50,20.0,nM,7.7,,CHEMBL5700721,9,CHEMBL5808,CHEMBL5696440,7ukz,P21127
CHEMBL3622821,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12,IC50,10000.0,nM,,,CHEMBL5711813,9,CHEMBL5808,CHEMBL5705907,7ukz,P21127
CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Kd,1300.0,nM,5.89,,CHEMBL1060184,9,CHEMBL5808,CHEMBL1150977,7ukz,P21127
CHEMBL223360,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Kd,1300.0,nM,5.89,,CHEMBL1060184,9,CHEMBL5808,CHEMBL1150977,7ukz,P21127
CHEMBL572881,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,Kd,10000.0,nM,,,CHEMBL1060184,9,CHEMBL5808,CHEMBL1150977,7ukz,P21127
