molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2111620,CN1CCN(Cc2ccc3scc(CCN)c3c2)S1(=O)=O,IC50,1995.26,nM,5.7,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL320412,CN(C)CCc1c[nH]c2ccc(CN3CC(C)(C)NS3(=O)=O)cc12,IC50,251.19,nM,6.6,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL103549,CN(C)CCc1c[nH]c2ccc(CCN3CCNS3(=O)=O)cc12,IC50,125.89,nM,6.9,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL319223,CN(C)CCc1c[nH]c2ccc(N3CCN(C)S3(=O)=O)cc12,IC50,630.96,nM,6.2,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL102645,CN(C)CCc1c[nH]c2ccc(CN3C(C)(C)CNS3(=O)=O)cc12,IC50,1000.0,nM,6.0,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL323334,CN(C)CCc1c[nH]c2ccc(CN3CCCN(C)S3(=O)=O)cc12,IC50,125.89,nM,6.9,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL102586,CNCCc1c[nH]c2ccc(CN3CCN(C)S3(=O)=O)cc12,IC50,794.33,nM,6.1,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL103854,CN1CCN(Cc2ccc3[nH]cc(CCN)c3c2)S1(=O)=O,IC50,630.96,nM,6.2,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL321963,CCN1CCN(CCc2ccc3[nH]cc(CCN(C)C)c3c2)S1(=O)=O,IC50,125.89,nM,6.9,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL103205,CN(C)CCc1c[nH]c2ccc(CN3CCN(C)S3(=O)=O)cc12,IC50,794.33,nM,6.1,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL102548,CN(C)CCc1c[nH]c2ccc(CN3CCNS3(=O)=O)cc12,IC50,794.33,nM,6.1,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL103371,CN(C)CCc1c[nH]c2ccc(CCN3CCN(C)S3(=O)=O)cc12,IC50,199.53,nM,6.7,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
CHEMBL101138,CN(C)CCc1c[nH]c2ccc(N3CCN(Cc4ccccc4)S3(=O)=O)cc12,IC50,79.43,nM,7.1,,CHEMBL616402,8,CHEMBL3426,CHEMBL1127459,7um4,P47898
