molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL3319356,Cn1c(-c2cccc(NC(=O)C(=O)Nc3ccc(-c4ccsc4)cc3)c2)c(I)c2cc(C(=O)O)c(O)cc21,IC50,2900.0,nM,5.54,,CHEMBL3369523,9,CHEMBL2396511,CHEMBL3352034,7umv,Q9Y6W6
CHEMBL3426913,CCCCC(Oc1cc(O)c(C(=O)O)cc1C#Cc1ccccc1OC(F)(F)F)C(=O)NC1CCCCC1,IC50,5700.0,nM,5.24,,CHEMBL3428699,9,CHEMBL2396511,CHEMBL3425498,7umv,Q9Y6W6
CHEMBL4632818,CN(C)c1cc(O)c(C(=O)O)cc1C#Cc1cccc(NC(=O)C(=O)O)c1,IC50,50000.0,nM,,,CHEMBL4626305,9,CHEMBL2396511,CHEMBL4622975,7umv,Q9Y6W6
CHEMBL4637459,O=C(O)C(=O)Nc1ccc(C#Cc2ccc(C(F)(F)F)cc2)cc1,IC50,30000.0,nM,,,CHEMBL4626305,9,CHEMBL2396511,CHEMBL4622975,7umv,Q9Y6W6
CHEMBL4647367,O=C(O)C(=O)Nc1ccc(C#Cc2ccc(C(F)(F)F)cc2Cl)cc1,IC50,30000.0,nM,,,CHEMBL4626305,9,CHEMBL2396511,CHEMBL4622975,7umv,Q9Y6W6
CHEMBL1575436,CSc1scc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,2800.0,nM,5.55,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL1575436,CSc1scc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,2800.0,nM,5.55,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5420188,CC(C)(C)C(=O)CSc1ncc2c(n1)-c1ccccc1CC2,IC50,6200.0,nM,5.21,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5418996,CC(C)(C)C(=O)CSc1ncc2c(n1)-c1cc(Cl)ccc1CC2,IC50,4000.0,nM,5.4,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5396788,Cc1ccc2c(c1)-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,7500.0,nM,5.12,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5418920,CC(C)(C)C(=O)CSc1ncc2c(n1)-c1cccnc1CC2,IC50,76000.0,nM,4.12,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5419382,COc1ccc2c(c1)CCc1cnc(SCC(=O)C(C)(C)C)nc1-2,IC50,200000.0,nM,,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5428133,CCCc1scc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,11000.0,nM,4.96,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5405183,CC(C)Cc1scc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,200000.0,nM,,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5393799,CCc1csc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,5000.0,nM,5.3,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5427332,CC(C)(C)C(=O)CSc1ncc2c(n1)-c1ccsc1CC2,IC50,7100.0,nM,5.15,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5434976,CCCc1csc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,11000.0,nM,4.96,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5416499,CSc1scc2c1-c1nc(SC3CCC(C)(C)C3=O)ncc1CC2,IC50,25000.0,nM,4.6,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5404337,CSc1scc2c1-c1nc(SC3CCCC(C)(C)C3=O)ncc1CC2,IC50,200000.0,nM,,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5420697,CSc1scc2c1-c1nc(SCC(=O)N(C)C)ncc1CC2,IC50,200000.0,nM,,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5405382,CCN(C)C(=O)CSc1ncc2c(n1)-c1c(csc1SC)CC2,IC50,81000.0,nM,4.09,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5434241,CCN(CC)C(=O)CSc1ncc2c(n1)-c1c(csc1SC)CC2,IC50,200000.0,nM,,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5397402,CSc1scc2c1-c1nc(SCC(=O)N3CCCC3)ncc1CC2,IC50,200000.0,nM,,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5419280,CC(=O)N1Cc2cnc(SCC(=O)C(C)(C)C)nc2-c2ccccc21,IC50,150000.0,nM,,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5427448,CC(C)(C)C(=O)CSc1nccc(-c2ccccc2)n1,IC50,27000.0,nM,4.57,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5405398,CC(C)(C)C(=O)CSc1nccc(-c2cccnc2)n1,IC50,100000.0,nM,4.0,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL5399164,CC(C)(C)C(=O)CSc1ncc2cnc3ccccc3c2n1,IC50,59000.0,nM,4.23,,CHEMBL5331823,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL1575436,CSc1scc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,3800.0,nM,5.42,,CHEMBL5331825,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL1575436,CSc1scc2c1-c1nc(SCC(=O)C(C)(C)C)ncc1CC2,IC50,3800.0,nM,5.42,,CHEMBL5331825,9,CHEMBL2396511,CHEMBL5331053,7umv,Q9Y6W6
CHEMBL2431665,O=P(O)(O)[C@H](O)c1ccc(-c2cccc([C@H](O)c3ccc(Cl)c(Cl)c3)c2)cc1,Ki,500000.0,nM,,,CHEMBL2432854,9,CHEMBL2396511,CHEMBL2429849,7umv,Q9Y6W6
CHEMBL2431664,O=P(O)(O)[C@H](O)c1ccc(-c2cccc([C@@H](O)c3ccc(Cl)c(Cl)c3)c2)cc1,Ki,340000.0,nM,,,CHEMBL2432854,9,CHEMBL2396511,CHEMBL2429849,7umv,Q9Y6W6
CHEMBL2431708,O=P(O)(O)C(F)(F)c1cccc(-c2cccc(C3CCCCC3)c2O)c1,Ki,150000.0,nM,,,CHEMBL2432854,9,CHEMBL2396511,CHEMBL2429849,7umv,Q9Y6W6
CHEMBL4077342,O=P(O)(O)C(F)(c1ccc(-c2cccc(Cc3cc(Cl)c(Cl)cc3Cl)c2F)cc1)S(=O)(=O)N1CCOCC1,Ki,6900.0,nM,5.16,,CHEMBL4032257,9,CHEMBL2396511,CHEMBL4028891,7umv,Q9Y6W6
