molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL330348,COc1c2c3c4c(c(OC)c(=O)c5c(O)cc(OC)c(c6c(OC)cc(O)c(c1=O)c63)c54)[C@@H](C(C)=O)[C@@](C)(O)C2,IC50,38.0,nM,7.42,,CHEMBL4815493,9,CHEMBL4662936,CHEMBL4813952,7upw,P0DTC2
CHEMBL330348,COc1c2c3c4c(c(OC)c(=O)c5c(O)cc(OC)c(c6c(OC)cc(O)c(c1=O)c63)c54)[C@@H](C(C)=O)[C@@](C)(O)C2,IC50,38.0,nM,7.42,,CHEMBL4815493,9,CHEMBL4662936,CHEMBL4813952,7upw,P0DTC2
CHEMBL4869623,COc1c(O)c2c(=O)cc(OC)c3c4c(OC)cc(=O)c5c(O)c(OC)c6c(c(c1C[C@](C)(O)[C@H]6C(C)=O)c23)c54,IC50,120.0,nM,6.92,,CHEMBL4815493,9,CHEMBL4662936,CHEMBL4813952,7upw,P0DTC2
CHEMBL4869623,COc1c(O)c2c(=O)cc(OC)c3c4c(OC)cc(=O)c5c(O)c(OC)c6c(c(c1C[C@](C)(O)[C@H]6C(C)=O)c23)c54,IC50,120.0,nM,6.92,,CHEMBL4815493,9,CHEMBL4662936,CHEMBL4813952,7upw,P0DTC2
CHEMBL4861894,COC1=C(CC(C)=O)C(=O)c2c(c(O)cc(OC)c2-c2c(OC)cc(O)c3c2C(=O)C(CC(C)=O)=C(OC)C3=O)C1=O,IC50,170.0,nM,6.77,,CHEMBL4815493,9,CHEMBL4662936,CHEMBL4813952,7upw,P0DTC2
CHEMBL76,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,IC50,160.0,nM,6.8,,CHEMBL4815493,9,CHEMBL4662936,CHEMBL4813952,7upw,P0DTC2
CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,IC50,5600.0,nM,5.25,,CHEMBL5030264,9,CHEMBL4662936,CHEMBL5029184,7upw,P0DTC2
CHEMBL289277,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,IC50,200000.0,nM,,,CHEMBL5096476,9,CHEMBL4662936,CHEMBL5096148,7upw,P0DTC2
CHEMBL5201689,CCCCCCCCO[C@H]1O[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]4OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]3OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]2OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],IC50,86900.0,nM,4.06,,CHEMBL5108576,9,CHEMBL4662936,CHEMBL5107952,7upw,P0DTC2
CHEMBL5201689,CCCCCCCCO[C@H]1O[C@@H](C)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]4OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]3OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]2OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]1OS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],IC50,86900.0,nM,4.06,,CHEMBL5108576,9,CHEMBL4662936,CHEMBL5107952,7upw,P0DTC2
