molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,31622.78,nM,4.5,,CHEMBL3383418,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,31622.78,nM,4.5,,CHEMBL3383418,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,31622.78,nM,4.5,,CHEMBL3383418,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,31622.78,nM,4.5,,CHEMBL3383419,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,31622.78,nM,4.5,,CHEMBL3383419,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,31622.78,nM,4.5,,CHEMBL3383419,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,50.12,nM,7.3,,CHEMBL3384679,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,50.12,nM,7.3,,CHEMBL3384679,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL2177300,CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C,IC50,50.12,nM,7.3,,CHEMBL3384679,9,CHEMBL1795185,CHEMBL3351476,7uuu,Q58F21
CHEMBL3585452,Cc1cncc(-c2cnc(NC3CCNCC3)c3[nH]c(=O)c(C)cc23)c1,IC50,7943.28,nM,5.1,,CHEMBL3587530,9,CHEMBL1795185,CHEMBL3585343,7uuu,Q58F21
