molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL207469,C=C1/C(=C\C=C2/CCC[C@@]3(C)C2CCC3[C@H](C)CCCC(C)(C)C)C[C@@H](O)C[C@@H]1O,Ki,11.0,nM,7.96,,CHEMBL866923,9,CHEMBL3150,CHEMBL1147668,7vqp,P13053
CHEMBL208520,C[C@@H](CCCC(C)(C)O)C1CCC2/C(=C/C=C3C[C@@H](O)C(=CCCO)[C@H](O)C3)CCC[C@@]21C,Ki,15.0,nM,7.82,,CHEMBL866923,9,CHEMBL3150,CHEMBL1147668,7vqp,P13053
CHEMBL382615,C[C@H](CCCC(C)(C)O)C1CCC2/C(=C/C=C3C[C@@H](O)C(=CCCO)[C@H](O)C3)CCC[C@@]21C,Ki,61.0,nM,7.21,,CHEMBL866923,9,CHEMBL3150,CHEMBL1147668,7vqp,P13053
CHEMBL378965,C[C@@H](CCCC(C)(C)O)C1CCC2/C(=C/C=C3C[C@@H](O)C(=CCCO)[C@H](O)C3)CCC[C@@]21C,Ki,62.0,nM,7.21,,CHEMBL866923,9,CHEMBL3150,CHEMBL1147668,7vqp,P13053
CHEMBL207888,C[C@H](CCCC(C)(C)O)C1CCC2/C(=C/C=C3C[C@@H](O)C(=CCCO)[C@H](O)C3)CCC[C@@]21C,Ki,13.0,nM,7.89,,CHEMBL866923,9,CHEMBL3150,CHEMBL1147668,7vqp,P13053
CHEMBL207889,COCOCCC=C1[C@H](O)CC(=C/C=C2\CCC[C@@]3(C)C2CCC3[C@H](C)CCCC(C)(C)O)C[C@H]1O,Ki,50.0,nM,7.3,,CHEMBL866923,9,CHEMBL3150,CHEMBL1147668,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL846,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,Ki,0.05,nM,10.3,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
CHEMBL263638,C=C1C[C@H](C[C@@H](C)[C@H]2CC[C@H]3/C(=C/C=C4C[C@@H](O)C(=C)[C@H](O)C4)CCC[C@]23C)OC1=O,Ki,1.0,nM,9.0,,CHEMBL984593,9,CHEMBL3150,CHEMBL1144158,7vqp,P13053
