molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL327767,CCCc1cc(Oc2ccc(CC(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL94496,CCCc1cc(Oc2ccc(C(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL420441,CCCc1cc(Oc2ccc(Cl)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL121,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL330191,CCCc1cc(Oc2ccccc2)ccc1OCCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,3000.0,nM,5.52,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL300629,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,IC50,10000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL300629,CCCc1cc(Oc2ccccc2)ccc1OCCCOc1ccc(C2SC(=O)NC2=O)cc1,IC50,10000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL328615,CCCc1cc(Oc2ccc(Cl)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL96107,O=C1NC(=O)C(c2cccc(OCCCOc3ccc(Oc4ccccc4)cc3)c2)S1,IC50,190.0,nM,6.72,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL94397,CCCc1cc(Oc2ccc(O)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,3800.0,nM,5.42,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL97529,CCCc1cc(Oc2ccc(C3CCCC3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL96758,CCCc1cc(Oc2ccc(-c3ccccc3)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL96143,CCCc1cc(Oc2ccc(F)c(C)c2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
CHEMBL94716,CCCc1cc(Oc2ccc(C(C)(C)C)cc2)ccc1OCCCOc1cccc(C2SC(=O)NC2=O)c1,IC50,50000.0,nM,,,CHEMBL759405,8,CHEMBL3979,CHEMBL1136170,7vwh,Q03181
