molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL1277944,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccccc3)N=C2c2ccccc2)cc1,IC50,51100.0,nM,4.29,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1278125,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)cc3)N=C2c2ccccc2)cc1,IC50,25000.0,nM,4.6,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1276871,COc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,IC50,16600.0,nM,4.78,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1277046,N#Cc1ccc(N2N=C(c3ccccc3)/C(=C/c3ccc(C(=O)O)cc3)C2=O)cc1,IC50,20800.0,nM,4.68,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1277047,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(OC(F)(F)F)cc3)N=C2c2ccccc2)cc1,IC50,98800.0,nM,4.0,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1277135,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc(Cl)c3)N=C2c2ccccc2)cc1,IC50,17300.0,nM,4.76,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1277136,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(Cl)c(Cl)c3)N=C2c2ccccc2)cc1,IC50,125500.0,nM,,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1277227,O=C(O)c1ccc(/C=C2\C(=O)N(c3ccc(F)cc3)N=C2c2ccccc2)cc1,IC50,22400.0,nM,4.65,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL1277228,O=C(O)c1ccc(/C=C2\C(=O)N(c3cccc([N+](=O)[O-])c3)N=C2c2ccccc2)cc1,IC50,9600.0,nM,5.02,,CHEMBL1285499,8,CHEMBL2396505,CHEMBL1275368,7w0t,P03313
CHEMBL2164930,Cc1cc(C(=O)N[C@H](C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N[C@@H](/C=C/C(=O)OCc2nc(-c3ccncc3)no2)CCC(N)=O)C(C)C)no1,IC50,650.0,nM,6.19,,CHEMBL2166013,8,CHEMBL2396505,CHEMBL2163242,7w0t,P03313
CHEMBL2164929,Cc1cc(C(=O)N[C@H](C(=O)N[C@@H](Cc2ccc(F)cc2)C(=O)N[C@@H](/C=C/C(=O)OCc2cn3c(C)cccc3n2)CCC(N)=O)C(C)C)no1,IC50,160.0,nM,6.8,,CHEMBL2166013,8,CHEMBL2396505,CHEMBL2163242,7w0t,P03313
